match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_unsuccessfulTouch,stat_aerialLost,stat_challengeLost,stat_wonContest,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_accurateCross,stat_fouls,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_blockedScoringAttempt,stat_goalAssist,stat_goals,stat_errorLeadToAShot
11451061,home,Pendikspor,Erdem Canpolat,Erdem Canpolat,,erdem-canpolat,E. Canpolat,G,1,194,88,M,1066726,EUR,987120000,G,1,1,False,34.0,18.0,18.0,3.0,17.0,20.0,1.0,14.0,1.0,3.0,8.0,1.0,1.0,1.0,3.0,7.0,1.0,90.0,49.0,8.4,16.0,0.0003353,0,2.2352,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451061,home,Pendikspor,Erdem Özgenç,,,erdem-ozgenc,E. Özgenç,D,22,177,9,M,60332,EUR,461980800,D,22,22,False,22.0,17.0,3.0,3.0,6.0,9.0,11.0,14.0,3.0,,2.0,2.0,2.0,,,,,67.0,39.0,6.6,11.0,0.0231615,0,,True,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11451061,home,Pendikspor,Welinton,,,welinton,Welinton,D,,181,86,M,76529,EUR,608169600,D,23,23,False,49.0,39.0,10.0,4.0,21.0,23.0,18.0,26.0,10.0,8.0,7.0,3.0,3.0,,,,,90.0,71.0,7.8,10.0,0.03967,0,,,,3.0,3.0,,1.0,,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,
11451061,home,Pendikspor,Joher Khadim Rassoul,Joher,Khadim Rassoul,joher-khadim-rassoul,J. K. Rassoul,D,89,187,111,M,800344,EUR,820368000,D,14,14,False,38.0,31.0,4.0,1.0,26.0,30.0,5.0,8.0,3.0,8.0,4.0,1.0,1.0,,,,,90.0,53.0,7.3,7.0,0.00086834,1,,,,1.0,4.0,,,,4.0,,,1.0,1.0,,1.0,1.0,0.0301,,,,,,,,,,,
11451061,home,Pendikspor,Nuno Sequeira,,,nuno-sequeira,N. Sequeira,D,6,184,51,M,170117,EUR,651024000,D,6,6,False,37.0,27.0,6.0,3.0,16.0,20.0,12.0,21.0,6.0,8.0,7.0,5.0,4.0,,,,,90.0,71.0,7.3,18.0,0.0782044,0,,,4.0,,9.0,,,1.0,3.0,1.0,,,1.0,2.0,,,,1.0,6.0,,,,,,,,,
11451061,home,Pendikspor,Arnaud Lusamba,,,arnaud-lusamba,A. Lusamba,M,11,180,284,M,361342,EUR,852336000,M,66,66,False,34.0,27.0,2.0,2.0,15.0,18.0,12.0,16.0,4.0,1.0,9.0,3.0,3.0,,,,,90.0,45.0,7.5,9.0,0.159011,1,,,,,5.0,2.0,1.0,,2.0,,1.0,,,1.0,,,0.0204,,1.0,1.0,1.0,0.0836,,,,,,
11451061,home,Pendikspor,İbrahim Akdağ,,,ibrahim-akdag,İ. Akdağ,M,14,179,11,M,847053,EUR,680054400,M,24,24,False,38.0,34.0,3.0,2.0,16.0,19.0,18.0,20.0,3.0,1.0,4.0,1.0,1.0,,,,,54.0,47.0,6.9,6.0,0.0100504,0,,,1.0,2.0,4.0,,,1.0,2.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,
11451061,home,Pendikspor,Abdoulay Diaby,,,abdoulay-diaby,A. Diaby,F,23,173,494,M,115718,EUR,674784000,M,21,21,False,14.0,13.0,2.0,2.0,4.0,4.0,9.0,10.0,,1.0,3.0,,,,,,,80.0,26.0,6.3,9.0,0.030308,2,,,,,7.0,4.0,1.0,2.0,2.0,,,1.0,,,,,0.4731,,,,2.0,0.7826,1.0,1.0,,,,
11451061,home,Pendikspor,Endri Çekiçi,,,endri-cekici,E. Çekiçi,M,22,179,229,M,187153,EUR,848707200,M,8,8,False,35.0,27.0,3.0,2.0,14.0,17.0,14.0,24.0,7.0,,4.0,4.0,2.0,,,,,68.0,52.0,7.1,16.0,0.0421842,1,,,6.0,,5.0,1.0,2.0,,1.0,2.0,1.0,,2.0,1.0,,,0.0855,1.0,,,,,,,1.0,,,
11451061,home,Pendikspor,Halil Akbunar,,,halil-akbunar,H. Akbunar,M,77,170,140,M,217782,EUR,752803200,M,11,11,False,23.0,15.0,3.0,1.0,4.0,6.0,11.0,21.0,10.0,,7.0,3.0,3.0,,,,,90.0,50.0,7.2,22.0,0.224515,1,,,4.0,2.0,11.0,4.0,7.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,,0.1165,,1.0,,,,,,,1.0,,
