match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,player_gender,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_hitWoodwork,stat_wasFouled,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_dispossessed,stat_outfielderBlock,stat_errorLeadToAShot
10438031,home,Boavista,Rafael Bracali,rafael-bracali,R. Bracali,G,182,29,44676,EUR,357868800,G,1,1,False,True,23.0,17.0,12.0,6.0,13.0,13.0,4.0,10.0,1.0,11.0,2.0,1.0,2.0,1.0,90.0,37.0,7.5,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438031,home,Boavista,Pedro Malheiro,pedro-malheiro,P. Malheiro,D,179,415,1131249,EUR,980035200,D,79,79,False,,58.0,50.0,6.0,4.0,28.0,32.0,22.0,31.0,1.0,7.0,,,,,90.0,78.0,7.4,13.0,0,,,79,M,5.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10438031,home,Boavista,Reggie Cannon,reggie-cannon,R. Cannon,D,180,224,864226,EUR,897523200,D,2,2,False,,44.0,37.0,7.0,4.0,33.0,37.0,4.0,7.0,3.0,3.0,,,,,90.0,56.0,7.4,7.0,1,,,4,M,,1.0,2.0,4.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10438031,home,Boavista,Rodrigo Abascal,rodrigo-abascal,R. Abascal,D,190,156,846416,EUR,758505600,D,26,26,False,,72.0,66.0,21.0,17.0,44.0,47.0,22.0,26.0,,6.0,,,,,90.0,79.0,7.4,10.0,0,,,26,M,1.0,,2.0,3.0,1.0,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,
10438031,home,Boavista,Bruno Onyemaechi,bruno-onyemaechi,B. Onyemaechi,D,182,5807,1134441,EUR,923097600,D,70,70,False,,43.0,33.0,6.0,3.0,22.0,24.0,12.0,23.0,1.0,5.0,,,,,80.0,65.0,7.0,15.0,1,,,70,M,4.0,,1.0,2.0,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,
10438031,home,Boavista,Sebastián Pérez,sebastian-perez,S. Pérez,M,176,396,158597,EUR,733363200,M,24,24,False,,66.0,59.0,8.0,7.0,39.0,40.0,20.0,27.0,1.0,3.0,,,,,90.0,78.0,7.2,11.0,0,,,42,M,1.0,,4.0,7.0,2.0,,,,5.0,,2.0,1.0,,,1.0,,,,2.0,,,,,,,,,
10438031,home,Boavista,Ricardo Mangas,mangas-ricardo,R. Mangas,D,179,1156,878496,EUR,890179200,M,19,19,False,,24.0,19.0,1.0,,5.0,5.0,14.0,19.0,1.0,3.0,,,,,90.0,36.0,7.3,10.0,1,Ricardo,Mangas,91,M,,,1.0,2.0,,,,1.0,,,1.0,,,,2.0,,,1.0,5.0,1.0,1.0,1.0,,,,,,
10438031,home,Boavista,Ibrahima Camará,ibrahima-camara,I. Camará,M,190,520,976145,EUR,917222400,M,6,6,False,,24.0,18.0,1.0,,6.0,9.0,12.0,20.0,1.0,5.0,,,,,74.0,38.0,6.9,12.0,2,,,2,M,5.0,2.0,3.0,2.0,,2.0,2.0,1.0,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
10438031,home,Boavista,Bruno Lourenço,bruno-lourenco,B. Lourenço,M,179,99,984810,EUR,886377600,M,8,8,False,,35.0,27.0,,,10.0,14.0,18.0,25.0,1.0,9.0,,,,,90.0,50.0,6.7,13.0,1,,,8,M,4.0,,7.0,6.0,5.0,1.0,,,3.0,1.0,1.0,,,,3.0,1.0,,,1.0,2.0,,,1.0,,,,,
10438031,home,Boavista,Kenji Gorré,kenji-gorre,K. Gorré,M,177,223,796142,EUR,780796800,M,7,7,False,,30.0,29.0,,,4.0,4.0,27.0,30.0,,2.0,,,,,74.0,44.0,8.1,3.0,4,,,11,M,4.0,,3.0,3.0,2.0,2.0,2.0,,1.0,,1.0,,1.0,,,2.0,,1.0,,4.0,,2.0,2.0,1.0,2.0,,,
10438031,home,Boavista,Róbert Boženík,robert-bozenik,R. Boženík,F,188,1028,912033,EUR,942883200,F,9,9,False,,16.0,13.0,5.0,4.0,2.0,2.0,11.0,14.0,,1.0,,,,,87.0,26.0,6.3,5.0,3,,,11,M,,4.0,9.0,6.0,1.0,,,,,,2.0,1.0,1.0,,5.0,,1.0,,,,,2.0,2.0,,,2.0,,
10438031,home,Boavista,Masaki Watai,masaki-watai,M. Watai,M,168,73,926641,EUR,932256000,M,13,13,True,,3.0,3.0,,,1.0,1.0,2.0,2.0,,,,,,,21.0,6.0,6.3,1.0,0,,,11,M,,,2.0,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,
