match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_fouls,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_goals,stat_goodHighClaim,player_sofascoreId
14053627,home,FC Volendam,Kayne van Oevelen,Kayne van Oevelen,,kayne-van-oevelen,K. v. Oevelen,G,1,199.0,269,M,1393970,EUR,1060300800,G,1,1,False,50.0,35.0,24.0,10.0,0.0,30.0,33.0,5.0,17.0,2.0,1.0,10.0,2.0,3.0,5.0,1.0,1.0,1.0,90.0,68.0,8.1,16.0,0.0016127,76.077632625934,9.0,0.21,9.24,1.0324,0,-0.159,0.01,-0.13,-0.02,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053627,home,FC Volendam,Precious Ugwu,,,precious-ugwu,P. Ugwu,D,5,192.0,256,M,1481354,EUR,1139356800,D,5,5,False,30.0,27.0,1.0,,0.0,15.0,18.0,12.0,12.0,4.0,3.0,4.0,,,,,,,84.0,46.0,6.7,6.0,0.0137617,103.08922031003,12.0,28.98,22.785,,0,,0.03,0.06,-0.15,,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14053627,home,FC Volendam,Mawouna Amevor,Mawouna,Amevor,mawouna-amevor,M. Amevor,D,3,191.0,225,M,106154,EUR,692841600,D,3,3,False,55.0,50.0,4.0,2.0,0.0,32.0,35.0,18.0,20.0,3.0,2.0,4.0,1.0,,,,,,90.0,65.0,6.7,6.0,0.00696935,136.57379161401,16.0,49.245,21.105,,0,,0.02,0.04,0.3,,,,3.0,,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
14053627,home,FC Volendam,Nick Verschuren,Nick Verschuren,,nick-verschuren,N. Verschuren,D,20,180.0,198,M,1523582,EUR,1105574400,D,20,20,False,69.0,64.0,3.0,2.0,0.0,39.0,40.0,25.0,29.0,6.0,2.0,2.0,1.0,,,,,,90.0,80.0,7.5,5.0,0.0109575,238.04672913866,17.0,135.66,28.98,,1,,0.16,0.22,-0.03,,,2.0,,,1.0,,2.0,2.0,,,1.0,1.0,3.0,0.0243,-0.14,,,,,,,,,,,,,,,,
14053627,home,FC Volendam,Yannick Leliendal,Yannick,Leliendal,yannick-leliendal,Y. Leliendal,D,32,168.0,172,M,996982,EUR,1019520000,D,32,32,False,55.0,46.0,4.0,1.0,0.0,22.0,25.0,24.0,30.0,5.0,3.0,3.0,2.0,,,,,,90.0,80.0,6.6,17.0,0.0398812,217.61406805065,24.0,99.855,34.965,,1,,0.13,0.27,-0.32,,3.0,1.0,6.0,3.0,3.0,,1.0,1.0,,,1.0,,1.0,0.0277,-0.08,1.0,1.0,2.0,0.0719,,,,,,,,,,,,
14053627,home,FC Volendam,Gibson Yah,Gibson Yah,,gibson-yah,G. Yah,M,8,178.0,170,M,1095753,EUR,1064620800,M,8,8,False,68.0,56.0,5.0,4.0,0.0,32.0,36.0,24.0,32.0,6.0,3.0,3.0,,,,,,,90.0,88.0,7.1,14.0,0.0806707,153.80461798286,13.0,43.05,32.13,,1,,0.31,0.09,-0.11,,,1.0,6.0,2.0,,,5.0,4.0,,2.0,,,2.0,0.0345,-0.05,2.0,1.0,,0.0722,1.0,,,,,,,,,,,
14053627,home,FC Volendam,Nordin Bukala,Nordin Bukala,,nordin-bukala,N. Bukala,M,18,184.0,73,M,1511723,EUR,1127001600,M,18,18,False,20.0,17.0,2.0,2.0,0.0,5.0,5.0,12.0,15.0,6.0,1.0,4.0,3.0,,,,,,73.0,33.0,6.9,4.0,0.0175298,66.104704685923,8.0,41.58,17.64,,1,,0.02,0.09,-0.04,,1.0,,2.0,,1.0,,2.0,1.0,,2.0,1.0,1.0,,0.1208,0.01,,,,,,,,,,,,,,,,
14053627,home,FC Volendam,Brandley Kuwas,Brandley,Kuwas,brandley-kuwas,B. Kuwas,M,10,181.0,116,M,252885,EUR,716860800,M,10,10,False,22.0,18.0,3.0,2.0,0.0,7.0,8.0,11.0,14.0,1.0,,3.0,,,,,,,73.0,33.0,6.5,11.0,0.0355831,141.61359783652,13.0,105.315,27.09,,1,,0.22,0.19,-0.08,,,,5.0,1.0,3.0,,,,,,1.0,1.0,,0.1104,-0.38,2.0,,2.0,,,2.0,,,,,,,,,,
14053627,home,FC Volendam,Robin van Cruijsen,Robin,van Cruijsen,van-cruijsen-robin,R. v. Cruijsen,M,40,,90,M,2216656,EUR,1140393600,M,40,40,False,20.0,20.0,,,0.0,10.0,10.0,10.0,10.0,2.0,2.0,3.0,,,,,,,62.0,36.0,7.0,9.0,0.0564919,144.02245214764,7.0,102.375,35.49,,0,,0.02,0.17,-0.1,,6.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,3.0,,,3.0,,,,,,,,,,
14053627,home,FC Volendam,Aurelio Oehlers,Aurelio Oehlers,,aurelio-oehlers,A. Oehlers,M,11,177.0,68,M,1095406,EUR,1075939200,M,11,11,False,20.0,14.0,1.0,,0.0,3.0,5.0,11.0,15.0,5.0,1.0,4.0,2.0,,,,,,84.0,36.0,7.3,14.0,0.469829,184.36315733801,17.0,127.89,26.355,,1,,0.49,0.33,-0.06,,6.0,1.0,3.0,1.0,3.0,,1.0,,,,1.0,,,0.0317,-0.25,,,1.0,,,2.0,2.0,2.0,1.0,,,,,,,
