match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,player_sofascoreId,stat_aerialWon,stat_blockedScoringAttempt,stat_wasFouled,stat_totalOffside,player_firstName,player_lastName,stat_aerialLost,stat_interceptionWon,stat_challengeLost,stat_errorLeadToAGoal,stat_dispossessed,stat_outfielderBlock,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_errorLeadToAShot,stat_goodHighClaim,stat_goals
12436556,home,Nottingham Forest,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,26,26,False,31.0,22.0,12.0,3.0,0.0,20.0,20.0,2.0,11.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,90.0,39.0,7.0,10.0,0.179897,1.0,0,0.1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436556,home,Nottingham Forest,Ola Aina,ola-aina,O. Aina,D,34,182,4052,M,800417,EUR,844732800,D,34,34,False,30.0,23.0,4.0,,0.0,7.0,9.0,18.0,27.0,1.0,3.0,3.0,,,,,83.0,58.0,6.7,16.0,0.342204,1.0,1,,6.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0234,,,,,,,,,,,,,,,,,,,,
12436556,home,Nottingham Forest,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5064,M,836168,EUR,876614400,D,31,31,False,49.0,46.0,5.0,4.0,0.0,37.0,37.0,9.0,12.0,,6.0,5.0,,,,,90.0,62.0,7.1,4.0,0.0376691,1.0,1,,,,1.0,6.0,,,,3.0,1.0,1.0,1.0,0.0805,milenkovicn_4,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12436556,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9781,M,1199282,EUR,1025740800,D,5,5,False,65.0,54.0,14.0,7.0,0.0,33.0,38.0,21.0,28.0,,3.0,5.0,,,,,90.0,77.0,6.7,14.0,0.0138803,1.0,1,,1.0,,3.0,,1.0,,,,,1.0,1.0,0.0255,murillosantiago40,,1.0,,,Murillo,,1.0,1.0,,,,,,,,,,,
12436556,home,Nottingham Forest,Neco Williams,williams-neco,N. Williams,D,3,183,3198,M,927356,EUR,987120000,D,7,7,False,27.0,19.0,3.0,1.0,0.0,11.0,12.0,9.0,19.0,,2.0,3.0,,,,,90.0,53.0,6.2,16.0,0.0224707,,0,,4.0,1.0,2.0,5.0,,,,3.0,2.0,3.0,,,,2.0,,,,,,,2.0,2.0,1.0,,,,,,,,,
12436556,home,Nottingham Forest,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3183,M,871765,EUR,898992000,M,16,16,False,29.0,27.0,1.0,1.0,0.0,9.0,10.0,18.0,20.0,,,1.0,,,,,68.0,40.0,7.0,8.0,0.0313369,,0,,1.0,,3.0,6.0,1.0,,,2.0,2.0,1.0,,,,3.0,,1.0,,,,,,,,2.0,1.0,,,,,,,
12436556,home,Nottingham Forest,Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191,10181,M,843754,EUR,881020800,M,6,6,False,32.0,27.0,3.0,1.0,0.0,16.0,17.0,11.0,15.0,,2.0,3.0,,,,,57.0,45.0,6.6,6.0,0.00622947,,0,,,,3.0,5.0,,,,3.0,1.0,,2.0,,ibrahim_sangare,1.0,,1.0,,,,,,,,1.0,,,,,,,,
12436556,home,Nottingham Forest,Elliot Anderson,elliot-anderson,E. Anderson,M,8,179,7705,M,994546,EUR,1036540800,M,8,8,False,49.0,46.0,2.0,2.0,0.0,16.0,17.0,31.0,36.0,,3.0,4.0,,,,,90.0,65.0,7.1,9.0,0.025203,1.0,2,,4.0,1.0,3.0,2.0,,,,1.0,1.0,1.0,1.0,0.1883,,1.0,2.0,,,,,,,1.0,,1.0,,,,,,,,
12436556,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,M,10,10,False,35.0,27.0,2.0,,0.0,8.0,10.0,19.0,27.0,,1.0,3.0,,,,,90.0,48.0,6.7,15.0,0.0109373,,0,,2.0,,5.0,5.0,1.0,1.0,,1.0,1.0,,1.0,,Morgangibbs27,1.0,,2.0,,,,1.0,,,,3.0,,True,,,,,,
12436556,home,Nottingham Forest,Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10434,M,979232,EUR,1019865600,F,21,21,False,29.0,22.0,,,0.0,5.0,6.0,19.0,32.0,,,2.0,,,,,90.0,54.0,7.1,22.0,0.155967,1.0,2,,9.0,2.0,5.0,5.0,2.0,,,,,5.0,1.0,0.0549,anthonyelanga,,,5.0,2.0,,,1.0,,,,1.0,,,2.0,0.1179,,,,
