match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalCross,stat_wasFouled,stat_accurateCross,captain,stat_challengeLost,stat_totalContest,stat_keyPass,stat_blockedScoringAttempt,stat_lastManTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalOffside,stat_interceptionWon,stat_hitWoodwork,stat_goalAssist,stat_goals
10408639,home,Atlético Madrid,Jan Oblak,jan-oblak,J. Oblak,G,13,189,12131,M,oblakjan,69768,EUR,726364800,G,13,13,False,21.0,16.0,6.0,1.0,14.0,16.0,2.0,5.0,1.0,9.0,1.0,1.0,3.0,90.0,32.0,6.7,5.0,0.0,0.0,0.00082925,0,0.0517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408639,home,Atlético Madrid,Stefan Savić,stefan-savic,S. Savić,D,15,186,1712,M,,76265,EUR,663292800,D,15,15,False,40.0,38.0,2.0,,24.0,24.0,14.0,16.0,1.0,,,,,76.0,46.0,6.6,2.0,0.0,0.0,0.0046408,0,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10408639,home,Atlético Madrid,Axel Witsel,axel-witsel,A. Witsel,D,20,186,9808,M,axelwitsel28,35612,EUR,600566400,D,20,20,False,74.0,70.0,4.0,3.0,36.0,37.0,34.0,38.0,1.0,6.0,,,,90.0,83.0,6.9,5.0,0.0,0.0,0.0131874,0,,,,,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10408639,home,Atlético Madrid,Reinildo Mandava,reinildo-mandava,R. Mandava,D,17,180,11835,M,ReinildoMandava,831424,EUR,759110400,D,23,23,False,62.0,58.0,1.0,,33.0,35.0,26.0,29.0,,5.0,,,,90.0,72.0,6.9,5.0,0.0,0.0,0.279252,0,,,,2.0,4.0,2.0,6.0,1.0,2.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10408639,home,Atlético Madrid,Koke,koke,Koke,M,6,177,5822,M,Koke6,84539,EUR,694828800,M,6,6,False,64.0,53.0,5.0,1.0,30.0,32.0,24.0,37.0,2.0,4.0,,,,90.0,89.0,7.3,18.0,0.0,0.0,0.128906,0,,,,2.0,,4.0,4.0,3.0,3.0,3.0,,5.0,1.0,1.0,True,1.0,1.0,2.0,,,,,,,,,,,,,,,
10408639,home,Atlético Madrid,Nahuel Molina,nahuel-molina,N. Molina,D,16,175,13426,M,nahuelmolina_35,831799,EUR,891820800,M,16,16,False,46.0,34.0,4.0,2.0,19.0,26.0,15.0,23.0,3.0,3.0,,,,90.0,66.0,6.1,17.0,0.0642,0.0,0.0121031,1,,,,1.0,,2.0,2.0,,1.0,1.0,,3.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,
10408639,home,Atlético Madrid,Marcos Llorente,marcos-llorente,M. Llorente,D,14,184,9206,M,marcosllorente,353138,EUR,791424000,M,14,14,False,12.0,11.0,1.0,1.0,8.0,8.0,3.0,5.0,1.0,3.0,,,,62.0,18.0,6.7,2.0,0.0,0.0,0.00191395,0,,,,1.0,,2.0,3.0,,2.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
10408639,home,Atlético Madrid,Thomas Lemar,thomas-lemar,T. Lemar,M,11,170,3300,M,,191182,EUR,816134400,M,11,11,False,29.0,25.0,3.0,2.0,15.0,16.0,12.0,16.0,,6.0,,,,62.0,36.0,6.9,6.0,0.0,0.0,0.139673,0,,,,,,3.0,1.0,1.0,1.0,,,3.0,,2.0,,3.0,,2.0,,,,1.0,,,,,,,,,,,
10408639,home,Atlético Madrid,Yannick Carrasco,yannick-carrasco,Y. Carrasco,F,10,180,4728,M,yannickferreiracarrasco,182001,EUR,747100800,M,21,21,False,43.0,37.0,,,15.0,17.0,22.0,31.0,1.0,3.0,,,,90.0,66.0,6.7,17.0,0.5079,0.513,0.0583884,2,,,,,,6.0,5.0,,3.0,3.0,2.0,5.0,1.0,,,1.0,3.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
10408639,home,Atlético Madrid,Álvaro Morata,alvaro-morata,Á. Morata,F,7,189,28279,M,ÁMorata,125407,EUR,719798400,F,19,19,False,7.0,3.0,,,1.0,3.0,2.0,4.0,,2.0,,,,70.0,19.0,7.4,5.0,0.3188,0.1875,0.00940307,4,,,,3.0,5.0,6.0,8.0,,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,3.0,1.0,,,,
