match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_fouls,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_outfielderBlock,player_firstName,player_lastName,stat_challengeLost,stat_errorLeadToAGoal,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,player_sofascoreId
14065111,home,SC Freiburg,Noah Atubolu,noah-atubolu,N. Atubolu,G,1,190,1842,M,980626,EUR,1022284800,G,1,1,False,33.0,21.0,19.0,7.0,0.0,20.0,23.0,1.0,10.0,4.0,1.0,1.0,1.0,1.0,90.0,36.0,6.7,12.0,0.00054158,0.391,0,-0.571,0.03,0.01,-0.18,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065111,home,SC Freiburg,Lukas Kübler,lukas-kubler,L. Kübler,D,17,183,237,M,142525,EUR,715132800,D,17,17,False,41.0,36.0,7.0,3.0,0.0,22.0,25.0,14.0,16.0,6.0,,,,,90.0,64.0,6.7,8.0,0.236935,,1,,0.31,0.06,-0.27,,2.0,2.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.2212,1.0,-0.54,,,,,,,,,,,,,,,,
14065111,home,SC Freiburg,Matthias Ginter,matthias-ginter,M. Ginter,D,28,189,887,M,142259,EUR,758937600,D,28,28,False,48.0,41.0,8.0,3.0,0.0,23.0,24.0,18.0,24.0,1.0,,,,,90.0,66.0,6.8,7.0,0.0216035,,1,,0.14,0.19,-0.28,,3.0,3.0,3.0,8.0,,,,,,5.0,,2.0,,,3.0,,0.0461,,-0.27,1.0,1.0,1.0,0.0577,,,,,,,,,,,,
14065111,home,SC Freiburg,Philipp Lienhart,philipp-lienhart,P. Lienhart,D,3,189,690,M,576266,EUR,837043200,D,3,3,False,60.0,55.0,6.0,2.0,0.0,31.0,32.0,24.0,28.0,3.0,,,,,90.0,92.0,6.8,15.0,0.059014,,0,,0.26,0.23,-0.2,,1.0,1.0,2.0,4.0,,3.0,2.0,,,6.0,2.0,,,,1.0,1.0,,,,,,,,3.0,2.0,1.0,,,,,,,,,
14065111,home,SC Freiburg,Jordy Makengo,makengo-jordy,J. Makengo,D,33,191,319,M,1131339,EUR,996710400,D,33,33,False,38.0,31.0,3.0,1.0,0.0,20.0,25.0,11.0,13.0,6.0,,,,,75.0,54.0,5.9,10.0,0.241408,,0,,0.25,0.13,-0.72,,,1.0,2.0,2.0,,1.0,,,,4.0,1.0,1.0,,1.0,,,,1.0,,,,,,4.0,3.0,1.0,,,1.0,1.0,,,,,
14065111,home,SC Freiburg,Maximilian Eggestein,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,58.0,45.0,4.0,1.0,0.0,25.0,29.0,20.0,29.0,6.0,,,,,90.0,72.0,7.2,16.0,0.0619053,,0,,0.33,0.02,0.23,,2.0,4.0,4.0,7.0,1.0,,,,,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,True,,,,
14065111,home,SC Freiburg,Johan Manzambi,johan-manzambi,J. Manzambi,M,44,182,2015,M,1518931,EUR,1129248000,M,44,44,False,46.0,41.0,3.0,2.0,1.0,29.0,32.0,12.0,14.0,10.0,,,,,81.0,69.0,6.8,11.0,0.0972827,,2,,0.22,0.26,-0.07,,1.0,,5.0,5.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,,,0.1603,1.0,-0.44,,,1.0,,,,,Johan Manzambi,,,,,1.0,1.0,,
14065111,home,SC Freiburg,Jan-Niklas Beste,jan-niklas-beste,J. Beste,D,19,177,1027,M,836711,EUR,915408000,M,19,19,False,30.0,19.0,5.0,2.0,0.0,11.0,12.0,8.0,18.0,1.0,,,,,90.0,57.0,6.1,26.0,0.365504,,0,,0.03,0.08,-0.15,,2.0,,9.0,3.0,3.0,4.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,,,,,,10.0,4.0,,,,,,,,,,
14065111,home,SC Freiburg,Lucas Höler,lucas-holer,L. Höler,F,9,184,586,M,280009,EUR,773798400,M,9,9,False,20.0,17.0,1.0,1.0,0.0,4.0,4.0,13.0,16.0,2.0,,,,,64.0,32.0,6.4,6.0,0.0824402,,3,,0.06,0.03,-0.06,,1.0,,2.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,0.2781,1.0,-0.43,2.0,,,0.1335,1.0,,,,,,,,,,,
14065111,home,SC Freiburg,Derry Scherhant,derry-scherhant,D. Scherhant,F,7,184,373,M,1131002,EUR,1036886400,M,7,7,False,12.0,10.0,,,0.0,1.0,2.0,9.0,10.0,1.0,,,,,75.0,35.0,7.6,11.0,0.250069,,3,,0.34,0.04,-0.12,,,,7.0,6.0,2.0,3.0,,,2.0,,,2.0,1.0,3.0,4.0,,0.3679,1.0,0.46,1.0,,2.0,0.436,2.0,1.0,,,,,,,,,1.0,
