match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_wasFouled,stat_totalOffside,player_sofascoreId,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,captain,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_goals,stat_bigChanceCreated,stat_aerialLost,stat_blockedScoringAttempt,stat_goalAssist,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot
11067283,home,Atlético Mineiro,Everson,everson,Everson,G,22,193,2202,M,870748,EUR,648604800,G,22,22,False,26.0,18.0,13.0,5.0,16.0,18.0,2.0,8.0,3.0,2.0,90.0,28.0,6.8,8.0,0.0,0.0,0.0002471,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067283,home,Atlético Mineiro,Mariano,mariano,Mariano,D,,177,308,M,40076,EUR,519868800,D,25,25,False,41.0,34.0,8.0,2.0,19.0,21.0,16.0,22.0,8.0,,76.0,51.0,6.6,9.0,0.0,0.0,0.0327597,0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11067283,home,Atlético Mineiro,Mauricio Lemos,mauricio-lemos,M. Lemos,D,4,186,1260,M,385916,EUR,820108800,D,28,28,False,26.0,25.0,3.0,2.0,19.0,19.0,6.0,7.0,1.0,,90.0,36.0,7.1,2.0,0.0,0.0,0.00372613,0,,,2.0,,,1.0,,,2.0,,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11067283,home,Atlético Mineiro,Jemerson,jemerson,Jemerson,D,21,184,1651,M,328519,EUR,714614400,D,34,34,False,58.0,54.0,3.0,,42.0,43.0,12.0,15.0,2.0,,90.0,67.0,7.3,4.0,0.0,0.0,0.00638718,0,,,1.0,2.0,,1.0,1.0,1.0,1.0,,3.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11067283,home,Atlético Mineiro,Guilherme Arana,guilherme-arana,G. Arana,D,13,176,4933,M,1127439,EUR,860976000,D,13,13,False,43.0,39.0,1.0,1.0,13.0,14.0,26.0,32.0,3.0,,90.0,71.0,7.0,12.0,0.0229,0.0432,0.0376564,1,3.0,,3.0,4.0,,,1.0,,,,3.0,,,,,2.0,,guiarana,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
11067283,home,Atlético Mineiro,Rodrigo Battaglia,rodrigo-battaglia,R. Battaglia,D,5,187,1317,M,158257,EUR,679276800,M,21,21,False,48.0,46.0,3.0,3.0,21.0,21.0,25.0,27.0,2.0,,90.0,59.0,7.2,3.0,0.0,0.0,0.0210175,0,,,3.0,6.0,,,4.0,2.0,3.0,,3.0,,1.0,,,1.0,,,,1.0,1.0,,True,,,,,,,,,,,,,
11067283,home,Atlético Mineiro,Otávio,otavio,Otávio,M,94,173,1027,M,552686,EUR,768009600,M,5,5,False,25.0,25.0,1.0,1.0,12.0,12.0,13.0,13.0,,,45.0,31.0,6.5,2.0,0.0,0.0,0.00772049,0,,,5.0,3.0,,1.0,2.0,1.0,4.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
11067283,home,Atlético Mineiro,Paulinho,paulinho,Paulinho,F,10,175,11050,M,885179,EUR,963619200,M,10,10,False,42.0,38.0,1.0,1.0,16.0,19.0,23.0,24.0,4.0,,89.0,58.0,8.3,12.0,0.583,1.6783,0.0845457,4,1.0,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,,,,,paulinho10,,2.0,,3.0,,1.0,2.0,1.0,2.0,,,,,,,,,
11067283,home,Atlético Mineiro,Pedrinho,pedrinho,Pedrinho,M,10,172,1486,M,874030,EUR,892425600,M,38,38,False,57.0,52.0,2.0,1.0,9.0,9.0,43.0,49.0,7.0,,83.0,69.0,7.7,7.0,0.0204,0.0,0.527557,1,1.0,,1.0,7.0,,,,,2.0,2.0,,,1.0,,,2.0,,,,5.0,5.0,,,,,1.0,,2.0,,,,,,,,
11067283,home,Atlético Mineiro,Cristian Pavón,cristian-pavon,C. Pavón,M,7,169,2406,M,358956,EUR,822182400,M,9,9,False,38.0,35.0,1.0,1.0,8.0,8.0,27.0,33.0,2.0,,90.0,54.0,7.0,10.0,0.0631,0.0,0.128613,2,3.0,,3.0,6.0,,2.0,,,,1.0,,,1.0,,,1.0,,,,5.0,3.0,,,2.0,,1.0,,,1.0,1.0,,,,,,
11067283,home,Atlético Mineiro,Hulk,hulk,Hulk,F,7,180,24458,M,34705,EUR,522633600,F,7,7,False,32.0,26.0,2.0,2.0,6.0,6.0,22.0,32.0,,,89.0,58.0,7.8,17.0,0.5725,0.6297,0.548206,6,6.0,2.0,8.0,8.0,2.0,,,,4.0,4.0,,,4.0,,,3.0,1.0,Hulk,1.0,4.0,3.0,1.0,,2.0,2.0,4.0,,3.0,,1.0,2.0,1.0,,,,
11067283,home,Atlético Mineiro,Alan Franco,alan-franco,A. Franco,M,21,174,3281,M,822729,EUR,903657600,M,23,23,True,23.0,22.0,2.0,2.0,8.0,8.0,15.0,16.0,3.0,,45.0,29.0,7.3,1.0,0.0,0.0,0.434945,0,1.0,1.0,2.0,4.0,,1.0,1.0,,2.0,4.0,1.0,,,,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,
