match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_aerialLost,stat_challengeLost,stat_interceptionWon,stat_wasFouled,player_lastName,stat_dispossessed,stat_outfielderBlock,stat_unsuccessfulTouch,stat_aerialWon,stat_clearanceOffLine,stat_errorLeadToAShot,stat_totalCross,stat_accurateCross,stat_keyPass,stat_totalContest,stat_blockedScoringAttempt,captain,stat_shotOffTarget,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,player_sofascoreId,stat_wonContest,stat_goals,stat_penaltyWon
12624913,home,Al Orobah,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187,160,M,794989,EUR,910051200,G,28,28,False,26.0,16.0,14.0,4.0,0.0,13.0,17.0,3.0,9.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,90.0,39.0,6.8,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624913,home,Al Orobah,Abdulrahman Al Anzi,abdulrhman-al-anzi,A. A. Anzi,D,70,170,15,M,1523635,EUR,897782400,D,70,70,False,33.0,24.0,4.0,1.0,0.0,18.0,19.0,6.0,14.0,3.0,3.0,3.0,3.0,,2.0,1.0,,1.0,,,,,66.0,50.0,6.6,9.0,0,Abdulrahman Al Anzi,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12624913,home,Al Orobah,Ismael Kandouss,ismael-kandouss,I. Kandouss,D,27,192,736,M,934196,EUR,879292800,D,3,3,False,40.0,35.0,4.0,2.0,0.0,30.0,33.0,5.0,7.0,3.0,2.0,8.0,3.0,,1.0,1.0,,1.0,,,,,90.0,62.0,7.0,9.0,0,,,1.0,1.0,1.0,,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,
12624913,home,Al Orobah,Karlo Muhar,karlo-muhar,K. Muhar,M,73,188,216,M,897590,EUR,821836800,D,73,73,False,46.0,36.0,4.0,,0.0,25.0,30.0,11.0,16.0,5.0,7.0,7.0,7.0,1.0,6.0,2.0,,2.0,,,,,90.0,64.0,7.1,11.0,0,,1.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12624913,home,Al Orobah,Ibrahim Al-Zubaidi,ibrahim-al-zubaidi,I. Al-Zubaidi,D,,172,16,M,793916,EUR,623462400,D,13,13,False,30.0,20.0,5.0,1.0,0.0,15.0,18.0,6.0,13.0,1.0,3.0,3.0,6.0,,1.0,,,,,,,,90.0,47.0,6.8,13.0,0,,1.0,,3.0,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
12624913,home,Al Orobah,Fahad Al-Reshedi,fahad-al-reshedi,F. Al-Reshedi,M,80,173,10,M,818573,EUR,676339200,M,80,80,False,40.0,31.0,5.0,,0.0,19.0,22.0,12.0,19.0,5.0,3.0,2.0,7.0,,3.0,2.0,,1.0,,,,,90.0,59.0,6.7,13.0,0,,1.0,2.0,2.0,,,1.0,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
12624913,home,Al Orobah,Fahad Zubaidi,fahad-zubaidi,F. Zubaidi,M,27,175,36,M,1445997,EUR,1010880000,M,29,29,False,21.0,17.0,1.0,1.0,0.0,11.0,11.0,6.0,14.0,7.0,6.0,,5.0,,3.0,1.0,,1.0,,,,,90.0,40.0,6.5,15.0,1,Fahad Zubaidi,2.0,1.0,1.0,3.0,,,,4.0,,,,4.0,,,3.0,1.0,,,,,,,,,,
12624913,home,Al Orobah,Jóhann Guðmundsson,johann-gudmundsson,J. Guðmundsson,M,,186,451,M,49805,EUR,656985600,M,7,7,False,41.0,31.0,8.0,5.0,0.0,16.0,19.0,15.0,28.0,6.0,3.0,1.0,3.0,,,,,3.0,,,,,90.0,54.0,6.4,17.0,0,,1.0,1.0,1.0,3.0,,1.0,,,,,,6.0,,,,,True,,,,,,,,,
12624913,home,Al Orobah,Cristian Tello,cristian-tello,C. Tello,M,,178,644,M,114157,EUR,681868800,M,37,37,False,41.0,37.0,2.0,1.0,0.0,24.0,26.0,13.0,16.0,11.0,1.0,1.0,5.0,,,,,2.0,,,,,90.0,56.0,5.8,10.0,3,,1.0,4.0,,1.0,,1.0,,1.0,,,,1.0,,,3.0,2.0,,1.0,1.0,,,,,,,
12624913,home,Al Orobah,Brad Young,brad-young,B. Young,F,32,185,212,M,1083046,EUR,1041811200,M,9,9,False,15.0,11.0,,,0.0,7.0,9.0,5.0,7.0,1.0,2.0,4.0,3.0,,,,,1.0,,,,,74.0,26.0,6.9,7.0,0,Brad Young,,,1.0,1.0,,,,2.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,
12624913,home,Al Orobah,Omar Al-Somah,omar-al-somah,O. Al-Somah,F,9,192,6658,M,791575,EUR,606614400,F,99,99,False,11.0,7.0,1.0,,0.0,6.0,6.0,1.0,6.0,9.0,2.0,3.0,3.0,,1.0,1.0,,1.0,,,,,90.0,27.0,6.6,11.0,2,,3.0,,,1.0,,3.0,,1.0,,,,1.0,,,2.0,,,,,,1.0,2.0,,,,
12624913,home,Al Orobah,Nawaf Al Qamiri,nawaf-al-qamiri,N. A. Qamiri,D,23,171,15,M,1398859,EUR,992131200,D,12,12,True,8.0,8.0,,,0.0,4.0,4.0,4.0,4.0,2.0,,,,,,,,,,,,,24.0,15.0,6.3,2.0,0,Nawaf Al Qamiri,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12624913,home,Al Orobah,Fwaz Altryes,fwaz-altryes,F. Altryes,F,8,170,19,M,902358,EUR,861840000,F,27,27,True,6.0,6.0,,,0.0,2.0,2.0,4.0,4.0,3.0,2.0,,1.0,,,,,1.0,,,,,16.0,12.0,6.6,2.0,0,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,
12624913,home,Al Orobah,Rafi Al Ruwaili,rafi-al-ruwaili,R. Al Ruwaili,G,1,180,17,M,868576,EUR,647136000,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624913,home,Al Orobah,Mohammed Al-Qarni,mohammed-al-qarni,M. Al-Qarni,M,,174,4,M,148870,EUR,627868800,M,6,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624913,home,Al Orobah,Mohammed Al-Saiari,mohammed-al-saiari,M. Al-Saiari,F,70,174,26,M,828525,EUR,736300800,F,90,90,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
