match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,captain,stat_challengeLost,stat_blockedScoringAttempt,stat_fouls,stat_totalOffside,player_firstName,player_lastName,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_hitWoodwork,stat_goals,stat_penaltyWon,stat_penaltyFaced,stat_punches,stat_bigChanceCreated,stat_lastManTackle,stat_clearanceOffLine,stat_penaltyConceded,stat_bigChanceMissed
14109698,home,Başakşehir FK,Muhammed Şengezer,muhammed-sengezer,M. Şengezer,G,16,185.0,464,M,827418,EUR,852422400,G,16,16,False,34.0,30.0,11.0,7.0,0.0,26.0,26.0,4.0,8.0,1.0,4.0,1.0,4.0,6.0,90.0,44.0,8.9,4.0,0.00405782,0.889,0,1.2619,0.1,0.0,0.17,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109698,home,Başakşehir FK,Onur Bulut,onur-bulut,O. Bulut,D,6,179.0,562,M,142494,EUR,766454400,D,6,6,False,30.0,28.0,2.0,2.0,0.0,8.0,8.0,20.0,22.0,3.0,7.0,,,,90.0,44.0,7.2,4.0,0.381588,,1,,0.13,0.09,0.19,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0367,2.0,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,
14109698,home,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183.0,505,M,839982,EUR,837561600,D,5,5,False,61.0,57.0,7.0,4.0,0.0,36.0,36.0,21.0,25.0,5.0,5.0,2.0,,,90.0,73.0,7.4,5.0,0.0364539,,0,,0.28,0.12,0.19,,,,2.0,2.0,2.0,,3.0,,,1.0,,,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
14109698,home,Başakşehir FK,Jerome Opoku,opoku-jerome,J. Opoku,D,3,194.0,1395,M,920514,EUR,908323200,D,3,3,False,4.0,4.0,,,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,22.0,8.0,6.8,,0.00027721,,0,,0.02,0.07,0.25,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14109698,home,Başakşehir FK,Ömer Ali Şahiner,omer-ali-sahiner,Ö. A. Şahiner,D,42,175.0,88,M,103912,EUR,694310400,D,42,42,False,40.0,34.0,6.0,3.0,0.0,17.0,18.0,17.0,22.0,2.0,2.0,,,,90.0,58.0,6.8,11.0,0.0869232,,1,,0.15,0.09,0.19,,3.0,1.0,1.0,1.0,5.0,,,1.0,1.0,1.0,0.0511,1.0,-0.14,1.0,,4.0,,True,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
14109698,home,Başakşehir FK,Berat Ayberk Özdemir,berat-ayberk-ozdemir,B. A. Özdemir,M,2,187.0,216,M,876857,EUR,895881600,M,2,2,False,56.0,50.0,14.0,11.0,0.0,21.0,23.0,29.0,33.0,8.0,5.0,2.0,,,90.0,77.0,7.7,8.0,0.112216,,0,,0.19,0.29,0.17,,1.0,1.0,1.0,1.0,2.0,,2.0,5.0,4.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14109698,home,Başakşehir FK,Umut Güneş,umut-gunes,U. Güneş,M,20,177.0,131,M,876782,EUR,953164800,M,20,20,False,20.0,19.0,1.0,,0.0,14.0,15.0,5.0,5.0,4.0,3.0,3.0,,,45.0,25.0,6.9,1.0,0.00234101,,0,,0.0,0.01,0.16,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14109698,home,Başakşehir FK,Yusuf Sarı,yusuf-sari,Y. Sarı,M,7,168.0,562,M,896364,EUR,911520000,M,7,7,False,35.0,31.0,4.0,4.0,0.0,8.0,8.0,23.0,27.0,8.0,2.0,3.0,,,89.0,60.0,7.9,14.0,0.835868,,3,,0.75,0.23,-0.02,,9.0,3.0,,,4.0,,,,,1.0,0.1468,5.0,0.01,6.0,5.0,,,,1.0,1.0,,,,,2.0,2.0,0.5066,,,,,,,,,,,
14109698,home,Başakşehir FK,Miguel Crespo,miguel-crespo,M. Crespo,M,13,187.0,618,M,972410,EUR,842400000,M,13,13,False,19.0,17.0,,,0.0,4.0,4.0,13.0,15.0,3.0,2.0,,,,73.0,35.0,6.9,6.0,0.0973897,,2,,0.23,0.29,-0.02,,2.0,1.0,,,3.0,,1.0,1.0,,2.0,0.1951,,-0.1,3.0,2.0,1.0,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,
14109698,home,Başakşehir FK,Nuno Da Costa,nuno-da-costa,N. Da Costa,F,10,184.0,1004,M,209374,EUR,666144000,M,10,10,False,17.0,8.0,2.0,,0.0,2.0,3.0,6.0,14.0,6.0,5.0,1.0,,,63.0,39.0,6.3,18.0,0.0881305,,1,,0.09,0.04,-0.1,,2.0,,1.0,3.0,7.0,,1.0,1.0,,2.0,0.0243,,-0.24,3.0,1.0,,1.0,,,1.0,1.0,,,,3.0,,,1.0,,,,,,,,,,
