match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_penaltyConceded,stat_fouls,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_wasFouled,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_goalAssist,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyWon
10433797,home,Alanyaspor,Rúnar Alex Rúnarsson,runar-alex-runarsson,R. Rúnarsson,G,31,185.0,415,M,187023,EUR,793065600,G,13,13,False,19.0,17.0,4.0,2.0,14.0,14.0,3.0,5.0,15.0,1.0,4.0,1.0,5.0,90.0,36.0,7.5,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433797,home,Alanyaspor,Fatih Aksoy,fatih-aksoy,F. Aksoy,D,20,189.0,69,M,827922,EUR,878774400,D,20,20,False,86.0,80.0,3.0,1.0,21.0,22.0,59.0,64.0,6.0,,,,,90.0,90.0,6.3,6.0,0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10433797,home,Alanyaspor,Furkan Bayır,furkan-bayir,F. Bayır,D,23,188.0,77,M,1003161,EUR,950054400,D,4,4,False,98.0,89.0,9.0,6.0,31.0,34.0,58.0,64.0,6.0,,,,,90.0,110.0,7.1,9.0,1,1.0,7.0,4.0,7.0,1.0,3.0,2.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10433797,home,Alanyaspor,Jure Balkovec,jure-balkovec,J. Balkovec,D,29,185.0,292,M,171625,EUR,779068800,D,29,29,False,74.0,60.0,11.0,6.0,25.0,30.0,36.0,48.0,9.0,,,,,90.0,90.0,7.8,18.0,1,1.0,1.0,3.0,4.0,1.0,1.0,,,1.0,,,1.0,,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,
10433797,home,Alanyaspor,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185.0,286,M,807291,EUR,885427200,M,27,27,False,20.0,18.0,2.0,,4.0,4.0,14.0,18.0,1.0,,,,,62.0,25.0,6.3,4.0,0,1.0,,8.0,2.0,3.0,,,,4.0,,,,,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,
10433797,home,Alanyaspor,Umut Güneş,umut-gunes,U. Güneş,M,20,177.0,131,M,876782,EUR,953164800,M,6,6,False,28.0,27.0,2.0,2.0,8.0,9.0,19.0,19.0,1.0,,,,,45.0,35.0,6.6,4.0,0,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
10433797,home,Alanyaspor,Idrissa Doumbia,idrissa-doumbia,I. Doumbia,M,,187.0,465,M,842255,EUR,892512000,M,98,98,False,39.0,37.0,,,10.0,10.0,27.0,29.0,1.0,,,,,71.0,46.0,6.9,4.0,2,,,2.0,2.0,,,1.0,,2.0,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,
10433797,home,Alanyaspor,Joher Khadim Rassoul,joher-khadim-rassoul,J. K. Rassoul,D,89,187.0,111,M,800344,EUR,820368000,M,23,23,False,11.0,10.0,,,6.0,6.0,4.0,5.0,2.0,,,,,33.0,17.0,6.7,3.0,0,,2.0,1.0,4.0,1.0,,1.0,,,Joher,Khadim Rassoul,,,,,,,,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,
10433797,home,Alanyaspor,Efecan Karaca,efecan-karaca,E. Karaca,M,7,166.0,109,M,60510,EUR,627177600,F,7,7,False,57.0,50.0,2.0,2.0,6.0,7.0,46.0,60.0,5.0,,,,,90.0,77.0,7.4,18.0,0,2.0,,8.0,4.0,,,,,4.0,,,,,10.0,2.0,2.0,1.0,,,,,4.0,3.0,,,True,2.0,1.0,,,,,,,
10433797,home,Alanyaspor,Ahmed Hassan,ahmed-hassan,A. Hassan,F,19,191.0,1938,M,1143587,EUR,731289600,F,93,93,False,23.0,19.0,,,4.0,5.0,15.0,18.0,2.0,,,,,90.0,34.0,6.4,8.0,3,2.0,1.0,5.0,3.0,,1.0,,,1.0,,,1.0,,,,2.0,,,1.0,,1.0,,1.0,,,,,,1.0,2.0,,,,,
