match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_errorLeadToAGoal,stat_accurateCross,stat_keyPass,player_firstName,player_lastName,captain,stat_bigChanceCreated,stat_wasFouled,stat_goalAssist,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_outfielderBlock,stat_ownGoals
10385659,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,24.0,20.0,6.0,2.0,19.0,19.0,1.0,5.0,10.0,3.0,3.0,90.0,36.0,6.4,4.0,0.0,0.0,0.00046829,0,-0.3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385659,home,Liverpool,Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,210733,M,TrentAA,795064,EUR,907718400,D,66,66,False,49.0,37.0,12.0,7.0,10.0,11.0,27.0,46.0,10.0,,,90.0,79.0,6.9,25.0,0.0862,0.3199,0.0848321,3,,8.0,1.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
10385659,home,Liverpool,Joël Matip,joel-matip,J. Matip,D,,195,3362,M,joelmatip,51501,EUR,681609600,D,32,32,False,49.0,35.0,8.0,4.0,20.0,26.0,15.0,23.0,9.0,,,90.0,61.0,6.6,15.0,0.0,0.0,0.0125687,0,,,,2.0,1.0,1.0,,,,,,,5.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
10385659,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,63.0,56.0,6.0,2.0,30.0,31.0,26.0,32.0,3.0,,,90.0,75.0,6.3,8.0,0.0754,0.0837,0.00853882,1,,,3.0,,5.0,,,,,,1.0,,3.0,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
10385659,home,Liverpool,Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16200,M,TK21,786259,EUR,831859200,D,21,21,False,42.0,37.0,,,19.0,19.0,19.0,30.0,3.0,,,58.0,62.0,6.3,15.0,0.0,0.0,0.0547306,0,,7.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,1.0,,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,
10385659,home,Liverpool,Jordan Henderson,jordan-henderson,J. Henderson,M,6,183,6378,M,jordanhenderson,42694,EUR,645580800,M,14,14,False,30.0,26.0,2.0,2.0,10.0,11.0,17.0,21.0,3.0,,,59.0,37.0,6.9,8.0,0.0,0.0,0.279534,0,,2.0,,3.0,1.0,1.0,1.0,,,,,,,,,,2.0,,1.0,,1.0,2.0,,,True,2.0,1.0,,,,,,,,
10385659,home,Liverpool,Fabinho,fabinho,Fabinho,M,8,187,9273,M,Fabinho,243585,EUR,751334400,M,3,3,False,58.0,47.0,9.0,4.0,28.0,29.0,19.0,29.0,8.0,,,90.0,72.0,7.1,12.0,0.0,0.0,0.0163421,0,,,2.0,2.0,6.0,1.0,,,,,,,1.0,3.0,3.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,
10385659,home,Liverpool,Thiago Alcântara,thiago-alcantara,Thiago,M,,174,8236,M,thiago6,53825,EUR,671328000,M,6,6,False,74.0,62.0,8.0,4.0,20.0,22.0,42.0,52.0,8.0,,,89.0,94.0,7.2,15.0,0.0,0.0,0.0325598,0,,,1.0,3.0,12.0,1.0,1.0,3.0,3.0,,,,2.0,1.0,3.0,2.0,2.0,1.0,,,,2.0,,,,,5.0,,,,,,,,
10385659,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,F,11,11,False,20.0,16.0,,,3.0,4.0,13.0,17.0,3.0,,,90.0,42.0,6.0,14.0,0.5611,0.693,0.294179,5,,1.0,,8.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,,1.0,,,,3.0,3.0,1.0,,,1.0,,,,1.0,,1.0,2.0,1.0,,,,,
10385659,home,Liverpool,Roberto Firmino,roberto-firmino,R. Firmino,M,9,181,31054,M,BobbyFirmino,143697,EUR,686361600,F,9,9,False,35.0,30.0,,,6.0,7.0,24.0,28.0,3.0,,,75.0,54.0,8.0,11.0,0.617,1.2086,0.0319936,4,,,,8.0,3.0,,4.0,3.0,2.0,,3.0,,,,,,1.0,2.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,2.0,1.0,,,
