match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_fouls,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_keyPass,player_firstName,player_lastName,captain,stat_outfielderBlock,stat_unsuccessfulTouch,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_accurateCross,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_penaltyWon,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_bigChanceMissed
10433886,home,Başakşehir FK,Muhammed Şengezer,muhammed-sengezer,M. Şengezer,G,16,185,464,M,827418,EUR,852422400,G,16,16,False,35.0,32.0,4.0,2.0,32.0,33.0,2.0,1.0,8.0,1.0,1.0,1.0,3.0,90.0,41.0,6.6,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433886,home,Başakşehir FK,Ömer Ali Şahiner,omer-ali-sahiner,Ö. A. Şahiner,D,42,175,88,M,103912,EUR,694310400,D,42,42,False,62.0,52.0,5.0,3.0,27.0,30.0,34.0,3.0,8.0,1.0,,,,90.0,76.0,6.4,14.0,1,25.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10433886,home,Başakşehir FK,Youssouf Ndayishimiye,youssouf-ndayishimiye,Y. Ndayishimiye,D,55,183,1812,M,985934,EUR,909446400,D,55,55,False,141.0,131.0,12.0,8.0,55.0,55.0,86.0,5.0,8.0,2.0,,,,90.0,150.0,6.7,11.0,0,76.0,,1.0,,3.0,,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10433886,home,Başakşehir FK,Alexandru Epureanu,alexandru-epureanu,A. Epureanu,D,6,187,54,,18577,EUR,528163200,D,6,6,False,134.0,121.0,7.0,4.0,54.0,59.0,75.0,5.0,6.0,,,,,90.0,138.0,6.8,13.0,0,67.0,,4.0,4.0,5.0,,,,,1.0,2.0,1.0,1.0,,,,,True,1.0,,,,,,,,,,,,,,,
10433886,home,Başakşehir FK,Lucas Lima,lucas-lima,L. Lima,D,3,178,140,M,248529,EUR,687052800,D,60,60,False,30.0,25.0,2.0,,11.0,11.0,21.0,4.0,1.0,1.0,,,,45.0,46.0,6.6,10.0,0,14.0,2.0,1.0,1.0,2.0,,2.0,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,
10433886,home,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,292,M,252207,EUR,728265600,M,23,23,False,31.0,28.0,2.0,1.0,7.0,7.0,28.0,,3.0,,,,,62.0,40.0,6.6,11.0,1,21.0,4.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
10433886,home,Başakşehir FK,Lucas Biglia,lucas-biglia,L. Biglia,M,,178,317,,17799,EUR,507427200,M,20,20,False,72.0,65.0,6.0,6.0,26.0,26.0,46.0,8.0,6.0,1.0,,,,90.0,83.0,7.1,9.0,2,39.0,,1.0,5.0,7.0,1.0,,,,1.0,1.0,2.0,2.0,,2.0,,,,,1.0,4.0,1.0,1.0,2.0,,,,,,,,,,
10433886,home,Başakşehir FK,Berkay Özcan,berkay-ozcan,B. Özcan,M,8,178,161,M,806964,EUR,887500800,M,19,19,False,26.0,26.0,2.0,2.0,3.0,3.0,28.0,1.0,4.0,,,,,78.0,43.0,6.7,10.0,1,24.0,5.0,,,3.0,2.0,2.0,1.0,,,,,,,2.0,,,,,3.0,,,1.0,,1.0,,,,,,,,,
10433886,home,Başakşehir FK,Bertrand Traoré,bertrand-traore,B. Traoré,F,25,180,34499,M,218160,EUR,810345600,F,9,9,False,36.0,29.0,3.0,2.0,4.0,4.0,32.0,2.0,3.0,1.0,,,,90.0,57.0,6.4,16.0,3,25.0,,,,7.0,3.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,4.0,1.0,2.0,,1.0,,bertrandtraore10,,,,,,,,
10433886,home,Başakşehir FK,Philippe Keny,philippe-keny,P. P. Keny,F,19,186,355,M,988909,EUR,926985600,F,17,17,False,23.0,19.0,,,4.0,4.0,19.0,1.0,3.0,,,,,45.0,33.0,6.8,10.0,0,15.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,3.0,,,,,2.0,,,,,,,1.0,,,,,,,
