match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_goalAssist,stat_clearanceOffLine,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalOffside
11391432,home,Nice,Marcin Bułka,marcin-bulka,M. Bułka,G,99,198,4805,M,marcinbulka1,889590,EUR,938995200,G,1,1,False,45.0,39.0,11.0,5.0,37.0,39.0,2.0,6.0,6.0,1.0,2.0,90.0,49.0,7.2,6.0,0.00072941,0,0.6005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391432,home,Nice,Jordan Lotomba,jordan-lotomba,J. Lotomba,D,30,177,509,M,,796279,EUR,907027200,D,23,23,False,41.0,38.0,1.0,1.0,20.0,22.0,20.0,22.0,3.0,,,72.0,54.0,7.2,6.0,0.0948374,1,,,,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0297,0.0425,2.0,,,,,,,,,,,,,,,,,
11391432,home,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,,804472,EUR,852595200,D,8,8,False,90.0,85.0,4.0,1.0,59.0,62.0,26.0,28.0,2.0,,,90.0,106.0,7.4,8.0,0.0171765,0,,,,,,,1.0,2.0,5.0,,,1.0,3.0,1.0,,,,1.0,3.0,3.0,1.0,1.0,3.0,,,,,,,,,,,
11391432,home,Nice,Dante,dante,Dante,D,4,188,1257,M,,3577,EUR,435283200,D,4,4,False,119.0,109.0,7.0,2.0,78.0,80.0,31.0,39.0,1.0,,,90.0,133.0,7.8,11.0,0.147881,0,,,,,,2.0,,2.0,3.0,,,2.0,1.0,,,,2.0,,4.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,,,,,,,
11391432,home,Nice,Melvin Bard,melvin-bard,M. Bard,D,26,173,502,M,,906075,EUR,973468800,D,26,26,False,57.0,52.0,2.0,,37.0,39.0,16.0,21.0,10.0,,,90.0,91.0,7.6,14.0,0.0170996,0,,,,3.0,1.0,,1.0,4.0,7.0,,,2.0,2.0,,,,1.0,1.0,2.0,2.0,4.0,3.0,1.0,,3.0,,,,,,,,,
11391432,home,Nice,Morgan Sanson,morgan-sanson,M. Sanson,M,8,182,499,M,,250133,EUR,777168000,M,11,11,False,45.0,42.0,3.0,2.0,15.0,16.0,28.0,34.0,5.0,,,90.0,73.0,7.8,11.0,0.498814,0,,,,5.0,1.0,1.0,,7.0,10.0,3.0,,1.0,2.0,1.0,,,2.0,1.0,2.0,,3.0,2.0,,,6.0,5.0,1.0,1.0,,,,,,
11391432,home,Nice,Khéphren Thuram,khephren-thuram,K. Thuram,M,19,191,11655,M,k_thuram,904832,EUR,985564800,M,19,19,False,43.0,39.0,1.0,,34.0,35.0,5.0,8.0,6.0,,,90.0,55.0,7.3,5.0,0.00327802,0,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,6.0,1.0,,,1.0,,,,,,1.0,,,,,
11391432,home,Nice,Sofiane Diop,sofiane-diop,S. Diop,M,10,175,3842,M,,944164,EUR,960508800,M,10,10,False,16.0,15.0,1.0,1.0,7.0,7.0,8.0,9.0,4.0,,,45.0,28.0,6.8,3.0,0.00223998,0,,,,,,1.0,,4.0,3.0,1.0,,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,
11391432,home,Nice,Gaëtan Laborde,gaetan-laborde,G. Laborde,F,9,181,848,M,,149730,EUR,767923200,F,24,24,False,12.0,10.0,,,6.0,7.0,4.0,5.0,2.0,,,66.0,17.0,6.7,2.0,0.00176951,3,,,,,,2.0,1.0,3.0,1.0,,,,,,0.2103,,,1.0,,,,,,,,,,,,2.0,1.0,,,
11391432,home,Nice,Terem Moffi,terem-moffi,T. Moffi,F,29,188,3115,M,,894396,EUR,927590400,F,9,9,False,13.0,8.0,,,2.0,3.0,6.0,11.0,,,,84.0,21.0,7.4,7.0,0.0228456,2,,,,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,,,,0.582,0.5868,1.0,,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,,
11391432,home,Nice,Jérémie Boga,jeremie-boga,J. Boga,F,13,172,4912,M,jeremieboga,367056,EUR,852249600,F,7,7,False,17.0,15.0,,,6.0,6.0,9.0,15.0,1.0,,,72.0,28.0,6.7,9.0,0.0179831,0,,,,4.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,
11391432,home,Nice,Alexis Claude-Maurice,alexis-claude-maurice,A. Claude-Maurice,F,20,174,875,M,,822877,EUR,897091200,F,18,18,True,14.0,11.0,,,6.0,8.0,5.0,6.0,3.0,,,45.0,29.0,6.5,8.0,0.00896024,1,,,,,,1.0,,8.0,5.0,3.0,,,2.0,4.0,0.0208,,,,1.0,,3.0,,2.0,,,,,,,,1.0,,,
