match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_keyPass,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,captain,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_hitWoodwork
10382285,home,Vitesse,Kjell Scherpen,kjell-scherpen,K. Scherpen,G,37,205,781,M,852394,EUR,948585600,G,16,16,False,38.0,24.0,24.0,10.0,17.0,19.0,7.0,19.0,1.0,1.0,1.0,13.0,5.0,1.0,90.0,50.0,7.1,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382285,home,Vitesse,Carlens Arcus,carlens-arcus,C. Arcus,D,2,180,5896,M,794373,EUR,835920000,D,2,2,False,34.0,28.0,6.0,3.0,12.0,14.0,16.0,20.0,7.0,,,5.0,,,86.0,55.0,7.4,8.0,1,4.0,1.0,6.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10382285,home,Vitesse,Ryan Flamingo,ryan-flamingo,R. Flamingo,D,6,186,1614,M,1046960,EUR,1041292800,D,3,3,False,51.0,42.0,9.0,6.0,35.0,39.0,7.0,13.0,5.0,2.0,1.0,3.0,,,90.0,74.0,7.6,12.0,0,2.0,,9.0,1.0,1.0,,Ryan Flamingo,,1.0,2.0,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,
10382285,home,Vitesse,Nicolas Isimat-Mirin,nicolas-isimat-mirin,N. Isimat-Mirin,D,,189,76,M,781556,EUR,690076800,D,29,29,False,60.0,48.0,6.0,3.0,41.0,44.0,7.0,16.0,9.0,2.0,2.0,7.0,,,90.0,73.0,7.9,13.0,0,4.0,,4.0,,3.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
10382285,home,Vitesse,Maximilian Wittek,maximilian-wittek,M. Wittek,D,32,173,158,M,254125,EUR,808963200,D,32,32,False,34.0,26.0,6.0,3.0,16.0,17.0,14.0,24.0,,1.0,,2.0,,,90.0,56.0,7.8,18.0,1,,,,,,,,,7.0,1.0,3.0,,,,1.0,4.0,1.0,1.0,1.0,4.0,,,,,,,,,,
10382285,home,Vitesse,Melle Meulensteen,melle-meulensteen,M. Meulensteen,M,21,185,201,M,891795,EUR,931046400,M,20,20,False,52.0,44.0,7.0,5.0,22.0,23.0,22.0,30.0,7.0,1.0,1.0,20.0,,,90.0,70.0,7.7,12.0,1,,1.0,2.0,,5.0,3.0,,,1.0,1.0,3.0,1.0,3.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,
10382285,home,Vitesse,Marco van Ginkel,marco-van-ginkel,M. van Ginkel,F,,186,361,M,112794,EUR,723168000,M,15,15,False,34.0,24.0,2.0,1.0,12.0,13.0,12.0,22.0,6.0,,,5.0,,,89.0,45.0,6.9,11.0,2,3.0,,,,1.0,,,,1.0,2.0,6.0,1.0,,2.0,3.0,,1.0,,,1.0,,,,1.0,,,,,,
10382285,home,Vitesse,Million Manhoef,million-manhoef,M. Manhoef,M,42,179,770,M,961677,EUR,1010016000,M,42,42,False,20.0,13.0,2.0,2.0,7.0,8.0,6.0,13.0,6.0,8.0,5.0,3.0,,,89.0,49.0,7.2,18.0,8,,2.0,,,1.0,1.0,,,1.0,4.0,13.0,1.0,,,2.0,,5.0,,4.0,1.0,,3.0,1.0,1.0,1.0,,,,,
10382285,home,Vitesse,Matúš Bero,matus-bero,M. Bero,M,19,181,413,M,187207,EUR,810345600,M,21,21,False,42.0,28.0,4.0,1.0,12.0,16.0,16.0,27.0,6.0,1.0,,6.0,,,90.0,58.0,6.5,21.0,1,3.0,1.0,,,,,,,1.0,3.0,8.0,3.0,,3.0,,,,,3.0,6.0,,1.0,,,,True,,,,
10382285,home,Vitesse,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,10,182,3151,M,984602,EUR,1066262400,M,17,17,False,18.0,12.0,2.0,1.0,4.0,5.0,8.0,14.0,5.0,4.0,1.0,1.0,,,79.0,34.0,6.3,16.0,1,2.0,,,,1.0,,,,1.0,2.0,7.0,1.0,,1.0,,,,,2.0,,,1.0,,1.0,1.0,,,,,
