match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_penaltyConceded,stat_wasFouled,stat_penaltyWon,stat_totalCross,stat_challengeLost,stat_outfielderBlock,stat_accurateCross,stat_unsuccessfulTouch,stat_keyPass,captain,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_punches,stat_blockedScoringAttempt,stat_bigChanceMissed
12514055,home,CF Estrela Amadora,Bruno Brígido,bruno-brigido,B. Brígido,G,1,187,51,M,329079,EUR,668476800,G,30,30,False,24.0,18.0,10.0,4.0,0.0,17.0,17.0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,90.0,33.0,6.4,7.0,0.00015735,0,-0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514055,home,CF Estrela Amadora,Ferro,ferro,Ferro,D,4,193,693,M,357734,EUR,859334400,D,4,4,False,48.0,33.0,13.0,6.0,0.0,23.0,30.0,10.0,18.0,1.0,6.0,,,,90.0,58.0,6.6,16.0,0.0166317,0,,,,2.0,5.0,2.0,1.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12514055,home,CF Estrela Amadora,Issiar Drame,issiar-drame,I. Drame,D,5,196,173,M,857766,EUR,919123200,D,5,5,False,33.0,26.0,6.0,3.0,0.0,22.0,24.0,4.0,9.0,5.0,3.0,,,,90.0,42.0,6.5,7.0,0.00177256,0,,,,5.0,3.0,,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12514055,home,CF Estrela Amadora,Rúben Lima,ruben-lima,R. Lima,D,,176,41,M,59772,EUR,623376000,D,28,28,False,41.0,29.0,11.0,4.0,0.0,22.0,25.0,7.0,17.0,4.0,5.0,,,,90.0,59.0,7.1,13.0,0.00349388,0,,,,2.0,8.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,4.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,
12514055,home,CF Estrela Amadora,Danilo Veiga,danilo-veiga,D. Veiga,D,17,183,380,M,1002045,EUR,1032912000,M,77,77,False,25.0,16.0,7.0,4.0,0.0,9.0,11.0,8.0,16.0,4.0,2.0,,,,90.0,53.0,6.5,17.0,0.14694,0,,,,4.0,4.0,2.0,1.0,,,,2.0,,1.0,,2.0,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
12514055,home,CF Estrela Amadora,Léo Cordeiro,leo-cordeiro,L. Cordeiro,M,22,174,96,M,869461,EUR,812160000,M,22,22,False,17.0,16.0,1.0,1.0,0.0,8.0,9.0,8.0,8.0,1.0,6.0,,,,89.0,35.0,6.8,5.0,0.0135943,0,,,,3.0,5.0,1.0,1.0,,2.0,2.0,,1.0,,,2.0,,,1.0,,,2.0,,True,1.0,,,,,,,,,,
12514055,home,CF Estrela Amadora,Paulo Moreira,paulo-daniel-valente-moreira,P. Moreira,M,19,176,52,M,1090646,EUR,950745600,M,19,19,False,18.0,12.0,3.0,,0.0,8.0,12.0,4.0,7.0,,4.0,,,,74.0,37.0,6.9,12.0,0.00948128,0,,Paulo,Moreira,4.0,8.0,4.0,3.0,2.0,4.0,3.0,,,,,1.0,,1.0,,1.0,,1.0,,,3.0,,,,,,,,,,
12514055,home,CF Estrela Amadora,Nilton Varela,nilton-varela,N. Varela,M,75,182,76,M,998414,EUR,990748800,M,25,25,False,19.0,9.0,6.0,1.0,1.0,6.0,10.0,5.0,13.0,2.0,6.0,,,,90.0,61.0,7.2,23.0,0.11578,0,,,,7.0,8.0,4.0,1.0,3.0,2.0,,3.0,,3.0,,2.0,,4.0,,,2.0,2.0,2.0,,1.0,1.0,,,,,,,,,
12514055,home,CF Estrela Amadora,Leonel Bucca,leonel-bucca,L. Bucca,M,8,189,78,M,989867,EUR,921801600,F,26,26,False,8.0,2.0,,,0.0,1.0,3.0,1.0,5.0,,2.0,,,,58.0,19.0,7.4,12.0,0.00060098,2,,,,4.0,4.0,,,,2.0,2.0,2.0,1.0,2.0,,,,,,,,5.0,,,1.0,,1.0,1.0,1.0,0.2693,0.8373,,,,
12514055,home,CF Estrela Amadora,Kikas,kikas,Kikas,F,98,176,231,M,869875,EUR,905990400,F,98,98,False,13.0,8.0,2.0,,0.0,3.0,5.0,5.0,9.0,1.0,2.0,,,,89.0,22.0,6.5,9.0,0.00634697,0,,,,5.0,2.0,,,,1.0,1.0,2.0,2.0,,,1.0,,1.0,,,,2.0,1.0,,1.0,,,,,,,,,,
