match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_accurateCross,stat_ownGoals,stat_unsuccessfulTouch,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,stat_wonContest,stat_shotOffTarget,stat_hitWoodwork,stat_penaltyWon,stat_penaltyFaced,stat_errorLeadToAShot,stat_penaltyConceded,stat_totalOffside
11368638,home,Valencia,Giorgi Mamardashvili,giorgi-mamardashvili,G. Mamardashvili,G,25,200,17187,M,mamardashvili,930997,EUR,970185600,G,25,25,False,True,24.0,15.0,14.0,6.0,0.0,10.0,13.0,5.0,11.0,1.0,1.0,8.0,1.0,1.0,3.0,1.0,1.0,90.0,36.0,6.8,9.0,0.00122822,1.0,0,-0.7917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368638,home,Valencia,Dimitri Foulquier,dimitri-foulquier,D. Foulquier,D,20,183,461,M,,151138,EUR,732844800,D,20,20,False,,17.0,15.0,1.0,,0.0,7.0,8.0,8.0,10.0,1.0,2.0,1.0,,,,,,45.0,28.0,6.5,3.0,0.0141185,,0,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11368638,home,Valencia,Cristhian Mosquera,cristhian-mosquera,C. Mosquera,D,3,191,15807,M,,1144630,EUR,1088294400,D,3,3,False,,58.0,56.0,4.0,2.0,0.0,36.0,37.0,20.0,21.0,2.0,2.0,6.0,,,,,,90.0,68.0,7.0,2.0,0.00721956,,0,,Cristhian Mosquera,,,,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11368638,home,Valencia,Cenk Özkaçar,cenk-ozkacar,C. Özkaçar,D,39,190,733,M,,953097,EUR,970790400,D,15,15,False,,21.0,15.0,5.0,,0.0,11.0,15.0,4.0,6.0,1.0,1.0,,,,,,,61.0,24.0,6.1,6.0,0.00221547,,0,,,,,1.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11368638,home,Valencia,Yarek Gasiorowski,gasiorowski-yarek,Y. Gasiorowski,D,3,190,1668,M,,1184317,EUR,1105488000,D,34,34,False,,25.0,18.0,4.0,1.0,0.0,12.0,13.0,7.0,14.0,1.0,,2.0,,,,,,90.0,44.0,6.2,11.0,0.0122645,,0,,Yarek Gasiorowski,,2.0,3.0,2.0,,,2.0,2.0,,3.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11368638,home,Valencia,Diego López,diego-lopez,D. López,M,16,172,1350,M,,998950,EUR,1021248000,M,16,16,False,,23.0,21.0,2.0,2.0,0.0,3.0,3.0,18.0,24.0,,,4.0,,,,,,90.0,37.0,6.8,11.0,0.0904391,2.0,2,,,,4.0,8.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.2083,0.9295,,,,,,,,,,
11368638,home,Valencia,Pepelu,pepelu,Pepelu,M,18,185,1838,M,,826948,EUR,902793600,M,18,18,False,,44.0,42.0,3.0,3.0,0.0,20.0,21.0,22.0,25.0,3.0,3.0,2.0,,,,,,90.0,56.0,7.4,4.0,0.0283967,2.0,2,,,,2.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,,,,,,1.0,0.8169,0.9966,1.0,1.0,,,,,,,,
11368638,home,Valencia,Javier Guerra,javier-guerra,J. Guerra,M,8,187,1800,M,,1122610,EUR,1052784000,M,8,8,False,,38.0,32.0,5.0,2.0,0.0,11.0,12.0,21.0,29.0,,,10.0,,,,,,90.0,56.0,6.3,14.0,0.0367587,,4,,,,3.0,8.0,3.0,4.0,,2.0,,,,,,,1.0,,2.0,3.0,,,,0.2369,,1.0,,1.0,3.0,1.0,,,,,
11368638,home,Valencia,Sergi Canós,sergi-canos,S. Canós,M,7,173,366,M,,790833,EUR,854841600,M,7,7,False,,19.0,17.0,,,0.0,6.0,7.0,11.0,15.0,2.0,1.0,3.0,,,,,,90.0,42.0,6.7,8.0,0.0312682,1.0,6,,,,3.0,7.0,4.0,2.0,1.0,2.0,2.0,,,1.0,,,,2.0,1.0,3.0,,2.0,3.0,0.8562,0.2058,1.0,,1.0,2.0,1.0,,,,,
11368638,home,Valencia,Hugo Duro,hugo-duro,H. Duro,F,9,180,2868,M,,909119,EUR,942192000,F,9,9,False,,15.0,12.0,,,0.0,6.0,7.0,6.0,8.0,,,1.0,,,,,,45.0,23.0,6.5,7.0,0.0230035,1.0,1,,,,,8.0,2.0,3.0,,1.0,1.0,,1.0,,,,2.0,2.0,1.0,2.0,,,,0.0503,,1.0,,1.0,,,,,,,
