match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_dispossessed,stat_wasFouled,stat_shotOffTarget,stat_bigChanceMissed,player_sofascoreId,stat_outfielderBlock,stat_goodHighClaim,stat_totalOffside
11450097,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185,235,M,825850,EUR,923529600,G,25,25,False,32.0,30.0,8.0,6.0,28.0,28.0,2.0,4.0,1.0,12.0,2.0,3.0,1.0,1.0,90.0,45.0,6.7,2.0,0.00043964,0,-0.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450097,home,Kayserispor,Gökhan Sazdağı,gokhan-sazdagi,G. Sazdağı,D,25,179,949,M,595396,EUR,780019200,D,11,11,False,37.0,28.0,5.0,2.0,16.0,20.0,14.0,22.0,3.0,7.0,,,,,90.0,72.0,7.3,20.0,0.281701,0,,True,2.0,5.0,2.0,3.0,12.0,5.0,4.0,7.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,
11450097,home,Kayserispor,Julian Jeanvier,julian-jeanvier,J. Jeanvier,D,,183,619,M,250477,EUR,702000000,D,92,92,False,91.0,84.0,5.0,3.0,66.0,67.0,18.0,24.0,2.0,7.0,,,,,90.0,103.0,7.5,8.0,0.015325,2,,,,,,,,5.0,,,,,,3.0,1.0,1.0,,,2.0,1.0,1.0,1.0,0.1878,0.4243,,,,,,,,,,
11450097,home,Kayserispor,Arif Kocaman,kocaman-arif,A. Kocaman,D,43,184,69,M,1173638,EUR,1063497600,D,54,54,False,37.0,31.0,3.0,2.0,23.0,25.0,8.0,12.0,,1.0,,,,,45.0,44.0,6.1,8.0,0.00651103,0,,,,,,1.0,4.0,4.0,,,,,1.0,1.0,1.0,,2.0,,1.0,,,,,,,,1.0,2.0,,,,,,
11450097,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180,84,M,122922,EUR,671414400,D,23,23,False,37.0,32.0,5.0,2.0,16.0,18.0,16.0,19.0,,2.0,,,,,45.0,43.0,6.4,5.0,0.0536884,0,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
11450097,home,Kayserispor,Kartal Kayra Yılmaz,kartal-kayra-yilmaz,K. K. Yılmaz,M,17,177,1057,M,966811,EUR,973296000,M,8,8,False,69.0,55.0,11.0,5.0,36.0,38.0,20.0,34.0,,5.0,,,,,90.0,78.0,6.7,17.0,0.0447341,1,,,,3.0,1.0,,1.0,1.0,,,,,2.0,,,1.0,2.0,1.0,,,1.0,,0.0211,,,,,1.0,,,,,,
11450097,home,Kayserispor,Aylton Boa Morte,aylton-boa-morte,A. B. Morte,M,10,182,83,M,883918,EUR,748742400,M,70,70,False,19.0,12.0,2.0,1.0,2.0,5.0,10.0,14.0,,6.0,,,,,90.0,51.0,5.9,25.0,0.0293966,1,,,,,,2.0,15.0,9.0,,8.0,1.0,,,4.0,2.0,4.0,1.0,,1.0,,,,0.0416,,,,5.0,3.0,1.0,,,,,
11450097,home,Kayserispor,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183,403,M,98003,EUR,681523200,M,10,10,False,47.0,33.0,4.0,3.0,22.0,24.0,12.0,27.0,2.0,5.0,,,,,90.0,67.0,6.5,22.0,0.0576889,1,,,,4.0,1.0,2.0,7.0,3.0,1.0,,,,3.0,1.0,1.0,3.0,2.0,,2.0,,,,0.2226,,,,2.0,,1.0,1.0,,,,
11450097,home,Kayserispor,Miguel Cardoso,miguel-cardoso,M. Cardoso,M,7,176,326,M,344009,EUR,771984000,M,7,7,False,37.0,32.0,5.0,3.0,12.0,14.0,24.0,33.0,,2.0,,,,,87.0,57.0,6.7,18.0,0.275866,0,,,,10.0,4.0,1.0,7.0,3.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,4.0,2.0,,,,,,,,2.0,1.0,,,,,,
11450097,home,Kayserispor,Ramazan Civelek,ramazan-civelek,R. Civelek,M,28,172,61,M,781408,EUR,822268800,M,28,28,False,17.0,16.0,,,6.0,6.0,10.0,12.0,,5.0,,,,,45.0,24.0,6.5,3.0,0.00580643,0,,,,1.0,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,,
