match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_crossNotClaimed,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_totalCross,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_expectedGoals,player_lastName,stat_accurateCross,stat_aerialWon,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_fouls,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_blockedScoringAttempt,stat_errorLeadToAShot,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12764217,home,FK Crvena zvezda,Omri Glazer,omri-glazer,O. Glazer,G,18,190,1076,M,797083,EUR,826502400,G,18,18,False,24.0,19.0,7.0,2.0,0.0,18.0,21.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,90.0,29.0,5.8,5.0,0.00040379,0,-1.3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764217,home,FK Crvena zvezda,Ognjen Mimović,ognjen-mimovic,O. Mimović,D,21,180,1681,M,1146274,EUR,1092700800,D,70,70,False,43.0,38.0,1.0,,0.0,17.0,17.0,21.0,29.0,,4.0,3.0,,,90.0,70.0,6.6,13.0,0.0168526,1,,Ognjen Mimovic,3.0,5.0,1.0,6.0,3.0,1.0,2.0,2.0,2.0,0.1442,,,,,,,,,,,,,,,,,,,,,,,,
12764217,home,FK Crvena zvezda,Nasser Djiga,nasser-djiga,N. Djiga,D,24,187,3580,M,1127169,EUR,1037318400,D,24,24,False,73.0,69.0,1.0,,1.0,33.0,34.0,37.0,41.0,1.0,4.0,3.0,,,90.0,84.0,8.2,7.0,0.465255,2,,,2.0,6.0,1.0,1.0,,1.0,1.0,,,0.1667,,1.0,6.0,1.0,1.0,1.0,2.0,1.0,0.6038,2.0,,,,,,,,,,,,,,
12764217,home,FK Crvena zvezda,Uroš Spajić,uros-spajic,U. Spajić,D,15,186,485,M,111752,EUR,729561600,D,5,5,False,63.0,61.0,3.0,2.0,0.0,44.0,44.0,17.0,19.0,4.0,5.0,6.0,,,90.0,84.0,6.9,3.0,0.00983045,1,,,,7.0,,,,1.0,5.0,2.0,,0.0277,,,4.0,,,,2.0,2.0,,,True,1.0,1.0,2.0,,,,,,,,,,
12764217,home,FK Crvena zvezda,Young-woo Seol,young-woo-seol,Y. W. Seol,D,66,181,2047,M,1019333,EUR,912816000,D,66,66,False,40.0,33.0,1.0,,0.0,15.0,20.0,18.0,22.0,,3.0,8.0,,,71.0,56.0,6.2,11.0,0.0157597,0,,,2.0,1.0,,,,,,,,,,,,,,,2.0,1.0,,,,,2.0,1.0,2.0,,,,,,,,,
12764217,home,FK Crvena zvezda,Rade Krunić,rade-krunic,R. Krunić,M,33,184,2497,M,155449,EUR,749952000,M,6,6,False,53.0,49.0,1.0,1.0,0.0,19.0,21.0,30.0,35.0,2.0,5.0,4.0,,,90.0,69.0,6.9,9.0,0.238405,1,,,3.0,2.0,1.0,1.0,,,1.0,,,0.0688,,,2.0,,,,3.0,,,2.0,,,,,1.0,1.0,,,,,,,,
12764217,home,FK Crvena zvezda,Timi Max Elšnik,timi-max-elsnik,T. M. Elšnik,M,21,182,1608,M,827371,EUR,893808000,M,21,21,False,64.0,54.0,5.0,3.0,0.0,24.0,28.0,36.0,46.0,2.0,6.0,10.0,,,90.0,100.0,7.9,15.0,0.331788,2,,,10.0,11.0,1.0,2.0,2.0,,1.0,6.0,2.0,0.1247,,6.0,1.0,,2.0,,2.0,2.0,0.6459,4.0,,1.0,,2.0,1.0,,2.0,,,,,,,
12764217,home,FK Crvena zvezda,Silas,silas-katompa-mvumpa,S. K. Mvumpa,M,26,189,7747,M,949062,EUR,907632000,M,15,15,False,18.0,15.0,,,0.0,5.0,7.0,10.0,13.0,,5.0,2.0,,,71.0,32.0,6.0,11.0,0.0111415,2,,,2.0,1.0,4.0,,,2.0,,1.0,1.0,0.4701,,,,,,,,,,,,,2.0,,1.0,,,silas,1.0,,,,,
12764217,home,FK Crvena zvezda,Mirko Ivanić,mirko-ivanic,M. Ivanić,M,4,182,1265,M,278763,EUR,747878400,M,4,4,False,27.0,20.0,,,1.0,6.0,6.0,17.0,29.0,,1.0,5.0,,,90.0,47.0,7.9,15.0,0.374292,2,,,8.0,3.0,,2.0,1.0,1.0,1.0,2.0,1.0,0.1597,,3.0,,2.0,1.0,,1.0,,0.2184,3.0,,,2.0,,,,,,,,,,,
12764217,home,FK Crvena zvezda,Nemanja Radonjić,nemanja-radonjic,N. Radonjić,F,49,185,4618,M,802665,EUR,824342400,M,49,49,False,24.0,20.0,,,0.0,9.0,9.0,12.0,21.0,,5.0,,,,84.0,43.0,6.8,14.0,0.119928,3,,,6.0,4.0,,7.0,3.0,2.0,,,,0.1767,,1.0,,,1.0,,,1.0,0.0641,1.0,,,,1.0,1.0,,,n.radonjic7,,,,,,
