match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_interceptionWon,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_hitWoodwork,stat_wonTackle,stat_wasFouled,stat_dispossessed,stat_outfielderBlock,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_blockedScoringAttempt,player_sofascoreId
10389865,home,Nantes,Alban Lafont,alban-lafont,A. Lafont,G,40,195,2914,M,826201,EUR,917049600,G,1,1,False,True,30.0,20.0,15.0,6.0,15.0,16.0,5.0,14.0,4.0,8.0,1.0,3.0,2.0,2.0,2.0,90.0,46.0,6.7,10.0,0.0,0.0,0.00112002,0,-0.6572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389865,home,Nantes,Fábio,fabio,Fábio,D,2,172,306,M,40677,EUR,647481600,D,2,2,False,,28.0,25.0,2.0,1.0,9.0,9.0,16.0,21.0,2.0,,,,,,,59.0,45.0,6.6,8.0,0.0811,0.3977,0.0905622,1,,,,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10389865,home,Nantes,Jean-Charles Castelletto,jean-charles-castelletto,J.-C. Castelletto,D,21,186,1499,M,191204,EUR,791078400,D,21,21,False,,65.0,54.0,7.0,2.0,30.0,35.0,24.0,30.0,,15.0,,,,,,90.0,73.0,7.0,12.0,0.0852,0.0649,0.0119728,2,,,,,2.0,1.0,2.0,1.0,,1.0,,1.0,,,1.0,5.0,,,,,,,,,,,,,,,
10389865,home,Nantes,Nicolas Pallois,nicolas-pallois,N. Pallois,D,5,190,248,M,106496,EUR,559008000,D,4,4,False,,55.0,46.0,12.0,4.0,34.0,36.0,12.0,19.0,3.0,10.0,,,,,,90.0,59.0,6.4,9.0,0.0,0.0,0.00713196,0,,,,,2.0,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
10389865,home,Nantes,Quentin Merlin,quentin-merlin,Q. Merlin,M,26,173,1164,M,1102502,EUR,1021507200,D,29,29,False,,37.0,31.0,7.0,4.0,10.0,10.0,22.0,30.0,,2.0,,,,,,73.0,53.0,6.5,12.0,0.0,0.0,0.0247035,0,,Quentin Merlin,,3.0,,,3.0,3.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,
10389865,home,Nantes,Samuel Moutoussamy,moutoussamy-samuel,S. Moutoussamy,M,92,178,6604,M,892624,EUR,839808000,M,8,8,False,,16.0,13.0,,,6.0,7.0,7.0,9.0,,,,,,,,45.0,22.0,6.8,4.0,0.2366,0.1265,0.0181253,3,,Samuel,Moutoussamy,,3.0,,3.0,,,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,
10389865,home,Nantes,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186,273,M,794836,EUR,698284800,M,3,3,False,,33.0,22.0,7.0,2.0,7.0,8.0,15.0,26.0,2.0,3.0,,,,,,90.0,45.0,7.1,12.0,0.0351,0.0,0.0223796,1,,,,1.0,,,2.0,4.0,,,1.0,,1.0,1.0,1.0,4.0,,1.0,,,1.0,1.0,3.0,,,,,,,,
10389865,home,Nantes,Pedro Chirivella,pedro-chirivella,P. Chirivella,M,4,178,556,M,799216,EUR,864345600,M,5,5,False,,61.0,55.0,11.0,6.0,21.0,22.0,34.0,39.0,,5.0,,,,,,90.0,69.0,6.4,11.0,0.0,0.0,0.0432835,0,,,,,,,4.0,2.0,,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,3.0,,,,,,,
10389865,home,Nantes,Marcus Coco,marcus-coco,M. Coco,D,97,180,173,M,785418,EUR,835574400,F,11,11,False,,15.0,11.0,1.0,,3.0,3.0,8.0,12.0,,3.0,,,,,,45.0,22.0,6.7,6.0,0.0,0.0,0.0423346,0,,,,,1.0,1.0,2.0,2.0,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,
10389865,home,Nantes,Evann Guessand,evann-guessand,E. Guessand,F,29,185,5228,M,930245,EUR,993945600,F,7,7,False,,11.0,9.0,,,2.0,2.0,8.0,12.0,,1.0,,,,,,90.0,29.0,7.7,12.0,0.2468,1.1846,0.209473,2,,,,3.0,2.0,4.0,10.0,7.0,1.0,2.0,1.0,2.0,2.0,1.0,,,1.0,1.0,6.0,2.0,,,,1.0,1.0,,1.0,1.0,1.0,,
10389865,home,Nantes,Moses Simon,moses-simon,M. Simon,F,27,168,4098,M,330051,EUR,805507200,F,27,27,False,,20.0,14.0,,,4.0,4.0,16.0,22.0,,4.0,,,,,,80.0,39.0,8.8,10.0,0.502,0.6715,0.29052,2,,,,6.0,,,4.0,6.0,,1.0,3.0,2.0,2.0,4.0,,,6.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,
10389865,home,Nantes,Ludovic Blas,ludovic-blas,L. Blas,F,10,180,1176,M,806076,EUR,883526400,M,10,10,True,,15.0,13.0,1.0,,2.0,2.0,13.0,16.0,,,,,,,,45.0,35.0,7.2,8.0,0.1847,0.1009,0.0557457,2,,,,3.0,,,6.0,9.0,,1.0,1.0,2.0,1.0,2.0,,,2.0,2.0,9.0,7.0,,,1.0,1.0,,,,,,1.0,
10389865,home,Nantes,Mostafa Mohamed,mostafa-mohamed,M. Mohamed,F,31,185,32494,M,873551,EUR,880675200,F,31,31,True,,9.0,5.0,1.0,,,2.0,5.0,7.0,,1.0,,,,,,45.0,18.0,8.0,5.0,0.1785,0.7631,0.182255,3,,,,,6.0,1.0,7.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,mostafamohamed11
10389865,home,Nantes,Sébastien Corchia,sebastien-corchia,S. Corchia,D,14,176,100,M,47549,EUR,657417600,D,24,24,True,,9.0,6.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,,,,,,31.0,20.0,6.9,4.0,0.0,0.0,0.0385245,0,,,,1.0,,1.0,2.0,2.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,
10389865,home,Nantes,Dennis Appiah,dennis-appiah,D. Appiah,D,8,179,168,M,123164,EUR,708048000,D,12,12,True,,5.0,4.0,1.0,,4.0,5.0,,,,2.0,,,,,,17.0,13.0,6.6,4.0,0.0,0.0,0.00017011,0,,,,,,,2.0,2.0,,,2.0,,,,,1.0,,1.0,1.0,,,2.0,,,,,,,,,
10389865,home,Nantes,Lohann Doucet,lohann-doucet,L. Doucet,M,15,180,176,M,1170523,EUR,1031961600,M,20,20,True,,3.0,2.0,2.0,1.0,2.0,2.0,,1.0,,1.0,,,,,,10.0,6.0,6.9,1.0,0.0,0.0,2.704e-05,0,,Lohann Doucet,,,1.0,,1.0,2.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,
10389865,home,Nantes,Denis Petrić,denis-petric,D. Petrić,G,,186,72,M,20705,EUR,580435200,G,30,30,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389865,home,Nantes,Mohamed Achi,mohamed-achi,M. Achi,M,7,181,105,M,1172764,EUR,1011139200,M,19,19,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,Mohamed Achi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389865,home,Nantes,Abdoul Kader Bamba,abdoul-kader-bamba,K. Bamba,M,32,176,177,M,938270,EUR,769824000,F,55,55,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389865,home,Nantes,Gor Manvelyan,gor-manvelyan,G. Manvelyan,M,27,180,190,M,1129370,EUR,1018310400,M,22,22,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389865,away,Toulouse,Maxime Dupé,maxime-dupe,M. Dupé,G,31,186,170,M,96542,EUR,731203200,G,30,30,False,,32.0,25.0,12.0,5.0,23.0,25.0,2.0,7.0,,8.0,,,4.0,5.0,,90.0,42.0,6.8,7.0,0.0,0.0,0.00029691,0,0.3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389865,away,Toulouse,Mikkel Desler,mikkel-desler,M. Desler,D,3,187,109,M,226958,EUR,793152000,D,3,3,False,,35.0,30.0,3.0,2.0,17.0,19.0,13.0,17.0,2.0,4.0,,,,,,79.0,59.0,6.4,8.0,0.0,0.0,0.0247255,0,,,,1.0,,2.0,3.0,6.0,,,1.0,1.0,,,,2.0,,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,
