match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_goalAssist,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_totalOffside,stat_keyPass,captain,stat_duelLost,stat_totalClearance,stat_fouls,player_sofascoreId,stat_aerialLost,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,stat_totalCross,stat_dispossessed,stat_totalContest,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceCreated,stat_hitWoodwork,stat_punches,stat_bigChanceMissed
10407246,home,Royal Antwerp FC,Jean Butez,jean-butez,J. Butez,G,1,188,1319,M,599114,EUR,802569600,G,1,1,False,24.0,17.0,13.0,7.0,15.0,16.0,2.0,8.0,1.0,1.0,5.0,1.0,2.0,2.0,90.0,31.0,6.5,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407246,home,Royal Antwerp FC,Ritchie De Laet,ritchie-de-laet,R. De Laet,D,,186,91,M,30420,EUR,596678400,D,2,2,False,64.0,56.0,6.0,5.0,20.0,23.0,36.0,41.0,1.0,2.0,6.0,,,,90.0,77.0,7.5,9.0,2,,,1.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
10407246,home,Royal Antwerp FC,Toby Alderweireld,toby-alderweireld,T. Alderweireld,D,,186,1451,M,44575,EUR,604800000,D,23,23,False,69.0,62.0,8.0,5.0,36.0,38.0,26.0,31.0,1.0,1.0,5.0,,,,90.0,75.0,6.7,7.0,0,,,,,1.0,,,,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10407246,home,Royal Antwerp FC,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25491,M,979480,EUR,1003190400,D,51,51,False,48.0,42.0,6.0,4.0,29.0,31.0,13.0,17.0,,2.0,3.0,,,,90.0,57.0,6.5,7.0,2,,,,1.0,1.0,2.0,,,,4.0,2.0,,pachowilliam,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10407246,home,Royal Antwerp FC,Sam Vines,sam-vines,S. Vines,D,3,178,116,M,894157,EUR,928108800,D,21,21,False,26.0,19.0,2.0,,9.0,12.0,10.0,15.0,1.0,4.0,,,,,90.0,51.0,6.5,11.0,1,,,,1.0,,3.0,,,,2.0,,,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,
10407246,home,Royal Antwerp FC,Radja Nainggolan,radja-nainggolan,R. Nainggolan,M,44,176,2657,M,44001,EUR,578620800,M,4,4,False,39.0,32.0,8.0,6.0,11.0,12.0,23.0,34.0,1.0,3.0,2.0,,,,88.0,55.0,7.4,15.0,3,Radja,Nainggolan,,2.0,,1.0,,1.0,,3.0,,1.0,,,,,,,,7.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,
10407246,home,Royal Antwerp FC,Pieter Gerkens,pieter-gerkens,P. Gerkens,M,18,180,176,M,190401,EUR,808272000,M,16,16,False,48.0,38.0,3.0,2.0,11.0,12.0,29.0,38.0,1.0,2.0,3.0,,,,90.0,57.0,7.6,10.0,0,,,1.0,,,1.0,,4.0,,3.0,3.0,1.0,,1.0,1.0,,,,,2.0,,,2.0,,,,1.0,,,
10407246,home,Royal Antwerp FC,Alhassan Yusuf,alhassan-yusuf,A. Yusuf,M,80,175,922,M,943114,EUR,963878400,M,8,8,False,53.0,49.0,7.0,5.0,18.0,19.0,31.0,34.0,,6.0,11.0,3.0,,,90.0,66.0,7.2,7.0,0,,,1.0,,3.0,1.0,,1.0,,3.0,,2.0,,,,,,,1.0,,1.0,2.0,,2.0,,,,,,
10407246,home,Royal Antwerp FC,Koji Miyoshi,koji-miyoshi,K. Miyoshi,M,23,167,663,M,358984,EUR,859334400,F,19,19,False,23.0,20.0,1.0,,3.0,3.0,17.0,24.0,,4.0,2.0,,,,74.0,40.0,7.4,8.0,2,,,1.0,,1.0,3.0,,2.0,,,,,,,,2.0,,,1.0,4.0,,1.0,,1.0,,,,,,
10407246,home,Royal Antwerp FC,Michael Frey,michael-frey,M. Frey,F,99,189,393,M,134248,EUR,774576000,F,99,99,False,26.0,21.0,,,4.0,4.0,17.0,22.0,1.0,6.0,,1.0,,,74.0,46.0,7.1,15.0,2,,,,1.0,,4.0,,,,8.0,2.0,1.0,,1.0,1.0,,,2.0,4.0,,4.0,1.0,,,1.0,1.0,,,,
