match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_duelWon,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_possessionLostCtrl,stat_totalCross,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,captain,stat_aerialWon,stat_blockedScoringAttempt,stat_hitWoodwork,player_sofascoreId,stat_accurateCross,stat_bigChanceMissed,stat_unsuccessfulTouch,stat_keyPass,stat_wasFouled,stat_bigChanceCreated,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_goals,stat_errorLeadToAShot,stat_goalAssist
10389876,home,Nice,Kasper Schmeichel,kasper-schmeichel,K. Schmeichel,G,1,189,3913,M,1076,EUR,531532800,G,1,1,False,15.0,15.0,1.0,1.0,15.0,15.0,1.0,3.0,2.0,90.0,21.0,6.3,0.0,0.0,3.408e-05,0,-0.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389876,home,Nice,Antoine Mendy,mendy-antoine,A. Mendy,D,5,186,6281,M,1120615,EUR,1085529600,D,33,33,False,30.0,22.0,1.0,,8.0,10.0,3.0,2.0,,68.0,43.0,6.2,0.0,0.0,0.00836016,0,,14.0,20.0,1.0,7.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
10389876,home,Nice,Youssouf Ndayishimiye,youssouf-ndayishimiye,Y. Ndayishimiye,D,55,183,1788,M,985934,EUR,909446400,D,55,55,False,68.0,64.0,6.0,3.0,21.0,22.0,2.0,6.0,,90.0,79.0,6.8,0.0903,0.2245,0.0694924,3,,43.0,47.0,1.0,4.0,,2.0,1.0,1.0,1.0,,1.0,,7.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10389876,home,Nice,Jean-Clair Todibo,jean-clair-todibo,J-C. Todibo,D,25,189,2607,M,945217,EUR,946512000,D,25,25,False,43.0,39.0,2.0,,26.0,28.0,3.0,8.0,,90.0,60.0,6.9,0.0763,0.051,0.0175485,1,,13.0,15.0,,2.0,1.0,1.0,1.0,3.0,2.0,1.0,,,5.0,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,
10389876,home,Nice,Dante,dante,Dante,D,4,188,1257,M,3577,EUR,435283200,D,4,4,False,77.0,73.0,1.0,,43.0,44.0,3.0,10.0,,90.0,85.0,7.1,0.1773,0.0,0.0250517,3,,30.0,33.0,1.0,1.0,,,,2.0,2.0,1.0,,,4.0,,,2.0,,1.0,,,,True,1.0,1.0,1.0,,,,,,,,,,,,,
10389876,home,Nice,Melvin Bard,melvin-bard,M. Bard,D,26,173,502,M,906075,EUR,973468800,D,26,26,False,34.0,32.0,3.0,3.0,14.0,15.0,2.0,3.0,,68.0,45.0,6.5,0.0,0.0,0.0324098,0,,18.0,20.0,,4.0,,2.0,,,2.0,1.0,1.0,,5.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
10389876,home,Nice,Nicolas Pépé,nicolas-pepe,N. Pépé,F,19,183,12582,M,593526,EUR,801705600,M,29,29,False,55.0,50.0,,,12.0,13.0,5.0,5.0,,90.0,88.0,6.8,0.56,0.3559,0.226327,4,,41.0,48.0,,9.0,2.0,6.0,1.0,,4.0,3.0,,,19.0,6.0,2.0,1.0,2.0,,1.0,,,,,1.0,,nicolas_pepe19,3.0,1.0,3.0,4.0,,,,,,,,
10389876,home,Nice,Aaron Ramsey,aaron-ramsey,A. Ramsey,M,10,182,2882,M,23571,EUR,662169600,M,16,16,False,72.0,66.0,10.0,9.0,23.0,24.0,2.0,6.0,,83.0,91.0,7.2,0.0,0.0,0.269982,0,,45.0,54.0,,4.0,2.0,,,1.0,2.0,1.0,,,14.0,6.0,2.0,,,,2.0,,,,,,,,2.0,,2.0,3.0,,,,,,,,
10389876,home,Nice,Hicham Boudaoui,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,985923,EUR,938044800,M,28,28,False,49.0,45.0,1.0,1.0,18.0,19.0,7.0,2.0,,75.0,72.0,7.0,0.0146,0.0,0.0852906,1,,27.0,30.0,,6.0,3.0,4.0,2.0,,3.0,3.0,1.0,,12.0,,,1.0,,,1.0,,,,,,,hicham_boudaoui,,,3.0,4.0,2.0,,,,,,,
10389876,home,Nice,Khéphren Thuram,khephren-thuram,K. Thuram,M,19,191,11655,M,904832,EUR,985564800,M,19,19,False,57.0,48.0,3.0,2.0,12.0,14.0,2.0,7.0,,90.0,74.0,7.4,0.1465,0.0,0.540719,2,,37.0,46.0,,4.0,2.0,3.0,2.0,,,,1.0,,14.0,3.0,,1.0,,1.0,,,,,,1.0,,k_thuram,1.0,,,3.0,,1.0,,,,,,
10389876,home,Nice,Terem Moffi,terem-moffi,T. Moffi,F,29,188,3115,M,894396,EUR,927590400,F,9,9,False,11.0,10.0,,,5.0,5.0,1.0,1.0,,83.0,20.0,6.6,0.3168,0.3079,0.0710218,3,,5.0,6.0,,5.0,1.0,1.0,,,,,1.0,,5.0,,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,2.0,,,,,,,,
10389876,home,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,804472,EUR,852595200,M,8,8,True,19.0,18.0,,,3.0,3.0,,3.0,,22.0,24.0,6.4,0.0,0.0,0.0276469,0,,15.0,19.0,,1.0,,,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10389876,home,Nice,Billal Brahimi,billal-brahimi,B. Brahimi,F,26,183,3117,M,948250,EUR,952992000,F,14,14,True,16.0,16.0,,,,,2.0,,,22.0,31.0,7.3,0.0764,0.1494,0.125319,2,,18.0,22.0,,,,1.0,1.0,,1.0,1.0,,,5.0,6.0,,1.0,1.0,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,
10389876,home,Nice,Gaëtan Laborde,gaetan-laborde,G. Laborde,F,9,181,848,M,149730,EUR,767923200,F,24,24,True,5.0,2.0,,,,,1.0,,,15.0,8.0,6.5,0.0751,0.0,0.0894375,1,,2.0,5.0,2.0,2.0,,,,,,,,,4.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,
