match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_aerialWon,stat_outfielderBlock,stat_totalCross,stat_dispossessed,stat_unsuccessfulTouch,stat_fouls,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_accurateCross,stat_shotOffTarget,stat_totalOffside,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated
10438335,home,FC Arouca,Ignacio de Arruabarrena,ignacio-de-arruabarrena,I. d. Arruabarrena,G,12,186,301,M,789933,EUR,853372800,G,12,12,False,22.0,15.0,10.0,3.0,14.0,18.0,1.0,4.0,4.0,90.0,26.0,5.7,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438335,home,FC Arouca,Bogdan Milovanov,bogdan-milovanov,B. Milovanov,D,3,178,86,M,914162,EUR,892944000,D,21,21,False,42.0,31.0,7.0,1.0,24.0,29.0,7.0,13.0,9.0,90.0,55.0,6.3,12.0,0,1.0,3.0,5.0,2.0,1.0,1.0,5.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,
10438335,home,FC Arouca,João Basso,joao-basso,J. Basso,D,13,189,677,M,850955,EUR,853113600,D,13,13,False,51.0,46.0,5.0,3.0,39.0,42.0,7.0,9.0,5.0,88.0,60.0,6.8,5.0,0,,,4.0,,,,2.0,2.0,2.0,1.0,True,2.0,1.0,,,,,,,,,,,,,,,,,
10438335,home,FC Arouca,Jerome Opoku,opoku-jerome,J. Opoku,D,3,194,1396,M,920514,EUR,908323200,D,3,3,False,31.0,25.0,6.0,2.0,19.0,22.0,6.0,10.0,4.0,90.0,45.0,5.7,12.0,0,,5.0,3.0,,5.0,2.0,2.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10438335,home,FC Arouca,Mateus Quaresma,mateus-quaresma,M. Quaresma,D,66,181,70,M,874360,EUR,840672000,D,6,6,False,44.0,35.0,4.0,2.0,23.0,27.0,12.0,18.0,11.0,90.0,94.0,6.5,21.0,0,,7.0,12.0,2.0,6.0,4.0,2.0,6.0,3.0,2.0,,1.0,,1.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,,,,
10438335,home,FC Arouca,David Simão,david-simao,D. Simão,M,8,183,75,M,54672,EUR,642729600,M,5,5,False,33.0,19.0,9.0,4.0,10.0,13.0,9.0,21.0,5.0,59.0,41.0,6.4,16.0,0,,1.0,4.0,,2.0,2.0,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
10438335,home,FC Arouca,Ismaila Soro,ismaila-soro,I. Soro,M,19,173,157,M,892808,EUR,894499200,M,23,23,False,34.0,28.0,2.0,1.0,20.0,23.0,8.0,11.0,6.0,82.0,50.0,6.3,9.0,0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
10438335,home,FC Arouca,Morlaye Sylla,morlaye-sylla,M. Sylla,M,2,170,6425,M,822492,EUR,901497600,M,2,2,False,40.0,35.0,4.0,1.0,16.0,17.0,20.0,24.0,5.0,90.0,48.0,6.7,7.0,0,,1.0,3.0,,1.0,,1.0,,2.0,2.0,,,,1.0,,1.0,,1.0,1.0,,,morlayesylla2,1.0,,,,,,,
10438335,home,FC Arouca,Alan Ruiz,alan-ruiz,A. Ruiz,M,,181,154,M,158255,EUR,745718400,M,10,10,False,36.0,27.0,3.0,3.0,17.0,19.0,11.0,22.0,5.0,89.0,48.0,6.6,17.0,1,,6.0,1.0,,3.0,,,,,,,1.0,,5.0,1.0,,2.0,,2.0,,,,1.0,1.0,,,,,,
10438335,home,FC Arouca,Antony Alves,antony-alves,A. Alves,M,11,178,335,M,1105971,EUR,999907200,M,11,11,False,11.0,7.0,1.0,,4.0,5.0,3.0,6.0,5.0,90.0,20.0,6.2,8.0,2,2.0,6.0,3.0,1.0,,,,,1.0,1.0,,1.0,,,1.0,3.0,2.0,1.0,,Antony,,,,2.0,,,,,,
