match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_wasFouled,stat_fouls,captain,stat_shotOffTarget,stat_expectedGoals,stat_wonContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_penaltyConceded,stat_bigChanceCreated,player_sofascoreId,stat_hitWoodwork,stat_bigChanceMissed,stat_penaltyWon,stat_totalOffside
12117066,home,Vitória,Lucas Arcanjo,lucas-arcanjo,L. Arcanjo,G,1,190,811,M,982558,EUR,902534400,G,1,1,False,37.0,18.0,24.0,6.0,0.0,12.0,17.0,6.0,20.0,2.0,4.0,3.0,1.0,5.0,1.0,90.0,44.0,7.1,19.0,0.00174202,0,0.3769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117066,home,Vitória,Raúl Cáceres,raul-caceres,R. Cáceres,D,27,180,356,M,122971,EUR,685152000,D,27,27,False,23.0,15.0,5.0,2.0,1.0,5.0,10.0,11.0,16.0,5.0,7.0,,,,,83.0,46.0,7.1,14.0,0.188297,0,,,,3.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12117066,home,Vitória,Caio Vinícius,caio-vinicius,C. Vinícius,M,34,187,316,M,924404,EUR,916012800,D,15,15,False,30.0,25.0,4.0,2.0,0.0,17.0,20.0,8.0,10.0,6.0,4.0,,,,,90.0,40.0,6.3,6.0,0.00250507,0,,,,,,4.0,5.0,5.0,1.0,,,1.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
12117066,home,Vitória,Wagner Leonardo,wagner-leonardo,W. Leonardo,D,3,186,1490,M,976235,EUR,932688000,D,4,4,False,52.0,41.0,15.0,6.0,0.0,33.0,37.0,8.0,15.0,6.0,6.0,,,,,90.0,62.0,6.5,12.0,0.00290037,1,,,,,,2.0,4.0,3.0,1.0,,,1.0,1.0,1.0,,3.0,,,True,1.0,0.0383,,,,,,,,,,,,,,
12117066,home,Vitória,Lucas Esteves,lucas-esteves,L. Esteves,D,25,171,881,M,1387272,EUR,961804800,D,16,16,False,30.0,22.0,4.0,,0.0,14.0,19.0,8.0,12.0,,4.0,,,,,90.0,44.0,6.5,10.0,0.00509449,1,,,,1.0,,,,4.0,,1.0,,,3.0,1.0,,,,,,1.0,0.0181,1.0,,,,,,,,,,,,,
12117066,home,Vitória,Luan Santos,luan-santos,Luan,M,33,173,2976,M,942426,EUR,926640000,M,8,8,False,29.0,22.0,8.0,3.0,0.0,19.0,22.0,3.0,7.0,1.0,6.0,,,,,63.0,40.0,6.6,10.0,0.00228831,1,,,,,,,2.0,2.0,1.0,2.0,,2.0,,,,,,1.0,,,0.0945,2.0,1.0,2.0,,,,,,,,,,,
12117066,home,Vitória,Matheuzinho,matheuzinho,Matheuzinho,M,10,165,1521,M,795266,EUR,877132800,M,30,30,False,23.0,22.0,4.0,4.0,1.0,9.0,9.0,14.0,16.0,,4.0,,,,,74.0,37.0,8.5,6.0,0.0434179,3,,,,2.0,1.0,,1.0,5.0,,2.0,,,1.0,1.0,1.0,,3.0,,,1.0,0.2199,1.0,,2.0,2.0,1.0,0.5967,,,,,,,,
12117066,home,Vitória,Willian Oliveira,willian-oliveira,W. Oliveira,M,29,179,410,M,295167,EUR,737510400,M,29,29,False,20.0,15.0,,,0.0,11.0,13.0,4.0,7.0,4.0,5.0,,,,,90.0,35.0,8.3,7.0,0.00548049,2,,,,,,2.0,7.0,7.0,2.0,1.0,,1.0,1.0,1.0,,1.0,3.0,2.0,,,0.3062,1.0,,,2.0,2.0,0.5327,2.0,,,,,,,
12117066,home,Vitória,Leo Naldi,leo-naldi,L. Naldi,M,18,177,232,M,1101061,EUR,998092800,M,5,5,False,27.0,20.0,4.0,2.0,0.0,9.0,10.0,12.0,18.0,2.0,3.0,,,,,74.0,38.0,6.5,10.0,0.094331,0,,Leo Naldi,,1.0,1.0,2.0,7.0,4.0,,3.0,,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,
12117066,home,Vitória,Osvaldo,osvaldo,Osvaldo,M,11,170,559,M,90468,EUR,545097600,M,11,11,False,14.0,12.0,,,0.0,4.0,4.0,8.0,12.0,1.0,1.0,,,,,74.0,25.0,6.6,6.0,0.0839219,1,,,,2.0,,,8.0,5.0,1.0,,,,3.0,3.0,2.0,1.0,2.0,4.0,,1.0,0.2357,,,1.0,,,,2.0,1.0,,,,,,
12117066,home,Vitória,Alerrandro,alerrandro,Alerrandro,F,9,180,1551,M,923948,EUR,947635200,F,9,9,False,22.0,18.0,1.0,1.0,0.0,7.0,7.0,11.0,15.0,2.0,6.0,,,,,90.0,35.0,7.3,8.0,0.0341313,2,,,,,,3.0,9.0,6.0,1.0,1.0,1.0,,2.0,2.0,2.0,5.0,1.0,1.0,,1.0,0.1818,,,2.0,1.0,,0.1246,1.0,,,,,,,
12117066,home,Vitória,Fábio Soares,fabio,Fábio,F,80,178,143,M,1523441,EUR,1102032000,M,83,83,True,11.0,9.0,1.0,1.0,0.0,3.0,3.0,6.0,8.0,1.0,2.0,,,,,27.0,18.0,6.7,4.0,0.0153326,0,,Fábio,Soares,,,,1.0,2.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,
12117066,home,Vitória,Jean Mota,jean-mota,J. Mota,M,17,172,476,M,243231,EUR,750643200,M,10,10,True,7.0,4.0,,,0.0,2.0,2.0,2.0,5.0,,1.0,,,,,16.0,8.0,7.0,3.0,0.138115,0,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
12117066,home,Vitória,Rodrigo Andrade,rodrigo-andrade,R. Andrade,M,32,174,134,M,874398,EUR,854928000,M,32,32,True,12.0,9.0,1.0,1.0,0.0,6.0,8.0,3.0,4.0,,3.0,,,,,16.0,15.0,6.7,3.0,0.00107261,0,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
12117066,home,Vitória,Eryc Castillo,erick-castillo,E. Castillo,M,8,177,811,M,338957,EUR,791942400,F,31,31,True,5.0,5.0,,,0.0,3.0,3.0,2.0,2.0,,1.0,,,,,16.0,9.0,7.1,3.0,0.00048878,1,,,,,,,2.0,,,1.0,,,,,,,,1.0,,,0.3746,,,2.0,1.0,1.0,0.4792,,,,,,,,
12117066,home,Vitória,Pablo Santos,pablo,P. Santos,M,62,175,146,M,1841330,EUR,1059868800,M,62,62,True,2.0,2.0,,,0.0,2.0,2.0,,,,,,,,,11.0,4.0,6.0,2.0,4.253e-05,0,,Pablo,,,,,3.0,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,
