match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_aerialLost,stat_interceptionWon,captain,stat_accurateCross,stat_challengeLost,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_wasFouled,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_savedShotsFromInsideTheBox,stat_outfielderBlock,stat_lastManTackle
11453168,home,Al-Fateh,Jacob Rinne,,,jacob-rinne,J. Rinne,G,35,188.0,92,M,289025,EUR,740534400.0,G,1,1,False,25.0,25.0,3.0,3.0,25.0,25.0,1.0,1.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,90.0,33.0,6.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453168,home,Al-Fateh,Saeed Baattia,Saeed Baattia,,saeed-baattia,S. Baattia,D,15,172.0,25,M,1521953,EUR,969667200.0,D,12,12,False,37.0,31.0,4.0,2.0,16.0,18.0,10.0,1.0,,,8.0,,,,,77.0,54.0,7.0,0,15.0,21.0,2.0,5.0,4.0,2.0,5.0,3.0,2.0,1.0,14.0,1.0,,,,,,,,,,,,,,,,
11453168,home,Al-Fateh,Qasim Lajami,,,qasim-al-oujami,Q. Lajami,D,87,178.0,103,M,818668,EUR,830390400.0,D,87,87,False,65.0,61.0,6.0,2.0,46.0,47.0,1.0,,,1.0,5.0,,,,,90.0,72.0,6.6,0,15.0,18.0,,,1.0,,1.0,1.0,,,4.0,,1.0,2.0,,,,,,,,,,,,,,
11453168,home,Al-Fateh,Marwane Saadane,,,marwane-saadane,M. Saadane,D,17,185.0,1277,M,847714,EUR,695606400.0,D,17,17,False,99.0,91.0,14.0,9.0,55.0,58.0,5.0,,,3.0,4.0,,,,,90.0,105.0,7.1,0,36.0,41.0,,3.0,5.0,,2.0,2.0,1.0,3.0,9.0,2.0,2.0,,True,,,,,,,,,,,,,
11453168,home,Al-Fateh,Salem Alnajdi,,,alnajdi-salem,S. Alnajdi,D,83,178.0,1037,M,1475427,EUR,1043625600.0,D,83,83,False,40.0,32.0,2.0,1.0,13.0,13.0,9.0,3.0,3.0,,4.0,,,,,90.0,65.0,6.8,1,20.0,32.0,5.0,3.0,2.0,,3.0,1.0,1.0,,14.0,1.0,1.0,3.0,,1.0,1.0,1.0,,,,,,,,,,
11453168,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180.0,1218,M,845609,EUR,713318400.0,M,28,28,False,67.0,60.0,11.0,8.0,28.0,29.0,8.0,2.0,1.0,1.0,6.0,,,,,90.0,83.0,7.6,1,32.0,38.0,,1.0,11.0,2.0,4.0,3.0,1.0,6.0,11.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,
11453168,home,Al-Fateh,Mukhtar Ali,,,ali-mukhtar,A. Mukhtar,M,7,185.0,334,M,788258,EUR,878169600.0,M,7,7,False,104.0,99.0,4.0,2.0,43.0,46.0,,1.0,,,8.0,,,,,90.0,111.0,7.1,2,56.0,60.0,2.0,,2.0,,,,,1.0,8.0,1.0,,1.0,,,,,,,,,2.0,1.0,,,,
11453168,home,Al-Fateh,Othman Al-Othman,Othman Alothma,,othman-al-othman,O. Al-Othman,M,88,167.0,30,M,1096521,EUR,1050364800.0,M,88,88,False,9.0,7.0,1.0,,2.0,3.0,7.0,3.0,2.0,,3.0,,,,,45.0,25.0,6.4,0,5.0,6.0,,,8.0,1.0,3.0,1.0,4.0,1.0,8.0,,1.0,,,,4.0,,,,,2.0,,,,,,
11453168,home,Al-Fateh,Lucas Zelarayán,Lucas,Zelarayán,lucas-zelarayan,L. Zelarayán,M,10,172.0,1289,M,249061,EUR,708998400.0,M,10,10,False,55.0,48.0,9.0,7.0,16.0,17.0,,1.0,,,1.0,,,,,89.0,74.0,8.7,4,34.0,44.0,6.0,,4.0,2.0,,,4.0,1.0,19.0,2.0,,,,2.0,,,1.0,1.0,3.0,,1.0,,1.0,,,
11453168,home,Al-Fateh,Cristian Tello,,,cristian-tello,C. Tello,M,,178.0,644,M,114157,EUR,681868800.0,M,37,37,False,49.0,43.0,6.0,5.0,11.0,11.0,8.0,8.0,6.0,,4.0,,,,,90.0,68.0,7.4,4,32.0,40.0,2.0,,4.0,1.0,1.0,1.0,1.0,,13.0,1.0,,,,,1.0,3.0,,,,1.0,1.0,,,,,
