match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_aerialLost,stat_challengeLost,stat_penaltyWon,stat_totalOffside,stat_outfielderBlock,stat_interceptionWon,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
14572774,home,Nottingham Forest,Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9203,M,867442,EUR,973555200,F,7,7,False,29.0,26.0,1.0,1.0,0.0,2.0,3.0,24.0,26.0,1.0,1.0,,,,,,90.0,52.0,7.2,15.0,0.168005,,3,,0.26,0.52,0.14,,Calteck10,10.0,2.0,,3.0,3.0,1.0,,,,0.0978,,-0.39,2.0,2.0,1.0,1.0,4.0,,,,1.0,,,,,1.0,,,2.0,2.0,,,,,
14572774,home,Nottingham Forest,Nicolò Savona,nicolo-savona,N. Savona,D,37,192,2579,M,1010220,EUR,1048032000,D,37,37,True,31.0,26.0,3.0,2.0,0.0,14.0,15.0,12.0,16.0,1.0,,,,,,,62.0,46.0,6.5,8.0,0.114825,,1,,0.19,0.11,-0.09,,,4.0,1.0,,,,,,,,0.0543,,-0.36,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,
14572774,home,Nottingham Forest,Chris Wood,chris-wood,C. Wood,F,11,191,7444,M,50480,EUR,692064000,F,11,11,True,5.0,4.0,,,0.0,3.0,3.0,1.0,2.0,,,,,,,,15.0,8.0,7.2,2.0,0.316393,,1,,0.26,-0.02,-0.02,,wodsy39,,,1.0,1.0,1.0,,,1.0,,0.7884,0.7735,0.32,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,
14572774,home,Nottingham Forest,John Victor,john-victor,John,G,12,197,3318,M,840103,EUR,824169600,G,13,13,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,home,Nottingham Forest,Willy Boly,willy-boly,W. Boly,D,30,195,1886,M,139310,EUR,665539200,D,30,30,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,home,Nottingham Forest,Zach Abbott,abbott-zach,Z. Abbott,D,44,180,493,M,1390490,EUR,1147478400,D,44,44,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,home,Nottingham Forest,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3185,M,871765,EUR,898992000,M,16,16,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,home,Nottingham Forest,James McAtee,james-mcatee,J. McAtee,M,24,180,10486,M,1003334,EUR,1034899200,M,24,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,jamesmcatee_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,home,Nottingham Forest,Ryan Yates,ryan-yates,R. Yates,M,22,190,884,M,846252,EUR,880070400,M,22,22,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,home,Nottingham Forest,Dilane Bakwa,dilane-bakwa,D. Bakwa,M,29,179,2057,M,963298,EUR,1030320000,F,29,29,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
