match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_fouls,captain,stat_wonContest,stat_lastManTackle,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,player_sofascoreId,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11958578,home,Watford,Daniel Bachmann,,,daniel-bachmann,D. Bachmann,G,1,191.0,207,M,288019,EUR,773712000,G,1,1,False,29.0,23.0,14.0,8.0,19.0,20.0,4.0,9.0,1.0,11.0,2.0,3.0,7.0,1.0,90.0,46.0,8.1,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11958578,home,Watford,Ryan Andrews,Ryan Andrews,,andrews-ryan,R. Andrews,D,2,170.0,136,M,1461597,EUR,1093478400,D,45,45,False,29.0,22.0,8.0,2.0,18.0,18.0,4.0,14.0,2.0,10.0,,,,,90.0,56.0,7.3,16.0,1,3.0,1.0,5.0,7.0,3.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11958578,home,Watford,Matthew Pollock,,,matthew-pollock,M. Pollock,D,6,190.0,154,M,959208,EUR,1001635200,D,15,15,False,25.0,21.0,4.0,,19.0,20.0,2.0,5.0,3.0,3.0,,,,,90.0,38.0,6.6,6.0,0,,2.0,5.0,4.0,,,,1.0,,3.0,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,
11958578,home,Watford,Wesley Hoedt,,,wesley-hoedt,W. Hoedt,D,4,188.0,354,M,336813,EUR,762912000,D,4,4,False,39.0,35.0,11.0,7.0,25.0,25.0,10.0,14.0,7.0,6.0,,,,,90.0,57.0,7.8,5.0,1,,4.0,4.0,6.0,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,,2.0,,,True,2.0,1.0,,,,,,,,
11958578,home,Watford,Jamal Lewis,,,jamal-lewis,J. Lewis,D,18,178.0,937,M,891803,EUR,885686400,D,6,6,False,33.0,23.0,3.0,1.0,17.0,22.0,7.0,13.0,1.0,2.0,,,,,62.0,58.0,6.7,18.0,1,2.0,,7.0,5.0,1.0,1.0,1.0,,2.0,4.0,1.0,,,,,4.0,2.0,,1.0,,1.0,,,,,,,
11958578,home,Watford,Francisco Sierralta,,,francisco-sierralta,F. Sierralta,D,4,192.0,1146,M,805096,EUR,862876800,M,3,3,False,13.0,12.0,1.0,,10.0,10.0,2.0,4.0,,4.0,,,,,90.0,23.0,7.1,2.0,1,1.0,,1.0,3.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,
11958578,home,Watford,Matheus Martins,Matheus Martins,,matheus-martins,M. Martins,F,11,179.0,1836,M,1106779,EUR,1058313600,M,37,37,False,20.0,15.0,1.0,,7.0,8.0,8.0,13.0,1.0,6.0,,,,,76.0,37.0,7.8,8.0,4,1.0,1.0,3.0,5.0,,1.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,2.0,,,1.0,,,1.0,2.0,1.0,,,,
11958578,home,Watford,Ismael Koné,Ismael Koné,,ismael-kone,I. Koné,M,90,188.0,2795,M,1134351,EUR,1023321600,M,11,11,False,24.0,18.0,3.0,1.0,7.0,9.0,12.0,16.0,,2.0,,,,,76.0,32.0,6.9,8.0,0,1.0,,1.0,2.0,,,,,1.0,2.0,2.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,
11958578,home,Watford,Giorgi Chakvetadze,,,giorgi-chakvetadze,G. Chakvetadze,M,8,180.0,3282,M,858191,EUR,935884800,M,16,16,False,14.0,12.0,2.0,2.0,5.0,5.0,10.0,18.0,,2.0,,,,,86.0,39.0,6.7,15.0,1,9.0,,5.0,4.0,1.0,4.0,,,,2.0,,1.0,,2.0,,2.0,,,2.0,,3.0,,1.0,,,,,
11958578,home,Watford,Yáser Asprilla,Yaser Asprilla,,yaser-asprilla,Y. Asprilla,M,22,176.0,9792,M,1092769,EUR,1069200000,M,18,18,False,22.0,14.0,,,7.0,9.0,7.0,14.0,,3.0,,,,,62.0,33.0,7.1,11.0,1,1.0,,1.0,3.0,,2.0,,,,,,1.0,1.0,,,1.0,,,2.0,,,,1.0,,yaser_asprilla_10,1.0,,
