match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_aerialLost,stat_outfielderBlock,stat_fouls,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_totalCross,stat_accurateCross,stat_totalOffside,stat_keyPass,stat_shotOffTarget,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals
11369977,home,KRC Genk,Maarten Vandevoordt,maarten-vandevoordt,M. Vandevoordt,G,26,192,1417,M,934385,EUR,1014681600,G,26,26,False,35.0,25.0,19.0,9.0,24.0,24.0,1.0,11.0,7.0,3.0,3.0,90.0,40.0,6.9,10.0,0.00026899,0,0.6799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369977,home,KRC Genk,Zakaria El Ouahdi,zakaria-el-ouahdi,Z. E. Ouahdi,D,77,172,3909,M,1134470,EUR,1009756800,D,77,77,False,31.0,23.0,8.0,4.0,13.0,20.0,10.0,11.0,5.0,,,74.0,60.0,6.4,16.0,0.00895421,1,,,,z.elouahdi,1.0,5.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0186,,,,,,,,,,,,,,,,,
11369977,home,KRC Genk,Mujaid Sadick,mujaid-sadick,M. Sadick,D,3,185,237,M,935309,EUR,952992000,D,3,3,False,48.0,45.0,2.0,1.0,31.0,34.0,14.0,14.0,3.0,,,90.0,67.0,7.5,4.0,0.00339391,0,,,,,2.0,3.0,4.0,,,1.0,,,9.0,3.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
11369977,home,KRC Genk,Mark McKenzie,mark-mckenzie,M. McKenzie,D,3,183,655,M,922759,EUR,919900800,D,2,2,False,58.0,45.0,17.0,7.0,28.0,32.0,17.0,26.0,2.0,,,90.0,75.0,6.8,16.0,0.00847042,1,,,,,1.0,5.0,2.0,,1.0,,,,8.0,1.0,1.0,1.0,2.0,,0.2021,2.0,,2.0,1.0,0.0854,,,,,,,,,,,,
11369977,home,KRC Genk,Eduard Sobol,eduard-sobol,E. Sobol,D,23,186,573,M,186017,EUR,798336000,D,22,22,False,38.0,29.0,5.0,2.0,14.0,17.0,15.0,21.0,4.0,,,86.0,70.0,6.6,17.0,0.0214655,0,,,,,1.0,4.0,1.0,,1.0,1.0,,,4.0,4.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,
11369977,home,KRC Genk,Patrik Hrošovský,patrik-hrosovsky,P. Hrošovský,M,17,172,366,M,198282,EUR,703900800,M,17,17,False,46.0,32.0,8.0,4.0,15.0,20.0,17.0,26.0,4.0,,,90.0,62.0,6.2,19.0,0.0212003,0,,,,,,10.0,3.0,1.0,3.0,,,,3.0,,1.0,1.0,1.0,2.0,,3.0,,3.0,,,,,,,,,,,,,,
11369977,home,KRC Genk,Bryan Heynen,heynen-bryan,B. Heynen,M,8,181,436,M,801025,EUR,855187200,M,8,8,False,33.0,19.0,11.0,3.0,10.0,13.0,9.0,21.0,7.0,,,90.0,45.0,6.7,18.0,0.00755912,1,,,,,2.0,3.0,4.0,,,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0797,2.0,1.0,1.0,,,True,1.0,,,,,,,,,,
11369977,home,KRC Genk,Joseph Paintsil,joseph-paintsil,J. Paintsil,F,28,167,2698,M,901285,EUR,886291200,M,28,28,False,18.0,13.0,,,6.0,6.0,10.0,19.0,6.0,,,90.0,43.0,6.6,18.0,0.426934,1,,,,,,8.0,6.0,1.0,,9.0,3.0,1.0,1.0,,1.0,1.0,2.0,2.0,0.0281,,,1.0,,,,7.0,3.0,2.0,2.0,,,,,,,
11369977,home,KRC Genk,Bilal El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180,25244,M,1126569,EUR,1084147200,M,10,10,False,48.0,38.0,6.0,3.0,15.0,18.0,24.0,34.0,3.0,,,90.0,67.0,6.5,20.0,0.171172,0,,Bilal,El Khannouss,bilalekns_34,2.0,4.0,3.0,,1.0,2.0,1.0,,,,,,4.0,,,,,2.0,,,,4.0,1.0,,2.0,,,,,,,
11369977,home,KRC Genk,Christopher Baah,christopher-baah,C. Baah,M,22,172,2650,M,1477662,EUR,1102982400,M,90,90,False,18.0,13.0,,,4.0,5.0,9.0,16.0,4.0,,,74.0,41.0,6.4,16.0,0.0148488,1,,Christopher Baah,,,1.0,10.0,7.0,1.0,4.0,3.0,2.0,,1.0,1.0,1.0,,3.0,3.0,0.0527,2.0,,2.0,,,,3.0,,,,1.0,,,,,,
