match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_keyPass,player_firstName,player_lastName,stat_challengeLost,stat_bigChanceCreated,stat_fouls,stat_hitWoodwork,stat_accurateCross,stat_aerialLost,stat_aerialWon,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_errorLeadToAGoal,stat_totalOffside
14573024,home,Rayo Vallecano,Augusto Batalla,augusto-batalla,A. Batalla,G,13,186.0,1497,M,358910,EUR,830822400,G,13,13,False,27.0,20.0,11.0,4.0,0.0,16.0,16.0,4.0,11.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,34.0,7.4,7.0,0.00353857,0.1445,0,-1.2304,0.11,0.02,0.24,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573024,home,Rayo Vallecano,Iván Balliu,ivan-balliu,I. Balliu,D,20,175.0,692,M,152446,EUR,694224000,D,20,20,False,48.0,41.0,5.0,1.0,0.0,11.0,12.0,29.0,36.0,1.0,,,1.0,1.0,,,,,55.0,61.0,6.4,9.0,0.0380649,,1,,0.2,0.0,-0.24,,1.0,1.0,1.0,1.0,0.0865,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573024,home,Rayo Vallecano,Florian Lejeune,florian-lejeune,F. Lejeune,D,24,190.0,1049,M,88528,EUR,674697600,D,24,24,False,113.0,105.0,16.0,13.0,0.0,32.0,32.0,73.0,81.0,2.0,4.0,8.0,1.0,1.0,,,,,90.0,124.0,7.7,9.0,0.104384,,2,,0.64,0.14,-0.18,,,,,,0.0354,-0.06,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
14573024,home,Rayo Vallecano,Pathé Ismaël Ciss,ismaila-ciss,P. I. Ciss,M,6,183.0,4840,M,913679,EUR,763776000,D,6,6,False,70.0,65.0,10.0,9.0,1.0,23.0,25.0,42.0,45.0,2.0,3.0,7.0,2.0,1.0,,,,,90.0,81.0,7.4,6.0,0.349896,,0,,0.59,0.04,-0.28,,,,1.0,1.0,,,3.0,,,,,2.0,3.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
14573024,home,Rayo Vallecano,Alfonso Espino,alfonso-espino,A. Espino,D,22,172.0,656,M,542634,EUR,694569600,D,22,22,False,55.0,42.0,4.0,3.0,0.0,17.0,19.0,23.0,36.0,4.0,,3.0,3.0,3.0,,,,,90.0,86.0,6.9,26.0,0.342355,,2,,0.53,0.23,-0.25,,2.0,1.0,,5.0,0.0446,-0.2,6.0,2.0,4.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
14573024,home,Rayo Vallecano,Óscar Trejo,oscar-trejo,Ó. Trejo,M,8,177.0,549,M,21949,EUR,578016000,M,8,8,False,26.0,21.0,,,0.0,1.0,3.0,19.0,23.0,4.0,,,2.0,2.0,,,,,55.0,40.0,6.5,8.0,0.142716,,1,,0.19,0.24,-0.11,,2.0,1.0,,,0.0219,-0.22,4.0,2.0,1.0,1.0,,1.0,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
14573024,home,Rayo Vallecano,Óscar Valentín,oscar-valentin,Ó. Valentín,M,23,177.0,454,M,900008,EUR,777340800,M,23,23,False,46.0,45.0,2.0,2.0,0.0,13.0,14.0,32.0,32.0,2.0,2.0,6.0,1.0,1.0,,,,,90.0,55.0,7.0,2.0,0.166003,,2,,0.5,0.15,-0.09,,1.0,1.0,1.0,1.0,0.1222,-0.23,5.0,,,,1.0,1.0,3.0,,,1.0,,2.0,,1.0,2.0,1.0,True,,,,,,,,,,
14573024,home,Rayo Vallecano,Gerard Gumbau,gerard-gumbau,G. Gumbau,M,15,187.0,386,M,326471,EUR,787708800,M,15,15,False,35.0,31.0,4.0,2.0,0.0,8.0,8.0,20.0,27.0,2.0,1.0,1.0,2.0,2.0,,,,,55.0,48.0,6.9,7.0,0.165472,,1,,0.25,0.03,-0.1,,4.0,,,,0.0281,-0.13,,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,
14573024,home,Rayo Vallecano,Fran Pérez,fran-perez,F. Pérez,M,21,176.0,485,M,966637,EUR,1031529600,F,21,21,False,29.0,26.0,1.0,1.0,0.0,5.0,5.0,17.0,24.0,4.0,,7.0,2.0,,,,,,80.0,49.0,6.6,13.0,0.0895816,,2,,0.04,0.06,0.0,,4.0,1.0,,3.0,0.1112,-0.49,3.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,
14573024,home,Rayo Vallecano,Sergio Camello,sergio-camello,S. Camello,F,10,177.0,1010,M,910024,EUR,981763200,F,10,10,False,13.0,12.0,1.0,1.0,0.0,3.0,4.0,8.0,9.0,1.0,,,,,,,,,55.0,22.0,6.1,6.0,0.0279154,,3,,-0.04,0.23,-0.08,,1.0,2.0,,4.0,0.1777,-0.48,2.0,,,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,
