match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_outfielderBlock,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_dispossessed,stat_onTargetScoringAttempt,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_accurateCross
10385432,home,Leeds United,Illan Meslier,,,illan-meslier,I. Meslier,G,16,196,1694,M,906076,EUR,951955200,G,1,1,False,15.0,5.0,11.0,1.0,5.0,8.0,7.0,3.0,8.0,2.0,1.0,1.0,90.0,27.0,7.1,10.0,0.0,0.0,3.716e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385432,home,Leeds United,Luke Ayling,,,luke-ayling,L. Ayling,D,12,183,334,M,102624,EUR,683078400,D,2,2,False,49.0,30.0,8.0,2.0,15.0,24.0,26.0,3.0,9.0,,,,90.0,81.0,7.5,23.0,0.0,0.0,0.0256033,0,True,15.0,1.0,3.0,6.0,4.0,15.0,2.0,1.0,1.0,5.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,
10385432,home,Leeds United,Robin Koch,,,robin-koch,R. Koch,D,4,190,1826,M,581302,EUR,837561600,D,5,5,False,42.0,28.0,7.0,1.0,13.0,18.0,24.0,3.0,10.0,,,,90.0,61.0,7.6,14.0,0.0,0.0,0.00509294,0,,15.0,,3.0,6.0,5.0,14.0,,,1.0,3.0,1.0,,5.0,,1.0,2.0,,,,,,,,,,,,
10385432,home,Leeds United,Maximilian Wöber,,,maximilian-wober,M. Wöber,D,39,188,655,M,794962,EUR,886550400,D,39,39,False,48.0,36.0,4.0,1.0,19.0,25.0,23.0,,6.0,,,,90.0,58.0,6.9,12.0,0.1481,0.0,0.0110296,2,,17.0,,,1.0,1.0,2.0,,,3.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,
10385432,home,Leeds United,Pascal Struijk,,,pascal-struijk,P. Struijk,D,5,190,1365,M,836675,EUR,934329600,D,21,21,False,64.0,53.0,2.0,1.0,18.0,19.0,45.0,3.0,4.0,,,,90.0,78.0,6.8,12.0,0.0,0.0,0.0187548,0,,35.0,,1.0,,4.0,2.0,,,,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,,
10385432,home,Leeds United,Tyler Adams,,,tyler-adams,T. Adams,M,12,175,2918,M,800419,EUR,918950400,M,12,12,False,70.0,56.0,5.0,3.0,21.0,25.0,45.0,1.0,13.0,,,,90.0,88.0,7.0,16.0,0.0,0.0,0.043804,0,,35.0,,2.0,1.0,6.0,8.0,,,1.0,4.0,1.0,,3.0,,,1.0,1.0,,,2.0,,,,,,,,
10385432,home,Leeds United,Marc Roca,,,marc-roca,M. Roca,M,21,184,1491,M,847128,EUR,848966400,M,8,8,False,62.0,51.0,3.0,,14.0,18.0,46.0,2.0,5.0,,,,87.0,77.0,6.8,16.0,0.0,0.0,0.0600654,0,,37.0,2.0,1.0,1.0,4.0,3.0,,,,1.0,1.0,3.0,1.0,3.0,,2.0,1.0,,,,,,,,,,,
10385432,home,Leeds United,Brenden Aaronson,,,brenden-aaronson,B. Aaronson,M,11,178,2596,M,973431,EUR,972172800,M,7,7,False,20.0,13.0,,,6.0,6.0,14.0,,5.0,,,,70.0,36.0,6.7,13.0,0.1002,0.413,0.0235944,2,,7.0,,1.0,,6.0,4.0,3.0,1.0,,,,3.0,3.0,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,
10385432,home,Leeds United,Wilfried Gnonto,,,wilfried-gnonto,W. Gnonto,M,29,170,3597,M,998951,EUR,1067990400,M,29,29,False,45.0,36.0,2.0,,8.0,8.0,39.0,,3.0,,,,90.0,62.0,6.7,16.0,0.0655,0.2746,0.0602149,2,,28.0,2.0,1.0,,4.0,4.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,,1.0,,,1.0,2.0,1.0,,,,,,,
10385432,home,Leeds United,Jack Harrison,,,jack-harrison,J. Harrison,M,17,175,1145,M,829570,EUR,848448000,M,11,11,False,34.0,25.0,,,6.0,7.0,33.0,1.0,3.0,,,,90.0,57.0,6.3,23.0,0.0684,0.067,0.0761359,1,,19.0,6.0,1.0,1.0,8.0,4.0,5.0,3.0,,,,3.0,,,,1.0,1.0,,,3.0,1.0,,,,,,,
