match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_keyPass,player_lastName,stat_totalClearance,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_penaltyConceded,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_interceptionWon,stat_lastManTackle,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_blockedScoringAttempt,stat_penaltyWon
14773717,home,Al-Fateh,Fernando Pacheco,fernando-pacheco,F. Pacheco,G,1,186.0,225,M,144501,EUR,706147200.0,G,1,1,False,12.0,8.0,5.0,1.0,0.0,8.0,8.0,4.0,4.0,3.0,1.0,5.0,90.0,20.0,7.5,4.0,6.087e-05,4.0916012757843,1.0,3.4647623766723,0.0,0.7252,0,0.5085,0.01,0.0,-0.06,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773717,home,Al-Fateh,Saeed Baattia,saeed-baattia,S. Baattia,D,15,172.0,25,M,1521953,EUR,969667200.0,D,15,15,False,34.0,23.0,5.0,2.0,0.0,9.0,14.0,20.0,1.0,,,,90.0,61.0,7.1,21.0,0.309565,98.659933983512,11.0,45.325686420902,2.0,,0,,0.33,-0.13,-0.17,,Saeed Baattia,14.0,6.0,1.0,2.0,3.0,9.0,13.0,2.0,2.0,4.0,1.0,3.0,1.0,6.0,1.0,20.460717470122,41.077152997593,2.0,,,,,,,,,,,,,,,,,,,,
14773717,home,Al-Fateh,Ziyad Aljari,ziyad-aljari,Z. Aljari,D,4,182.0,17,M,1049202,EUR,1005782400.0,D,4,4,False,17.0,15.0,1.0,,0.0,11.0,12.0,5.0,,,,,45.0,24.0,6.4,5.0,0.00106509,30.006458643759,5.0,9.742259794924,0.0,,0,,0.06,0.0,-0.19,,Ziyad Aljari,4.0,,,,,1.0,2.0,,,,,2.0,2.0,,,,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,
14773717,home,Al-Fateh,Jorge Fernandes,jorge-fernandes,J. Fernandes,D,44,193.0,146,M,814673,EUR,859939200.0,D,44,44,False,57.0,53.0,7.0,7.0,0.0,36.0,37.0,20.0,7.0,,,,90.0,67.0,7.6,6.0,0.0110513,132.44261915935,20.0,88.21893389551,0.0,,3,,0.24,0.1,-0.22,,,17.0,,,2.0,2.0,4.0,3.0,2.0,,,,1.0,,,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.417,0.8644,0.48,,,,,,,,
14773717,home,Al-Fateh,Abdulaziz Al-Swealem,abdulaziz-alswealem,A. Alswealem,M,78,177.0,7,M,966751,EUR,1136073600.0,D,78,78,False,44.0,43.0,2.0,2.0,0.0,26.0,26.0,18.0,3.0,,,,86.0,67.0,6.9,7.0,0.00629522,117.45351796634,16.0,54.184154341424,0.0,,0,,0.11,0.02,-0.02,,,17.0,2.0,,3.0,2.0,7.0,8.0,,,1.0,,6.0,5.0,,,,,,,4.0,1.0,3.0,,,,,,,,,1.0,,,,,,,
14773717,home,Al-Fateh,Hussain Qasim,hussain-qasim,H. Qasim,D,12,179.0,18,M,948595,EUR,874800000.0,D,12,12,False,19.0,14.0,1.0,,0.0,4.0,6.0,13.0,,,,,45.0,34.0,6.4,11.0,0.105592,35.817209578157,8.0,15.288269625154,0.0,,0,,0.13,-0.2,-0.19,,,10.0,5.0,2.0,1.0,1.0,2.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,2.0,,,,,,,
14773717,home,Al-Fateh,Marwane Saadane,marwane-saadane,M. Saadane,D,17,185.0,1277,M,847714,EUR,695606400.0,M,17,17,False,57.0,36.0,17.0,7.0,0.0,19.0,24.0,33.0,5.0,,,,90.0,72.0,7.2,23.0,0.0146105,230.65169873758,22.0,110.85641149341,1.0,,0,,0.21,0.1,0.62,,,17.0,,,3.0,3.0,7.0,6.0,2.0,1.0,,,2.0,2.0,1.0,,15.94568209397,20.137061950543,,,5.0,,1.0,,,,1.0,,,,,2.0,1.0,,,,,,
14773717,home,Al-Fateh,Zaydou Youssouf,zaydou-youssouf,Z. Youssef,M,33,183.0,567,M,862194,EUR,931651200.0,M,33,33,False,52.0,43.0,8.0,5.0,1.0,16.0,18.0,34.0,10.0,,,,90.0,70.0,8.1,12.0,0.182821,248.88305545636,26.0,85.106995662405,1.0,,1,,0.38,0.27,-0.01,,,27.0,1.0,1.0,,1.0,3.0,12.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,,10.327738142654,19.021041217557,1.0,,,1.0,1.0,1.0,,,,,0.0207,,-0.02,1.0,,1.0,,,,,
14773717,home,Al-Fateh,Sofiane Bendebka,sofiane-bendebka,S. Bendebka,M,28,180.0,1218,M,845609,EUR,713318400.0,M,28,28,False,38.0,32.0,4.0,2.0,0.0,15.0,16.0,22.0,8.0,,,,90.0,55.0,7.1,8.0,0.112444,52.479152919434,8.0,19.363677546365,0.0,,6,,0.32,0.07,0.18,,,17.0,,,1.0,4.0,3.0,9.0,,,1.0,,1.0,1.0,4.0,,,,1.0,,,,1.0,5.0,1.0,,,,0.7869,0.6059,-0.72,1.0,,1.0,True,1.0,,,
14773717,home,Al-Fateh,Jefferson Ramos,jefferson-ramos,J. Ramos,F,21,187.0,28,M,2278322,EUR,1115942400.0,F,21,21,False,6.0,6.0,,,0.0,3.0,3.0,3.0,,,,,59.0,9.0,6.2,,0.00214529,,,,,,2,,-0.02,0.0,-0.05,,Jefferson Ramos,3.0,,,1.0,1.0,3.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,0.244,0.3175,-0.59,,,,,2.0,,,
14773717,home,Al-Fateh,Matías Vargas,matias-vargas,M. Vargas,M,10,168.0,1157,M,796723,EUR,863049600.0,F,10,10,False,23.0,16.0,3.0,2.0,0.0,2.0,4.0,19.0,2.0,,,,90.0,47.0,7.5,19.0,0.432414,138.58295131599,12.0,98.74734356777,4.0,,0,,0.44,0.22,0.13,,,14.0,11.0,3.0,1.0,,4.0,7.0,,3.0,1.0,1.0,2.0,,4.0,,32.329731648509,96.473548259927,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,
