match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_duelLost,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_possessionLostCtrl,stat_expectedGoals,captain,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_hitWoodwork,stat_goodHighClaim,stat_punches,stat_penaltyWon,stat_bigChanceMissed,stat_goals,stat_bigChanceCreated,stat_totalOffside
12421047,home,FCV Dender,Michael Verrips,,,michael-verrips,M. Verrips,G,34,195,102,M,583506,EUR,849571200,G,34,34,False,7.0,7.0,0.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,8.0,6.5,1.139e-05,0,0.0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421047,home,FCV Dender,David Hrnčár,,,david-hrncar,D. Hrnčár,M,20,186,104,M,924664,EUR,881712000,D,20,20,False,48.0,39.0,0.0,16.0,17.0,,4.0,,,,,,63.0,64.0,6.8,0.0735741,1,,5.0,2.0,24.0,35.0,4.0,1.0,1.0,1.0,14.0,0.0876,,,,,,,,,,,,,,,,,,,,,,,,,,
12421047,home,FCV Dender,Gilles Ruyssen,,,gilles-ruyssen,G. Ruyssen,D,22,186,38,M,329415,EUR,771897600,D,22,22,False,80.0,71.0,0.0,40.0,44.0,,2.0,,,,,,90.0,91.0,7.0,0.0103629,1,,14.0,8.0,31.0,36.0,,,1.0,1.0,10.0,0.0395,True,2.0,3.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12421047,home,FCV Dender,Kobe Cools,,,kobe-cools,K. Cools,D,21,192,41,M,793987,EUR,869788800,D,21,21,False,108.0,99.0,0.0,46.0,47.0,4.0,6.0,,1.0,,,,90.0,123.0,7.9,0.0865966,2,,21.0,17.0,53.0,61.0,,,1.0,,9.0,0.186,,4.0,5.0,5.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,0.1515,,,,,,,,,,,,,
12421047,home,FCV Dender,Joedrick Pupe,,,pupe-joedrick,J. Pupe,D,23,189,67,M,891609,EUR,865382400,D,3,3,False,106.0,91.0,0.0,38.0,41.0,5.0,7.0,,,,,,90.0,136.0,6.9,0.628932,2,,14.0,5.0,53.0,65.0,,,1.0,2.0,28.0,0.1827,,3.0,5.0,1.0,,,2.0,2.0,,1.0,,,,2.0,1.0,,,,,,,,,,,
12421047,home,FCV Dender,Fabio Ferraro,Fabio Ferraro,,fabio-ferraro,F. Ferraro,M,88,180,86,M,1145225,EUR,1031011200,D,88,88,False,63.0,50.0,0.0,24.0,25.0,4.0,6.0,,,,,,90.0,89.0,7.0,0.0835068,1,,4.0,1.0,27.0,45.0,7.0,1.0,,,22.0,0.036,,1.0,10.0,1.0,,1.0,1.0,1.0,,4.0,3.0,1.0,0.0579,2.0,,5.0,2.0,1.0,,,,,,,,
12421047,home,FCV Dender,Malcolm Viltard,,,viltard-malcolm,M. Viltard,M,24,176,69,M,1092285,EUR,1035417600,M,24,24,False,28.0,17.0,0.0,5.0,5.0,4.0,2.0,,1.0,,,,63.0,40.0,6.6,0.00972468,0,,3.0,,12.0,24.0,1.0,,,2.0,16.0,,,,4.0,,,,,1.0,,2.0,1.0,,,1.0,,3.0,1.0,,,,,,,,,
12421047,home,FCV Dender,Roman Kvet,,,roman-kvet,R. Kvet,M,16,187,92,M,858926,EUR,882316800,M,16,16,False,65.0,60.0,0.0,13.0,15.0,,4.0,,,,,,90.0,75.0,7.6,0.303673,2,,,,47.0,50.0,,,1.0,4.0,9.0,0.1628,,2.0,3.0,,,,1.0,,,,,,,,1.0,,,4.0,,,,,,,,
12421047,home,FCV Dender,Nathan Rodes,,,rodes-nathan,N. Rodes,M,18,191,34,M,882003,EUR,881798400,M,18,18,False,51.0,40.0,0.0,14.0,18.0,6.0,4.0,,,,,,73.0,67.0,6.7,0.104653,1,,2.0,,26.0,34.0,1.0,,1.0,1.0,14.0,0.016,,4.0,11.0,,,,3.0,2.0,3.0,3.0,2.0,,,,,2.0,1.0,,,,,,,,,
12421047,home,FCV Dender,Bruny Nsimba,,,nsimba-bruny,B. Nsimba,F,77,181,280,M,1047536,EUR,954892800,F,77,77,False,21.0,17.0,0.0,1.0,1.0,5.0,1.0,,1.0,,,,90.0,33.0,6.9,0.191411,0,,2.0,2.0,16.0,23.0,3.0,,,2.0,13.0,,,,1.0,,,,1.0,1.0,,,,,,3.0,,,,2.0,,,,,,,,
12421047,home,FCV Dender,Mohamed Berte,Mohamed Berte,,mohamed-berte,M. Berte,F,90,175,98,M,1122525,EUR,1017014400,F,90,90,False,24.0,19.0,0.0,2.0,2.0,8.0,1.0,,,,,,73.0,34.0,6.4,0.059306,1,,,,17.0,22.0,,,,3.0,12.0,0.0972,,,2.0,,,,2.0,3.0,2.0,1.0,,,,2.0,1.0,,,,,,,,,,,
12421047,home,FCV Dender,Guillaume Dietsch,,,guillaume-dietsch,G. Dietsch,G,30,184,77,M,986770,EUR,987465600,G,30,30,True,3.0,2.0,0.0,2.0,2.0,,2.0,,,1.0,,1.0,48.0,6.0,6.6,3.548e-05,0,-0.204,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421047,home,FCV Dender,Ridwane M'Barki,,,ridwane-mbarki,R. M'Barki,D,10,173,39,M,842287,EUR,773107200,F,7,7,True,10.0,9.0,0.0,4.0,4.0,3.0,2.0,,2.0,,,,27.0,20.0,6.5,0.0114324,0,,,,5.0,7.0,1.0,,,2.0,5.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
12421047,home,FCV Dender,Desmond Acquah,Desmond Acquah,,desmond-acquah,D. Acquah,M,23,173,47,M,1388443,EUR,1027382400,M,23,23,True,10.0,6.0,0.0,3.0,4.0,2.0,3.0,,,,,,27.0,20.0,6.8,0.0238331,1,,,,3.0,7.0,1.0,,,2.0,9.0,0.0494,,,3.0,,,,2.0,,,2.0,,1.0,0.3905,,,1.0,1.0,,1.0,,,,,,,
12421047,home,FCV Dender,Lennard Hens,Lennard Hens,,lennard-hens,L. Hens,M,10,183,58,M,1502941,EUR,823737600,M,10,10,True,17.0,15.0,0.0,4.0,4.0,4.0,2.0,,,,,,17.0,32.0,7.0,0.198891,2,,2.0,2.0,12.0,19.0,6.0,1.0,1.0,,8.0,0.0748,,1.0,4.0,,,,1.0,2.0,1.0,,,,,1.0,1.0,2.0,2.0,1.0,,,,,,,,
