match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,player_sofascoreId,stat_outfielderBlock,stat_goalAssist,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_penaltyWon
11047943,home,Southampton,Alex McCarthy,,,alex-mccarthy,A. McCarthy,G,1,193,294,M,45502,EUR,628646400,G,1,1,False,14.0,13.0,2.0,1.0,13.0,14.0,1.0,8.0,1.0,2.0,1.0,90.0,21.0,6.3,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11047943,home,Southampton,Kyle Walker-Peters,,,kyle-walker-peters,K. Walker-Peters,D,2,173,1497,M,823085,EUR,860889600,D,2,2,False,79.0,65.0,3.0,2.0,16.0,19.0,7.0,5.0,1.0,,,90.0,123.0,7.0,24.0,1,True,50.0,63.0,3.0,1.0,5.0,4.0,6.0,6.0,1.0,3.0,1.0,5.0,,,,,,,,,,,,,,,,,,
11047943,home,Southampton,Lyanco,,,lyanco,Lyanco,D,4,187,2874,M,797893,EUR,854755200,D,4,4,False,73.0,68.0,10.0,8.0,46.0,49.0,7.0,8.0,2.0,,,90.0,86.0,6.5,6.0,2,,22.0,24.0,,,5.0,,,,1.0,1.0,3.0,,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,
11047943,home,Southampton,Duje Ćaleta-Car,,,duje-caleta-car,D. Ćaleta-Car,D,16,192,2901,M,257091,EUR,842918400,D,6,6,False,90.0,77.0,9.0,5.0,49.0,55.0,8.0,5.0,1.0,,,90.0,101.0,7.3,13.0,3,,28.0,35.0,,,2.0,,,,2.0,,1.0,1.0,1.0,6.0,,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,
11047943,home,Southampton,Romain Perraud,,,romain-perraud,R. Perraud,D,15,173,600,M,827519,EUR,874886400,D,15,15,False,65.0,56.0,5.0,2.0,29.0,33.0,4.0,4.0,1.0,,,90.0,88.0,6.8,12.0,3,,29.0,35.0,3.0,2.0,5.0,,,,1.0,2.0,,1.0,4.0,,1.0,2.0,,1.0,3.0,2.0,,,,,,,,,,
11047943,home,Southampton,Moussa Djenepo,,,moussa-djenepo,M. Djenepo,F,12,177,2119,M,869910,EUR,897868800,M,19,19,False,28.0,24.0,1.0,1.0,7.0,7.0,6.0,3.0,1.0,,,86.0,53.0,6.7,13.0,2,,19.0,24.0,3.0,2.0,5.0,,6.0,2.0,,3.0,1.0,1.0,,,,2.0,,1.0,3.0,3.0,,,,1.0,,,,,,
11047943,home,Southampton,Carlos Alcaraz,,,carlos-alcaraz,C. Alcaraz,M,24,183,6111,M,1017392,EUR,1038614400,M,26,26,False,50.0,42.0,4.0,1.0,17.0,20.0,3.0,4.0,,,,90.0,60.0,6.5,12.0,1,,25.0,30.0,,,5.0,2.0,2.0,1.0,,1.0,,3.0,,,2.0,1.0,,,2.0,1.0,,,,,_alcaraz22,1.0,,,,
11047943,home,Southampton,Roméo Lavia,Romeo Lavia,,romeo-lavia,R. Lavia,M,45,181,16632,M,1069488,EUR,1073347200,M,45,45,False,53.0,48.0,2.0,1.0,23.0,26.0,6.0,6.0,2.0,,,59.0,63.0,7.0,8.0,0,,25.0,28.0,1.0,,2.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,,3.0,2.0,,,,,romeolavia,,,,,
11047943,home,Southampton,Mislav Oršić,,,mislav-orsic,M. Oršić,M,17,178,6128,M,88645,EUR,725587200,M,11,11,False,29.0,25.0,2.0,2.0,10.0,10.0,2.0,2.0,,,,59.0,45.0,7.1,9.0,3,,18.0,24.0,5.0,3.0,3.0,1.0,,,1.0,2.0,,3.0,1.0,,1.0,1.0,,,2.0,1.0,,1.0,,,orsic99,,,,,
11047943,home,Southampton,Sékou Mara,,,sekou-mara,S. Mara,F,9,184,969,M,1047484,EUR,1027987200,F,18,18,False,15.0,13.0,,,6.0,7.0,1.0,1.0,,,,67.0,24.0,6.5,8.0,2,,7.0,8.0,,,5.0,2.0,4.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,
