match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialWon,stat_blockedScoringAttempt,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_totalOffside,stat_punches
12421009,home,Sint-Truidense VV,Léo Kokubo,,,leo-kokubo,L. Kokubo,G,16,193,966,M,997020,EUR,980208000,G,16,16,False,30.0,11.0,24.0,5.0,0.0,8.0,13.0,3.0,17.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,90.0,42.0,6.2,20.0,0.00056749,0,-0.0964,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421009,home,Sint-Truidense VV,Rein Van Helden,,,rein-van-helden,R. V. Helden,D,20,187,193,M,1047163,EUR,1027468800,D,20,20,False,45.0,39.0,7.0,2.0,0.0,24.0,29.0,15.0,16.0,7.0,14.0,4.0,,2.0,,,,,,90.0,74.0,6.9,8.0,0.00849962,0,,1.0,6.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
12421009,home,Sint-Truidense VV,Bruno Godeau,,,bruno-godeau,B. Godeau,D,31,190,68,M,247321,EUR,705456000,D,31,31,False,48.0,42.0,6.0,3.0,0.0,29.0,30.0,13.0,18.0,4.0,5.0,3.0,,,,,,,,90.0,59.0,6.5,9.0,0.0202838,1,,,1.0,,,,,,2.0,1.0,3.0,1.0,True,2.0,1.0,0.081,,,,,,,,,,,,
12421009,home,Sint-Truidense VV,Shogo Taniguchi,Shogo,Taniguchi,shogo-taniguchi,S. Taniguchi,D,5,182,732,M,386958,EUR,679536000,D,5,5,False,45.0,39.0,5.0,2.0,0.0,24.0,27.0,15.0,18.0,1.0,2.0,3.0,,,,,,,,90.0,53.0,5.9,10.0,0.0088473,0,,3.0,6.0,2.0,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,
12421009,home,Sint-Truidense VV,Robert-Jan Vanwesemael,,,vanwesemael-robert-jan,R. Vanwesemael,M,60,175,67,M,1047164,EUR,1017100800,M,60,60,False,20.0,16.0,,,0.0,7.0,10.0,9.0,10.0,1.0,4.0,4.0,,,,,,,,69.0,36.0,6.5,5.0,0.00275921,0,,2.0,4.0,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
12421009,home,Sint-Truidense VV,Rihito Yamamoto,,,rihito-yamamoto,R. Yamamoto,M,6,179,455,M,1030211,EUR,1008115200,M,6,6,False,27.0,25.0,1.0,1.0,0.0,7.0,7.0,19.0,23.0,,5.0,2.0,,,,,,,,88.0,41.0,6.4,7.0,0.0915151,0,,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,3.0,1.0,,,,,,,,,,
12421009,home,Sint-Truidense VV,Joel Chima Fujita,,,joel-chima-fujita,J. C. Fujita,M,16,175,1436,M,1002461,EUR,1013817600,M,8,8,False,53.0,47.0,4.0,2.0,0.0,22.0,24.0,25.0,29.0,7.0,2.0,7.0,,1.0,,,,,,90.0,73.0,6.9,11.0,0.318377,1,,2.0,7.0,2.0,,5.0,3.0,,2.0,,3.0,1.0,,1.0,,0.0476,,,1.0,2.0,,,,,,,,
12421009,home,Sint-Truidense VV,Ryotaro Ito,Ryotaro,Ito,ryotaro-ito,R. Ito,M,13,174,672,M,831697,EUR,886723200,M,13,13,False,59.0,52.0,3.0,2.0,1.0,17.0,18.0,35.0,45.0,5.0,,6.0,,,,,,,,90.0,76.0,7.6,17.0,0.285531,0,,1.0,4.0,,1.0,7.0,5.0,,,,3.0,,,,,,4.0,,,3.0,1.0,,,,,,,
12421009,home,Sint-Truidense VV,Ryoya Ogawa,,,ryoya-ogawa,R. Ogawa,M,7,182,155,M,790973,EUR,848793600,M,2,2,False,41.0,32.0,4.0,1.0,1.0,12.0,18.0,22.0,30.0,4.0,5.0,3.0,,,,,,,,90.0,71.0,7.4,21.0,0.704827,0,,2.0,5.0,1.0,1.0,,,,2.0,1.0,2.0,1.0,,2.0,,,7.0,2.0,,2.0,2.0,,,,,,,
12421009,home,Sint-Truidense VV,Kahveh Zahiroleslam,Kahveh Zahiroleslam,,kahveh-zahiroleslam,K. Zahiroleslam,F,18,193,237,M,1519355,EUR,1023926400,F,15,15,False,20.0,15.0,,,1.0,6.0,7.0,9.0,13.0,9.0,3.0,1.0,,2.0,,,,,,88.0,43.0,9.4,11.0,0.259739,4,,7.0,14.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,,3.0,,0.5429,,,1.0,3.0,1.0,1.0,3.0,2.0,1.0,0.8698,,
