match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_sofascoreId,stat_aerialLost,stat_duelLost,stat_blockedScoringAttempt,stat_expectedGoals,player_firstName,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,captain,stat_challengeLost,stat_wasFouled,stat_fouls,stat_totalOffside,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_errorLeadToAShot
12436487,home,Nottingham Forest,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,26,26,False,24.0,12.0,19.0,7.0,0.0,5.0,7.0,7.0,17.0,2.0,2.0,3.0,7.0,1.0,2.0,3.0,1.0,90.0,34.0,6.6,13.0,0.00174694,0,-0.6584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436487,home,Nottingham Forest,Ola Aina,ola-aina,O. Aina,D,34,182,4052,M,800417,EUR,844732800,D,34,34,False,45.0,35.0,4.0,1.0,0.0,11.0,14.0,24.0,34.0,,3.0,,7.0,,,,,90.0,65.0,6.6,19.0,0.0581814,0,,3.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
12436487,home,Nottingham Forest,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5064,M,836168,EUR,876614400,D,31,31,False,36.0,30.0,11.0,6.0,0.0,17.0,21.0,13.0,15.0,1.0,4.0,5.0,4.0,,,,,90.0,47.0,6.4,7.0,0.00452332,1,,,,,,3.0,1.0,,milenkovicn_4,1.0,1.0,1.0,0.022,,,,,,,,,,,,,,,,,,
12436487,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9781,M,1199282,EUR,1025740800,D,5,5,False,37.0,29.0,6.0,3.0,0.0,15.0,17.0,14.0,20.0,2.0,6.0,9.0,2.0,,,,,90.0,55.0,7.7,9.0,0.0467162,2,,,,,1.0,4.0,3.0,1.0,murillosantiago40,1.0,1.0,,0.1856,Murillo,,1.0,1.0,1.0,1.0,0.2523,,,,,,,,,,,
12436487,home,Nottingham Forest,Álex Moreno,alex-moreno,Á. Moreno,D,24,179,1206,M,294593,EUR,739497600,D,19,19,False,25.0,16.0,3.0,,0.0,6.0,8.0,10.0,18.0,,5.0,5.0,4.0,,,,,88.0,52.0,6.7,13.0,0.00307935,0,,1.0,2.0,1.0,3.0,4.0,2.0,1.0,,2.0,3.0,,,,,,,,1.0,,,,,,,,,,,,
12436487,home,Nottingham Forest,Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,846252,EUR,880070400,M,22,22,False,43.0,39.0,1.0,1.0,0.0,13.0,15.0,26.0,29.0,3.0,9.0,2.0,3.0,,,,,90.0,56.0,7.2,6.0,0.0302472,1,,1.0,,,,4.0,3.0,,,2.0,8.0,,0.1129,,,,1.0,,,0.5789,True,1.0,2.0,5.0,1.0,2.0,,,,,
12436487,home,Nottingham Forest,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3183,M,871765,EUR,898992000,M,16,16,False,45.0,39.0,1.0,,0.0,15.0,16.0,24.0,29.0,,3.0,2.0,6.0,,,,,74.0,57.0,7.1,7.0,0.0198432,1,,,1.0,,1.0,3.0,3.0,,,,1.0,,0.0192,,,,1.0,,1.0,0.0251,,,,,,,,,,,
12436487,home,Nottingham Forest,Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10434,M,979232,EUR,1019865600,M,21,21,False,21.0,14.0,1.0,1.0,1.0,6.0,8.0,11.0,22.0,4.0,11.0,1.0,2.0,,,,,88.0,46.0,7.5,18.0,0.41779,2,,9.0,3.0,2.0,,4.0,2.0,2.0,anthonyelanga,2.0,5.0,1.0,0.1096,,,1.0,,,,,,,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,
12436487,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,M,10,10,False,22.0,15.0,1.0,,0.0,2.0,5.0,13.0,19.0,,5.0,,2.0,,,,,59.0,32.0,6.7,10.0,0.00603392,1,,2.0,2.0,1.0,,2.0,1.0,,Morgangibbs27,3.0,6.0,,0.1291,,,1.0,,,,,,,2.0,2.0,,,,,,,
12436487,home,Nottingham Forest,Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9224,M,867442,EUR,973555200,M,14,14,False,22.0,19.0,3.0,1.0,0.0,4.0,6.0,15.0,17.0,,,,4.0,,,,,59.0,26.0,6.1,6.0,0.00965241,0,,1.0,,,,,,1.0,Calteck10,1.0,4.0,,,,,,,,,,,,,2.0,,,,1.0,,,1.0
