match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_dispossessed,stat_onTargetScoringAttempt,stat_clearanceOffLine,stat_lastManTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_totalContest,stat_wonContest,stat_totalCross,stat_challengeLost,stat_wasFouled,captain,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_bigChanceCreated,player_sofascoreId,stat_goals,stat_totalOffside
14572997,home,SK Rapid Wien,Niklas Hedl,,,niklas-hedl,N. Hedl,G,1,188.0,295,M,918421,EUR,984787200,G,1,1,False,19.0,7.0,15.0,3.0,0.0,5.0,6.0,2.0,13.0,3.0,1.0,2.0,2.0,1.0,1.0,90.0,24.0,6.0,12.0,0.00066061,0.1845,0,-0.7173,0.0,0.0,-0.46,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572997,home,SK Rapid Wien,Jannes Horn,,,jannes-horn,J. Horn,D,38,186.0,73,M,827688,EUR,855187200,D,38,38,False,55.0,49.0,5.0,3.0,0.0,21.0,23.0,28.0,32.0,1.0,,,,,,90.0,68.0,6.4,7.0,0.0104665,,0,,0.17,0.04,-0.27,,3.0,1.0,3.0,2.0,4.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14572997,home,SK Rapid Wien,Kouadio Ange Ahoussou,Kouadio Ange Ahoussou,,ahoussou-kouadio-ange,K. A. Ahoussou,D,20,194.0,229,M,1397914,EUR,1072051200,D,20,20,False,38.0,33.0,5.0,4.0,0.0,25.0,27.0,8.0,11.0,4.0,,,,,,90.0,61.0,8.0,8.0,0.00249955,,1,,0.03,0.04,0.18,,2.0,5.0,4.0,6.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.105,0.6832,1.0,0.18,,,,,,,,,,,,,,,
14572997,home,SK Rapid Wien,Serge-Philippe Raux-Yao,,,serge-philippe-raux-yao,S. Raux-Yao,D,6,196.0,187,M,989887,EUR,928022400,D,6,6,False,49.0,41.0,7.0,4.0,0.0,26.0,27.0,15.0,22.0,7.0,,,,,,90.0,55.0,6.2,8.0,0.05376,,0,,0.22,0.06,-0.45,,1.0,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
14572997,home,SK Rapid Wien,Bendegúz Bolla,,,bendeguz-bolla,B. Bolla,D,77,179.0,1205,M,921140,EUR,943228800,M,77,77,False,22.0,18.0,2.0,2.0,0.0,4.0,7.0,14.0,17.0,3.0,,,,,,62.0,35.0,6.9,9.0,0.0120367,,0,,0.12,0.02,0.17,,,1.0,2.0,3.0,2.0,1.0,,,,,,,,2.0,1.0,,,,,,,2.0,1.0,2.0,,,,,,,,,,
14572997,home,SK Rapid Wien,Matthias Seidl,,,matthias-seidl,M. Seidl,M,18,175.0,248,M,1006268,EUR,980294400,M,18,18,False,47.0,35.0,7.0,3.0,0.0,13.0,16.0,24.0,36.0,7.0,,,,,,85.0,64.0,6.4,17.0,0.134786,,4,,0.29,0.1,-0.14,,1.0,,8.0,3.0,2.0,,,3.0,1.0,,1.0,,,1.0,4.0,0.1635,0.2371,1.0,-0.49,1.0,,5.0,2.0,,True,2.0,1.0,2.0,1.0,1.0,,,,
14572997,home,SK Rapid Wien,Romeo Amane,Amane Romeo,,romeo-amane,R. Amane,M,29,176.0,421,M,1173222,EUR,1045699200,M,29,29,False,41.0,33.0,2.0,1.0,0.0,13.0,17.0,20.0,24.0,7.0,,,,,,75.0,49.0,6.7,9.0,0.0149878,,1,,-0.18,0.22,-0.07,,,,1.0,4.0,,,1.0,2.0,2.0,1.0,,,,,,0.0261,,2.0,-0.01,,,,,2.0,,,,,1.0,,,,,
14572997,home,SK Rapid Wien,Furkan Demir,Furkan Demir,,furkan-demir,F. Demir,D,61,165.0,163,M,1391308,EUR,1101686400,M,61,61,False,30.0,24.0,2.0,,0.0,11.0,12.0,15.0,21.0,5.0,,,,,,90.0,59.0,6.6,12.0,0.260543,,0,,0.26,0.17,-0.13,,1.0,,7.0,6.0,,1.0,1.0,3.0,1.0,2.0,,,,2.0,2.0,,,3.0,,1.0,,3.0,1.0,3.0,,2.0,,,,,1.0,,,
14572997,home,SK Rapid Wien,Nikolaus Wurmbrand,Nikolaus Wurmbrand,,nikolaus-wurmbrand,N. Wurmbrand,F,15,173.0,323,M,1897251,EUR,1136419200,F,15,15,False,8.0,8.0,,,0.0,,,8.0,8.0,3.0,,,,,,62.0,22.0,7.1,5.0,0.409014,,2,,-0.01,0.32,0.22,,,,2.0,5.0,,1.0,,2.0,1.0,,1.0,,,3.0,,0.0685,0.0464,,-0.31,2.0,,,,3.0,,,,,1.0,,,,,
14572997,home,SK Rapid Wien,Ercan Kara,,,ercan-kara,E. Kara,F,9,192.0,253,M,843039,EUR,820627200,F,9,9,False,9.0,5.0,,,0.0,3.0,3.0,2.0,6.0,1.0,,,,,,85.0,26.0,6.3,9.0,0.00158656,,3,,-0.12,0.09,0.13,,,3.0,7.0,6.0,1.0,,,,,2.0,,,,2.0,4.0,0.213,,,-0.35,2.0,1.0,,,2.0,,,,2.0,1.0,,,,,
