match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_challengeLost,stat_lastManTackle,stat_errorLeadToAGoal,stat_wasFouled,stat_expectedGoalsOnTarget,captain,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_clearanceOffLine,stat_hitWoodwork,player_sofascoreId
14572795,home,Bologna,Federico Ravaglia,federico-ravaglia,F. Ravaglia,G,13,196.0,578,M,850952,EUR,942278400,G,13,13,False,42.0,33.0,20.0,12.0,0.0,28.0,33.0,5.0,9.0,10.0,3.0,3.0,90.0,51.0,8.4,10.0,0.00119605,113.23940324407,22.0,-23.31,5.775,0.6797,0,1.1322,0.09,-0.14,-0.03,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572795,home,Bologna,Nadir Zortea,zortea-nadir,N. Zortea,M,20,187.0,1110,M,928104,EUR,929750400,D,20,20,False,36.0,28.0,9.0,5.0,1.0,17.0,19.0,11.0,17.0,4.0,,,90.0,63.0,7.5,13.0,0.428497,259.50032661929,30.0,48.3,25.725,,1,,0.62,0.16,-0.13,,4.0,3.0,1.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0993,2.0,-0.12,,,,,,,,,,,,,,,,,,,,,,
14572795,home,Bologna,Torbjørn Heggem,torbjorn-heggem,T. Heggem,D,14,192.0,763,M,933264,EUR,916099200,D,14,14,False,32.0,30.0,4.0,4.0,0.0,25.0,26.0,5.0,6.0,6.0,,,69.0,48.0,7.1,4.0,0.00696849,148.9705847226,17.0,1.785,31.92,,1,,0.07,0.09,0.24,,,,2.0,2.0,5.0,1.0,,,,,1.0,3.0,1.0,1.0,,0.0389,,-0.13,1.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,
14572795,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185.0,4572,M,818481,EUR,898819200,D,26,26,False,40.0,33.0,8.0,4.0,0.0,17.0,20.0,16.0,20.0,5.0,,,90.0,56.0,7.0,10.0,0.00598119,173.95396468174,22.0,11.97,19.74,,0,,0.17,0.05,-0.01,,,,2.0,2.0,7.0,,1.0,1.0,,,3.0,3.0,3.0,3.0,,,,,1.0,,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14572795,home,Bologna,Juan Miranda,juan-miranda,J. Miranda,D,33,185.0,2211,M,855829,EUR,948240000,D,33,33,False,63.0,52.0,10.0,7.0,1.0,26.0,28.0,26.0,35.0,8.0,,,90.0,86.0,7.8,21.0,0.544744,304.21889607672,44.0,91.98,28.98,,2,,0.8,0.05,-0.16,,8.0,3.0,,1.0,3.0,,1.0,1.0,3.0,1.0,,2.0,1.0,,1.0,0.086,5.0,-0.11,,1.0,,,,,,,0.0168,,,,,,,,,,,,,
14572795,home,Bologna,Lewis Ferguson,lewis-ferguson,L. Ferguson,M,19,181.0,1987,M,907152,EUR,935452800,M,19,19,False,56.0,50.0,9.0,6.0,0.0,27.0,28.0,23.0,28.0,5.0,,,90.0,78.0,7.9,9.0,0.0841689,253.55813048365,33.0,-48.51,7.665,,1,,0.47,0.26,0.19,,,,4.0,6.0,11.0,1.0,1.0,,,1.0,2.0,6.0,3.0,1.0,3.0,0.0937,1.0,0.18,1.0,,2.0,,,,,1.0,0.1515,True,,,,,,,,,,,,
14572795,home,Bologna,Tommaso Pobega,tommaso-pobega,T. Pobega,M,4,188.0,1344,M,928796,EUR,931996800,M,4,4,False,21.0,12.0,2.0,,0.0,7.0,7.0,5.0,14.0,3.0,,,75.0,33.0,6.2,11.0,0.00358618,94.687622485372,10.0,39.165,14.07,,2,,-0.22,0.25,-0.03,,,,1.0,5.0,4.0,2.0,,,,,2.0,3.0,2.0,,1.0,0.3967,2.0,-0.55,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,
14572795,home,Bologna,Riccardo Orsolini,riccardo-orsolini,R. Orsolini,M,7,183.0,5797,M,793645,EUR,854064000,M,7,7,False,34.0,25.0,6.0,4.0,0.0,12.0,13.0,13.0,21.0,7.0,,,90.0,56.0,7.2,15.0,0.0346176,228.06693279427,31.0,57.75,13.44,,6,,-0.2,0.42,-0.1,,1.0,,,6.0,5.0,2.0,6.0,4.0,1.0,3.0,1.0,,,1.0,,0.8811,2.0,0.29,,3.0,,,2.0,,,1.0,1.3649,,1.0,1.0,1.0,,,,,,,,,
14572795,home,Bologna,Jens Odgaard,jens-odgaard,J. Odgaard,M,21,188.0,1837,M,826064,EUR,922838400,M,21,21,False,12.0,8.0,,,0.0,4.0,4.0,4.0,8.0,1.0,,,69.0,31.0,7.9,10.0,0.112083,93.50405468306,14.0,69.615,9.555,,3,,0.25,0.12,-0.05,,3.0,1.0,2.0,7.0,7.0,,3.0,1.0,,2.0,1.0,3.0,2.0,1.0,3.0,0.8874,,0.56,2.0,,,,,,,1.0,1.51,,1.0,1.0,,1.0,,,,,,,,
14572795,home,Bologna,Federico Bernardeschi,federico-bernardeschi,F. Bernardeschi,M,10,185.0,3304,M,294597,EUR,761270400,M,10,10,False,34.0,26.0,3.0,3.0,0.0,10.0,15.0,16.0,19.0,5.0,,,69.0,48.0,8.6,14.0,0.393311,384.2913835533,35.0,194.25,31.92,,2,,0.59,0.41,-0.09,,9.0,5.0,1.0,2.0,2.0,1.0,,,1.0,1.0,,,,1.0,1.0,0.0752,6.0,0.5,,1.0,,,,,,1.0,0.2306,,,1.0,,,,,,,,,,
