match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_challengeLost,captain,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_totalContest,stat_keyPass,stat_wonContest,stat_shotOffTarget,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goodHighClaim,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,stat_bigChanceMissed
11406800,home,Udinese,Maduka Okoye,,,maduka-okoye,M. Okoye,G,40,197,2162,M,891656,EUR,935798400,G,40,40,False,23.0,13.0,15.0,5.0,8.0,10.0,5.0,13.0,3.0,3.0,3.0,90.0,27.0,6.7,10.0,0.00203899,0,-0.2526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406800,home,Udinese,João Ferreira,,,joao-ferreira,J. Ferreira,D,13,185,384,M,976401,EUR,985219200,D,13,13,False,17.0,12.0,6.0,2.0,9.0,10.0,3.0,7.0,1.0,,,45.0,24.0,6.6,5.0,0.000654,0,,2.0,1.0,3.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11406800,home,Udinese,Jaka Bijol,,,jaka-bijol,J. Bijol,D,15,192,2511,M,886930,EUR,918172800,D,29,29,False,44.0,29.0,6.0,1.0,25.0,33.0,4.0,11.0,2.0,,,90.0,57.0,6.9,15.0,0.00218493,1,,9.0,3.0,11.0,5.0,2.0,2.0,,3.0,1.0,1.0,1.0,0.0087,,,,,,,,,,,,,,,,,,,,,
11406800,home,Udinese,Lautaro Giannetti,,,lautaro-giannetti,L. Giannetti,D,30,184,387,M,233856,EUR,753148800,D,30,30,False,49.0,38.0,5.0,3.0,29.0,38.0,9.0,11.0,5.0,,,90.0,63.0,6.8,12.0,0.00663556,0,,1.0,6.0,3.0,5.0,2.0,1.0,2.0,3.0,,2.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,
11406800,home,Udinese,Roberto Pereyra,,,roberto-pereyra,R. Pereyra,M,37,184,1199,M,122701,EUR,663206400,M,37,37,False,30.0,25.0,,,12.0,13.0,13.0,17.0,,,,76.0,36.0,6.5,6.0,0.0129407,0,,,2.0,1.0,,,,1.0,1.0,,1.0,,,,True,1.0,1.0,,,,,,,,,,,,,,,,,
11406800,home,Udinese,Sandi Lovrić,,,sandi-lovric,S. Lovrić,M,4,180,807,M,575852,EUR,891043200,M,4,4,False,31.0,27.0,1.0,,11.0,12.0,17.0,22.0,3.0,,,90.0,42.0,6.5,8.0,0.0312109,1,,,3.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,0.0547,,,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,
11406800,home,Udinese,Walace,,,walace,Walace,M,5,188,1455,M,553686,EUR,796953600,M,11,11,False,56.0,45.0,4.0,1.0,34.0,38.0,11.0,18.0,6.0,,,90.0,70.0,6.6,13.0,0.00507169,1,,1.0,7.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,,2.0,0.015,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
11406800,home,Udinese,Martín Payero,,,martin-payero,M. Payero,M,32,182,791,M,895592,EUR,905472000,M,32,32,False,5.0,4.0,1.0,1.0,,,4.0,5.0,2.0,,,31.0,6.0,6.4,1.0,0.00190373,0,,,2.0,1.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,
11406800,home,Udinese,Hassane Kamara,,,hassane-kamara,H. Kamara,M,11,168,1023,M,351434,EUR,762825600,M,12,12,False,14.0,12.0,,,9.0,9.0,3.0,6.0,4.0,,,59.0,22.0,6.8,4.0,0.00294332,2,,1.0,,3.0,1.0,1.0,1.0,,,,,,0.0683,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,
11406800,home,Udinese,Florian Thauvin,,,florian-thauvin,F. Thauvin,F,24,179,8040,M,148824,EUR,728006400,F,26,26,False,20.0,18.0,3.0,2.0,7.0,7.0,13.0,18.0,2.0,,,90.0,49.0,6.5,17.0,0.0736343,2,,,11.0,4.0,,,,2.0,2.0,1.0,,,0.0462,,,2.0,2.0,5.0,2.0,8.0,3.0,2.0,1.0,2.0,,,,,,,,,,
11406800,home,Udinese,Lorenzo Lucca,,,lorenzo-lucca,L. Lucca,F,20,201,5063,M,962364,EUR,968544000,F,17,17,False,13.0,8.0,1.0,1.0,2.0,2.0,6.0,11.0,3.0,,,90.0,26.0,7.1,8.0,0.00375617,2,,2.0,6.0,8.0,,2.0,1.0,1.0,4.0,,,,0.1713,,,2.0,4.0,,,,,,1.0,1.0,1.0,1.0,0.0568,,,,,,,
