match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name,confirmed,description
12504640,FT,0.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12504640,,,,,90,0.0,,1,,,injuryTime,6.0,,,,,,,,,,,
12504640,,,,,89,,,2,,,substitution,,123409903.0,False,False,regular,,,,,,,
12504640,,,,,85,,,6,,,card,,121801787.0,,False,yellow,Remo Freuler,Foul,False,115516.0,Remo Freuler,,
12504640,,,,,83,,,8,,,varDecision,,30280.0,,False,goalNotAwarded,,,,905381.0,Thijs Dallinga,False,
12504640,,0.0,2.0,,80,,,11,,,goal,,192921231.0,,False,regular,,,,928796.0,Tommaso Pobega,,
12504640,,,,,79,,,12,,,substitution,,123409854.0,False,False,regular,,,,,,,
12504640,,,,,78,,,13,,,substitution,,123409853.0,False,True,regular,,,,,,,
12504640,,,,,74,,,17,,,card,,121801729.0,,False,yellow,Juan Miranda,Foul,False,855829.0,Juan Miranda,,
12504640,,0.0,1.0,,71,,,20,,,goal,,192920065.0,,False,regular,,,,905381.0,Thijs Dallinga,,
12504640,,,,,70,,,21,,,substitution,,123409770.0,False,False,regular,,,,,,,
12504640,,,,,64,,,27,,,substitution,,123409713.0,False,True,regular,,,,,,,
12504640,,,,,63,,,28,,,substitution,,123409714.0,False,True,regular,,,,,,,
12504640,,,,,63,,,28,,,substitution,,123409715.0,False,True,regular,,,,,,,
12504640,,,,,46,,,45,,,substitution,,123409642.0,False,False,regular,,,,,,,
12504640,,,,,46,,,45,,,substitution,,123409641.0,False,False,regular,,,,,,,
12504640,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12504640,,,,,45,0.0,,1,,,injuryTime,5.0,,,,,,,,,,,
12504640,,,,,35,,,11,,,substitution,,123409496.0,True,True,injury,,,,,,,
12504640,,,,,8,,,38,,,inGamePenalty,,118508405.0,,False,missed,,goalkeeperSave,,1116577.0,Santiago Castro,,Goalkeeper save
12504640,,,,,7,,,39,,,varDecision,,30274.0,,False,penaltyNotAwarded,,,,965264.0,Emil Holm,False,
