match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_keyPass,stat_blockedScoringAttempt,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_dispossessed,stat_wasFouled,player_sofascoreId,stat_punches,stat_totalOffside
11401934,home,AZ Alkmaar,Mathew Ryan,mathew-ryan,M. Ryan,G,13,184,1521,M,134029,EUR,702691200,G,1,1,False,36.0,29.0,14.0,7.0,26.0,28.0,3.0,8.0,1.0,1.0,1.0,8.0,1.0,3.0,5.0,1.0,1.0,90.0,47.0,8.0,7.0,0.00395052,0,-0.4668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401934,home,AZ Alkmaar,Yukinari Sugawara,yukinari-sugawara,Y. Sugawara,D,3,179,2828,M,905347,EUR,962150400,D,2,2,False,43.0,36.0,8.0,6.0,18.0,22.0,21.0,26.0,,3.0,2.0,3.0,,,,,,90.0,68.0,7.7,14.0,0.159291,0,,,,5.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
11401934,home,AZ Alkmaar,Wouter Goes,wouter-goes,W. Goes,D,3,187,709,M,1145982,EUR,1086825600,D,3,3,False,58.0,48.0,11.0,4.0,39.0,44.0,9.0,14.0,4.0,5.0,7.0,7.0,,,,,,90.0,70.0,6.6,10.0,0.00845177,1,,,,,,4.0,6.0,2.0,,,,1.0,1.0,,,,1.0,1.0,1.0,0.0445,,,,,,,,,,,,,
11401934,home,AZ Alkmaar,Alexandre Penetra,alexandre-penetra,A. Penetra,D,5,184,386,M,1004278,EUR,999993600,D,5,5,False,61.0,51.0,8.0,4.0,42.0,45.0,9.0,16.0,2.0,2.0,3.0,3.0,,,,,,90.0,74.0,7.4,10.0,0.00792128,2,,,,,,6.0,7.0,,,,2.0,,,,,1.0,1.0,2.0,1.0,0.0475,1.0,1.0,1.0,,,,,,,,,,
11401934,home,AZ Alkmaar,David Möller Wolfe,david-moller-wolfe,D. M. Wolfe,D,6,185,958,M,1031283,EUR,1019520000,D,18,18,False,41.0,31.0,8.0,2.0,18.0,24.0,13.0,18.0,3.0,6.0,2.0,3.0,,,,,,90.0,71.0,7.3,18.0,0.0384551,4,,,,1.0,,,5.0,1.0,4.0,1.0,2.0,2.0,,,1.0,,1.0,,1.0,0.9003,,,,1.0,3.0,1.0,1.2124,,,,,,
11401934,home,AZ Alkmaar,Jordy Clasie,jordy-clasie,J. Clasie,M,8,169,219,M,116946,EUR,677980800,M,8,8,False,62.0,51.0,13.0,7.0,28.0,33.0,23.0,29.0,,4.0,1.0,9.0,,,,,,90.0,79.0,7.4,14.0,0.0511504,0,,,,,,1.0,7.0,2.0,1.0,1.0,3.0,3.0,2.0,,1.0,1.0,,,2.0,,1.0,,,,,,,True,2.0,,,,
11401934,home,AZ Alkmaar,Tiago Dantas,tiago-dantas,T. Dantas,M,26,169,1156,M,945097,EUR,977616000,M,6,6,False,33.0,27.0,3.0,2.0,18.0,21.0,9.0,12.0,,3.0,1.0,4.0,,,,,,64.0,39.0,6.7,6.0,0.020997,0,,,,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,
11401934,home,AZ Alkmaar,Ernest Poku,ernest-poku,E. Poku,M,19,172,5105,M,1119502,EUR,1075248000,M,21,21,False,11.0,5.0,2.0,,1.0,3.0,4.0,9.0,,,,1.0,,,,,,45.0,22.0,6.4,14.0,0.0167775,1,,,,1.0,,1.0,3.0,2.0,,,,,,,6.0,,,,,0.0167,,,,,1.0,,0.1788,,,,,,
11401934,home,AZ Alkmaar,Đorđe Mihailović,dorde-mihailovic,Đ. Mihailović,M,10,178,760,M,869211,EUR,910656000,M,14,14,False,26.0,20.0,2.0,2.0,8.0,12.0,12.0,14.0,,4.0,,3.0,,,,,,64.0,36.0,6.6,9.0,0.0142311,1,,,,,,2.0,5.0,1.0,1.0,,,2.0,1.0,,1.0,,,,,0.0608,,,1.0,,,,,,1.0,2.0,,,
11401934,home,AZ Alkmaar,Ruben van Bommel,ruben-van-bommel,R. van Bommel,M,7,191,2030,M,1212550,EUR,1091491200,M,15,15,False,10.0,6.0,2.0,,2.0,3.0,4.0,7.0,,,,1.0,,,,,,45.0,17.0,6.4,7.0,0.0871478,0,,,,,,2.0,4.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,1.0,,,,
