match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_fouls,stat_keyPass,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_blockedScoringAttempt
10407307,away,KV Mechelen,Jordi Vanlerberghe,,,jordi-vanlerberghe,J. Vanlerberghe,D,30,189,143,M,284727,EUR,835833600,D,30,30,False,87.0,67.0,15.0,9.0,27.0,29.0,40.0,61.0,4.0,8.0,11.0,,,,,90.0,106.0,7.0,24.0,1,6.0,2.0,,7.0,,1.0,,,3.0,4.0,3.0,,,,1.0,1.0,3.0,,,,,,,,,1.0
10407307,away,KV Mechelen,Thibault Peyre,,,thibault-peyre,T. Peyre,D,23,182,18,M,252141,EUR,718070400,D,23,23,False,65.0,52.0,5.0,1.0,35.0,37.0,17.0,28.0,6.0,8.0,8.0,,,,,90.0,76.0,7.1,14.0,1,12.0,,1.0,1.0,,2.0,,,6.0,2.0,2.0,,,1.0,6.0,1.0,,,,1.0,,,,,,
10407307,away,KV Mechelen,Dimitri Lavalėe,,,dimitri-lavalee,D. Lavalėe,D,24,187,151,M,857458,EUR,853113600,D,14,14,False,68.0,58.0,14.0,7.0,37.0,41.0,21.0,27.0,,2.0,7.0,,,,,69.0,84.0,6.7,11.0,0,5.0,1.0,,,,4.0,1.0,,3.0,2.0,1.0,,,,1.0,,,,,,,,,,,
10407307,away,KV Mechelen,Boli Bolingoli,,,boli-bolingoli,B. Bolingoli,D,5,180,130,M,333301,EUR,804556800,D,21,21,False,22.0,19.0,,,9.0,9.0,10.0,15.0,1.0,3.0,3.0,,,,,45.0,38.0,6.6,7.0,1,2.0,,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,2.0,,1.0,,,,,,,
10407307,away,KV Mechelen,Marian Shved,,,marian-shved,M. Shved,M,9,171,266,M,791170,EUR,869011200,M,35,35,False,31.0,26.0,,,5.0,6.0,22.0,28.0,1.0,5.0,4.0,1.0,,,,90.0,61.0,6.4,17.0,3,11.0,2.0,3.0,1.0,,2.0,4.0,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,,,,,,,1.0
10407307,away,KV Mechelen,Samuel Oum Gouet,,,samuel-oum-gouet,S. O. Gouet,M,,185,123,M,898405,EUR,882057600,M,17,17,False,53.0,49.0,3.0,2.0,23.0,23.0,26.0,30.0,,1.0,4.0,,,,,80.0,59.0,6.8,5.0,1,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,
10407307,away,KV Mechelen,Rob Schoofs,,,rob-schoofs,R. Schoofs,M,17,179,196,M,133164,EUR,764380800,M,16,16,False,57.0,46.0,4.0,3.0,12.0,15.0,34.0,44.0,2.0,3.0,8.0,1.0,,,,90.0,78.0,7.7,19.0,4,4.0,,1.0,,,,4.0,True,2.0,,,1.0,,2.0,,4.0,2.0,,2.0,,,,,,,
10407307,away,KV Mechelen,Nikola Storm,,,nikola-storm,N. Storm,F,26,178,279,M,149796,EUR,780883200,M,11,11,False,27.0,23.0,2.0,2.0,3.0,3.0,20.0,28.0,,4.0,,2.0,,,,90.0,46.0,6.8,11.0,4,3.0,,2.0,,,1.0,,,,,,2.0,2.0,1.0,1.0,,4.0,,2.0,,1.0,,,,,1.0
10407307,away,KV Mechelen,Julien Ngoy,,,julien-ngoy,J. Ngoy,F,7,185,143,M,848680,EUR,878428800,F,9,9,False,3.0,3.0,,,2.0,2.0,1.0,1.0,,3.0,,1.0,,,,70.0,14.0,6.4,6.0,0,4.0,,4.0,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,
10407307,away,KV Mechelen,Geoffry Hairemans,,,geoffry-hairemans,G. Hairemans,F,11,184,137,M,58917,EUR,688003200,M,7,7,True,37.0,31.0,6.0,4.0,2.0,3.0,30.0,38.0,,1.0,,,,,,45.0,46.0,6.8,11.0,0,1.0,,,,,,2.0,,,1.0,1.0,,,,1.0,,4.0,1.0,,,,,,,,
10407307,away,KV Mechelen,Jannes Van Hecke,,,jannes-van-hecke,J. V. Hecke,M,78,175,67,M,965741,EUR,1011052800,M,6,6,True,30.0,28.0,2.0,2.0,6.0,6.0,22.0,24.0,,,2.0,,,,,21.0,31.0,6.8,2.0,1,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
10407307,away,KV Mechelen,Gustav Engvall,,,gustav-engvall,G. Engvall,F,23,184,81,M,279521,EUR,830736000,F,20,20,True,4.0,3.0,,,,,3.0,4.0,,1.0,,,,,,21.0,8.0,6.7,1.0,2,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,2.0
10407307,away,KV Mechelen,Jorge Hernandez,,,jorge-hernandez,J. Hernandez,M,10,170,56,M,1025298,EUR,973641600,M,8,8,True,16.0,12.0,,,4.0,4.0,8.0,13.0,,,2.0,,,,,20.0,21.0,6.6,6.0,1,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,
10407307,away,KV Mechelen,Alec Van Hoorenbeeck,,,alec-van-hoorenbeeck,A. V. Hoorenbeeck,D,18,187,118,M,974203,EUR,914976000,D,18,18,True,13.0,10.0,1.0,,4.0,5.0,7.0,9.0,,2.0,1.0,,,,,10.0,18.0,6.9,3.0,0,,,,1.0,,,,,,2.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,,
10407307,away,KV Mechelen,Yannick Thoelen,,,yannick-thoelen,Y. Thoelen,G,15,188,93,M,794571,EUR,648259200,G,15,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10407307,away,KV Mechelen,Toon Raemaekers,,,toon-raemaekers,T. Raemaekers,D,28,195,176,M,1006483,EUR,968457600,D,28,28,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
