match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,confirmed
10407307,FT,2.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10407307,,,,,90,0.0,,1,,,injuryTime,5.0,,,,,,,,,,
10407307,,,,,89,,,2,,,card,,Alec Van Hoorenbeeck,Argument,False,120395447.0,False,yellow,974203.0,Alec Van Hoorenbeeck,,
10407307,,,,,85,,,6,,,substitution,,,,,121211903.0,True,regular,,,False,
10407307,,,,,84,,,7,,,substitution,,,,,121211902.0,True,injury,,,True,
10407307,,,,,80,,,11,,,substitution,,,,,121211885.0,False,regular,,,False,
10407307,,,,,78,,,13,,,substitution,,,,,121211867.0,True,regular,,,False,
10407307,,,,,78,,,13,,,substitution,,,,,121211868.0,True,regular,,,False,
10407307,,2.0,1.0,,75,,,16,,,goal,,,,,165537932.0,False,regular,252141.0,Thibault Peyre,,
10407307,,,,,70,,,21,,,substitution,,,,,121211839.0,False,regular,,,False,
10407307,,,,,69,,,22,,,substitution,,,,,121211838.0,False,regular,,,False,
10407307,,,,,69,,,22,,,substitution,,,,,121211837.0,False,regular,,,False,
10407307,,,,,65,,,26,,,card,,Nick Batzner,Foul,False,120396487.0,True,yellow,959635.0,Nick Bätzner,,
10407307,,,,,63,,,28,,,card,,Marian Shved,Foul,False,120395380.0,False,yellow,791170.0,Marian Shved,,
10407307,,,,,55,,,36,,,card,,Alessandro Albanese,Foul,False,120395347.0,True,red,867257.0,Alessandro Albanese,,
10407307,,,,,53,,,38,,,varDecision,,,,,12356.0,True,cardUpgrade,867257.0,Alessandro Albanese,,False
10407307,,,,,46,,,45,,,substitution,,,,,121211664.0,False,regular,,,False,
10407307,HT,2.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10407307,,,,,45,0.0,,1,,,injuryTime,3.0,,,,,,,,,,
10407307,,2.0,0.0,,43,,,3,,,goal,,,,,165537673.0,True,regular,786187.0,David Atanga,,
10407307,,,,,19,,,27,,,varDecision,,,,,12352.0,True,goalNotAwarded,786187.0,David Atanga,,False
10407307,,1.0,0.0,,17,,,29,,,goal,,,,,165537559.0,True,regular,786187.0,David Atanga,,
