match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_unsuccessfulTouch,stat_aerialWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_accurateCross,captain,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_goals,stat_blockedScoringAttempt,player_sofascoreId,stat_goodHighClaim
11368609,home,Almería,Luís Maximiano,,,luis-maximiano,L. Maximiano,G,81,190,768,M,845797,EUR,915494400,G,25,25,False,29.0,22.0,13.0,6.0,20.0,23.0,2.0,6.0,8.0,1.0,1.0,4.0,6.0,90.0,42.0,6.6,7.0,0.0,0.0,0.00034568,0,-0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368609,home,Almería,Marc Pubill,,,marc-pubill,Pubill,D,18,190,2708,M,1094106,EUR,1056067200,D,18,18,False,31.0,27.0,3.0,2.0,19.0,20.0,8.0,13.0,2.0,,,,,69.0,54.0,6.8,9.0,0.0,0.0,0.00223423,0,,2.0,1.0,6.0,7.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
11368609,home,Almería,Chumi,,,chumi,Chumi,D,21,186,188,M,913455,EUR,920332800,D,21,21,False,33.0,30.0,1.0,,24.0,26.0,6.0,7.0,2.0,,,,,90.0,44.0,6.2,4.0,0.0,0.0,0.00111271,0,,,1.0,5.0,1.0,1.0,,,,5.0,,1.0,,,3.0,,2.0,1.0,,,,,,,,,,,,,
11368609,home,Almería,Edgar González,,,edgar-gonzalez,E. González,D,12,193,375,M,914522,EUR,859852800,D,3,3,False,47.0,46.0,5.0,5.0,37.0,38.0,9.0,9.0,4.0,,,,,90.0,64.0,6.9,2.0,0.4246,0.6225,0.0102882,1,,,,3.0,4.0,1.0,1.0,,,9.0,1.0,3.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,
11368609,home,Almería,Sergio Akieme,,,sergio-akieme,S. Akieme,D,18,175,293,M,827942,EUR,882230400,D,15,15,False,42.0,37.0,5.0,5.0,26.0,30.0,12.0,14.0,2.0,,,,,90.0,55.0,6.4,6.0,0.0,0.0,0.0117178,0,,2.0,,,2.0,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,,,,,
11368609,home,Almería,Lucas Robertone,,,lucas-robertone,L. Robertone,M,8,173,656,M,848926,EUR,858643200,M,5,5,False,39.0,33.0,4.0,2.0,22.0,23.0,13.0,18.0,4.0,,,,,70.0,53.0,7.9,8.0,0.1105,0.3403,0.138147,5,,2.0,,2.0,2.0,,,,,1.0,2.0,,,1.0,3.0,3.0,1.0,1.0,1.0,,2.0,2.0,True,1.0,1.0,3.0,,,,,
11368609,home,Almería,Iddrisu Baba,,,iddrisu-baba,I. Baba,M,14,182,943,M,914014,EUR,822268800,M,4,4,False,46.0,37.0,3.0,3.0,20.0,23.0,18.0,24.0,7.0,,,,,89.0,59.0,7.1,9.0,0.0187,0.4592,0.0412981,1,,1.0,,3.0,8.0,3.0,,1.0,1.0,1.0,2.0,3.0,1.0,2.0,,1.0,,,2.0,,1.0,1.0,,,,,,,,,
11368609,home,Almería,Adrián Embarba,,,adrian-embarba,A. Embarba,M,23,173,477,M,346516,EUR,705196800,M,10,10,False,47.0,35.0,,,14.0,15.0,24.0,41.0,6.0,,,,,90.0,75.0,7.4,24.0,0.0,0.0,0.113754,0,,9.0,,2.0,13.0,1.0,,6.0,5.0,,,4.0,1.0,1.0,,3.0,,3.0,3.0,,,3.0,,,,,1.0,,,,
11368609,home,Almería,Sergio Arribas,,,sergio-arribas,S. Arribas,M,11,174,2229,M,997203,EUR,1001808000,M,19,19,False,22.0,21.0,3.0,2.0,7.0,8.0,15.0,16.0,4.0,,,,,89.0,33.0,7.3,5.0,0.1562,0.4552,0.159012,1,,2.0,,4.0,2.0,,1.0,2.0,,,,,,2.0,1.0,3.0,,,,,1.0,1.0,,,1.0,,,1.0,,,
11368609,home,Almería,Largie Ramazani,,,largie-ramazani,L. Ramazani,M,17,167,1568,M,909966,EUR,983232000,M,7,7,False,13.0,9.0,,,1.0,2.0,8.0,12.0,2.0,,,,,61.0,29.0,7.2,7.0,0.3833,0.0919,0.00657483,6,,1.0,,2.0,1.0,1.0,1.0,,,,4.0,,,1.0,,2.0,1.0,1.0,,1.0,2.0,,,,1.0,2.0,,,2.0,,
