match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalClearance,stat_outfielderBlock,stat_fouls,stat_errorLeadToAShot,stat_totalContest,stat_wonContest,captain,stat_shotOffTarget,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,player_sofascoreId,stat_lastManTackle
11391389,home,Montpellier,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186,336,M,123207,EUR,672624000,G,40,40,False,26.0,18.0,12.0,5.0,16.0,19.0,2.0,7.0,4.0,1.0,90.0,30.0,6.8,9.0,0.00023933,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391389,home,Montpellier,Silvan Hefti,silvan-hefti,S. Hefti,D,30,182,208,M,814214,EUR,877737600,D,36,36,False,33.0,22.0,4.0,1.0,8.0,13.0,15.0,26.0,5.0,,90.0,53.0,7.0,20.0,0.0660785,2,,,6.0,1.0,1.0,1.0,6.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1447,0.1376,1.0,,,,,,,,,,,,,,,,
11391389,home,Montpellier,Bećir Omeragić,becir-omeragic,B. Omeragić,D,27,187,462,M,940918,EUR,1011484800,D,27,27,False,54.0,47.0,7.0,4.0,27.0,30.0,20.0,24.0,2.0,,90.0,60.0,7.4,8.0,0.0388957,0,,,,,2.0,1.0,3.0,3.0,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11391389,home,Montpellier,Christopher Jullien,christopher-jullien,C. Jullien,D,6,195,127,M,229598,EUR,732758400,D,6,6,False,40.0,35.0,5.0,2.0,24.0,26.0,11.0,14.0,3.0,,84.0,50.0,6.6,5.0,0.00286219,0,,,,,1.0,,3.0,,1.0,,,,,,,,,,,,7.0,2.0,1.0,1.0,,,,,,,,,,,,
11391389,home,Montpellier,Maxime Estève,maxime-esteve,M. Estève,D,5,192,1470,M,1117223,EUR,1022371200,D,14,14,False,34.0,23.0,6.0,2.0,15.0,18.0,8.0,16.0,7.0,,90.0,43.0,7.1,12.0,0.0033522,0,Maxime Estève,,,,,1.0,1.0,4.0,,,,,,2.0,2.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,
11391389,home,Montpellier,Lucas Mincarelli Davin,mincarelli-davin-lucas,L. M. Davin,D,21,180,94,M,1512339,EUR,1074124800,D,35,35,False,13.0,9.0,1.0,,7.0,10.0,2.0,6.0,4.0,,64.0,29.0,6.2,12.0,0.00056736,0,,,3.0,,,,5.0,2.0,1.0,2.0,,,,1.0,,1.0,,,,,2.0,,,,3.0,1.0,,,,,,,,,,
11391389,home,Montpellier,Arnaud Nordin,nordin-arnaud,A. Nordin,M,70,170,384,M,848458,EUR,900633600,M,7,7,False,8.0,7.0,,,3.0,4.0,5.0,6.0,2.0,,45.0,15.0,6.7,4.0,0.049612,0,,,2.0,1.0,1.0,1.0,2.0,3.0,,1.0,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,
11391389,home,Montpellier,Teji Savanier,teji-savanier,T. Savanier,M,11,171,790,M,156682,EUR,693360000,M,11,11,False,60.0,52.0,13.0,9.0,22.0,23.0,31.0,45.0,6.0,,90.0,87.0,8.0,19.0,0.400918,1,,,8.0,1.0,,1.0,5.0,11.0,,2.0,1.0,,1.0,3.0,,2.0,4.0,0.0416,0.0575,3.0,1.0,,3.0,,3.0,3.0,True,,,,,,,,,
11391389,home,Montpellier,Joris Chotard,joris-chotard,J. Chotard,M,13,179,541,M,976396,EUR,1001289600,M,13,13,False,22.0,21.0,4.0,4.0,10.0,10.0,11.0,14.0,7.0,,90.0,40.0,7.4,5.0,0.0289742,2,,,2.0,,,,1.0,4.0,,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,0.0375,0.3678,1.0,2.0,1.0,,,,,,1.0,,,,,,,,
11391389,home,Montpellier,Wahbi Khazri,wahbi-khazri,W. Khazri,F,,176,1610,M,51640,EUR,665971200,F,10,10,False,8.0,6.0,2.0,2.0,3.0,3.0,3.0,5.0,1.0,,64.0,26.0,6.5,7.0,0.00399923,2,,,,,,,5.0,8.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,0.1791,0.7749,,,,2.0,,1.0,,,,1.0,,,,,,,
