match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon,stat_totalOffside,stat_blockedScoringAttempt,stat_penaltyConceded,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_outfielderBlock,stat_errorLeadToAShot
14131908,home,Santa Clara,Vinícius Lopes,,,vinicius-lopes,V. Lopes,F,70,175,316,M,1001753,EUR,926035200,F,70,70,False,,7.0,6.0,,,0.0,2.0,2.0,4.0,5.0,,,,58.0,21.0,6.5,6.0,0.0158189,,2,,0.05,0.1,-0.04,,1.0,,,,2.0,1.0,1.0,1.0,,,1.0,,0.087,1.0,-0.16,,,,1.0,,,,3.0,,,,,1.0,1.0,,,,,,
14131908,home,Santa Clara,Luquinhas,,,luquinhas,Luquinhas,M,82,169,497,M,845787,EUR,843868800,F,28,28,True,,13.0,11.0,,,0.0,5.0,6.0,6.0,7.0,1.0,,,32.0,16.0,6.5,3.0,0.00350824,,0,,-0.11,0.05,-0.04,,,,1.0,1.0,2.0,2.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
14131908,home,Santa Clara,Anthony Carter,,,anthony-carter,A. Carter,F,9,192,153,M,370010,EUR,778291200,F,9,9,True,,9.0,7.0,,,0.0,1.0,1.0,6.0,8.0,1.0,,,32.0,17.0,6.5,4.0,0.00880859,,1,,-0.22,-0.14,0.13,,,,1.0,1.0,4.0,4.0,,,,,1.0,2.0,0.0388,1.0,-0.17,1.0,,0.0371,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,
14131908,home,Santa Clara,Diogo Calila,,,diogo-calila,D. Calila,M,2,173,593,M,892083,EUR,907977600,D,2,2,True,,14.0,13.0,,,0.0,7.0,7.0,6.0,7.0,,,,18.0,21.0,6.5,4.0,0.0337799,,0,,-0.03,-0.06,-0.05,,2.0,1.0,,,2.0,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
14131908,home,Santa Clara,Pedro Ferreira,,,ferreira-pedro,P. Ferreira,M,8,183,121,M,851277,EUR,883958400,M,8,8,True,,18.0,14.0,1.0,,0.0,5.0,5.0,9.0,13.0,5.0,,,18.0,22.0,6.8,4.0,0.00502675,,1,,0.03,0.02,0.15,,,,,,,2.0,,,,,1.0,,0.0058,,-0.01,,,,,,1.0,1.0,,,,,,,1.0,,,,,,
14131908,home,Santa Clara,Elias Manoel,Elias Manoel,,elias-manoel,E. Manoel,F,33,176,649,M,1066681,EUR,1007078400,F,7,7,True,,5.0,3.0,,,0.0,2.0,3.0,1.0,2.0,,,,15.0,10.0,6.6,4.0,0.00124066,,0,,-0.08,-0.52,-0.01,,,,,1.0,2.0,3.0,,,,,1.0,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,
14131908,home,Santa Clara,Neneca,,,neneca,Neneca,G,12,192,90,M,1186955,EUR,1061942400,G,12,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131908,home,Santa Clara,Luís Rocha,,,luis-rocha,L. Rocha,D,13,186,44,M,141012,EUR,524275200,D,13,13,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131908,home,Santa Clara,José Tavares,José Tavares,,jose-tavares,J. Tavares,M,65,178,31,M,2155276,EUR,1054512000,M,65,65,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131908,home,Santa Clara,Wendel Silva,,,wendel-silva,W. Silva,F,29,177,442,M,937265,EUR,965174400,F,29,29,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131908,away,FC Alverca,André Gomes,André Gomes,,andre-gomes,A. Gomes,G,13,182,794,M,1139990,EUR,1098230400,G,13,13,False,,25.0,7.0,21.0,3.0,0.0,5.0,7.0,2.0,18.0,10.0,2.0,4.0,90.0,37.0,6.1,18.0,0.0001792,0.7542,0,-0.1169,0.03,0.01,-0.45,0.49,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,
14131908,away,FC Alverca,Kaiky Naves,Kaiky Naves,,kaiky-naves,K. Naves,D,4,186,1824,M,1167068,EUR,1020816000,D,4,4,False,,51.0,43.0,12.0,8.0,0.0,30.0,33.0,13.0,18.0,1.0,,,90.0,73.0,7.6,9.0,0.0131263,,0,,0.3,0.04,0.25,,,,3.0,3.0,4.0,7.0,,,11.0,1.0,,1.0,,,,,,,,,4.0,2.0,,,,,,,,,,,,1.0,
14131908,away,FC Alverca,Sergi Gómez,,,sergi-gomez,S. Gómez,D,5,185,195,M,125625,EUR,701740800,D,5,5,False,True,46.0,37.0,10.0,1.0,0.0,36.0,36.0,1.0,10.0,1.0,,,90.0,52.0,6.0,9.0,0.00120721,,0,,0.05,0.01,-0.31,,,,,1.0,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14131908,away,FC Alverca,Julián Jose Martinez,Julián Jose Martinez,,julian-jose-martinez,J. Martinez,D,3,177,394,M,1476213,EUR,1070236800,D,3,3,False,,38.0,33.0,4.0,1.0,0.0,28.0,31.0,5.0,7.0,2.0,,,90.0,49.0,6.3,5.0,0.00273305,,0,,0.0,0.03,-0.4,,,,1.0,1.0,3.0,6.0,,,3.0,,3.0,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,1.0
14131908,away,FC Alverca,Nabil Touaizi,,,nabil-touaizi,N. Touaizi,F,2,183,485,M,904849,EUR,980985600,M,2,2,False,,22.0,19.0,1.0,,0.0,8.0,8.0,11.0,14.0,3.0,,,90.0,55.0,6.8,11.0,0.0276741,,0,,0.22,-0.16,-0.09,,1.0,,,1.0,6.0,9.0,1.0,,4.0,1.0,4.0,2.0,,,,,,,3.0,2.0,2.0,1.0,2.0,2.0,,,,1.0,,,,,,,
