match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_outfielderBlock,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_wasFouled,stat_bigChanceCreated,stat_lastManTackle,player_firstName,player_lastName,stat_dispossessed,stat_shotOffTarget,stat_clearanceOffLine,stat_totalOffside
11067578,home,Vasco da Gama,Léo Jardim,leo-jardim,L. Jardim,G,1,188,5904,M,leocjardim,595598,EUR,795657600,G,1,1,False,15.0,8.0,8.0,1.0,8.0,9.0,6.0,1.0,5.0,1.0,1.0,1.0,90.0,20.0,5.5,7.0,2.069e-05,0,-1.7609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067578,home,Vasco da Gama,Puma Rodríguez,puma-rodriguez,P. Rodríguez,D,2,183,2505,M,,877591,EUR,858297600,D,2,2,False,18.0,14.0,2.0,1.0,4.0,6.0,17.0,,2.0,,,,65.0,41.0,8.0,9.0,0.0606391,4,,1.0,11.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,0.6527,0.9365,3.0,,,,,,,,,,,,,
11067578,home,Vasco da Gama,Gary Medel,gary-medel,G. Medel,D,17,171,1841,M,,22975,EUR,554947200,D,17,17,False,67.0,65.0,4.0,3.0,32.0,32.0,35.0,4.0,4.0,,,,90.0,78.0,6.7,3.0,0.0261258,0,,,33.0,,,,,1.0,2.0,,,,,,,1.0,1.0,,1.0,,,,True,2.0,1.0,1.0,1.0,,,,,,,,
11067578,home,Vasco da Gama,Manuel Capasso,manuel-capasso,M. Capasso,D,28,188,442,M,,940611,EUR,829872000,D,22,22,False,57.0,52.0,7.0,5.0,30.0,32.0,25.0,5.0,6.0,,,,85.0,69.0,7.0,5.0,0.00467856,0,,,22.0,,,,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,
11067578,home,Vasco da Gama,Lucas Piton,lucas-piton,L. Piton,D,6,176,3645,M,,982174,EUR,971049600,D,6,6,False,61.0,53.0,6.0,5.0,27.0,28.0,45.0,5.0,6.0,,,,90.0,88.0,7.3,20.0,0.257826,0,,1.0,28.0,12.0,2.0,,2.0,2.0,4.0,,1.0,1.0,,,,2.0,1.0,1.0,2.0,,,2.0,,,,,,1.0,1.0,,,,,,
11067578,home,Vasco da Gama,Zé Gabriel,ze-gabriel,Zé Gabriel,M,35,184,375,M,,988852,EUR,916876800,M,23,23,False,60.0,56.0,4.0,4.0,24.0,25.0,35.0,2.0,4.0,,,,90.0,68.0,6.6,4.0,0.0166291,0,,,32.0,,,1.0,1.0,2.0,3.0,,,,,,,,2.0,,1.0,,,,,,,,1.0,,,,,,,,
11067578,home,Vasco da Gama,Gabriel Pec,gabriel-pec,G. Pec,F,11,172,4603,M,GabrielPec,995072,EUR,981849600,M,11,11,False,12.0,9.0,,,3.0,3.0,12.0,,2.0,,,,85.0,27.0,6.1,11.0,0.0190943,3,,,6.0,3.0,,1.0,,4.0,,,2.0,,1.0,,,,,,,0.0851,0.164,,,,,,,,,,,1.0,2.0,,
11067578,home,Vasco da Gama,Jair,jair,Jair,M,8,178,1707,M,,268419,EUR,777859200,M,8,8,False,45.0,42.0,3.0,2.0,13.0,13.0,33.0,,2.0,,,,70.0,49.0,6.6,4.0,0.0211562,0,,,29.0,1.0,,,,3.0,2.0,2.0,1.0,1.0,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,
11067578,home,Vasco da Gama,Paulinho Paula,paulinho-paula,Paulinho,M,18,173,1795,M,,879902,EUR,852681600,M,18,18,False,43.0,40.0,2.0,2.0,10.0,11.0,32.0,,9.0,,,,65.0,60.0,7.0,6.0,0.0713025,1,,,30.0,,,,,3.0,5.0,,3.0,1.0,,,,3.0,4.0,2.0,,0.0169,,2.0,,,,,,,,,,1.0,1.0,,
11067578,home,Vasco da Gama,Dimitri Payet,dimitri-payet,D. Payet,M,,175,8203,M,payet27,14216,EUR,543974400,M,10,10,False,69.0,68.0,6.0,6.0,14.0,14.0,64.0,,5.0,,,,90.0,89.0,7.0,11.0,0.156318,2,,,56.0,9.0,2.0,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,,0.1592,0.0651,3.0,,,,1.0,,,,,,2.0,,,
