match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_totalOffside,stat_expectedGoalsOnTarget,captain,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_blockedScoringAttempt
14083690,home,Villarreal,Arnau Tenas,,,arnau-tenas,A. Tenas,G,25,185,5097,M,908714,EUR,991180800,G,25,25,False,27.0,13.0,18.0,4.0,0.0,11.0,14.0,2.0,13.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,90.0,37.0,6.5,14.0,0.00307591,0.0542,0,-0.813,0.11,0.03,0.56,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083690,home,Villarreal,Pau Navarro,,,pau-navarro,P. Navarro,D,6,185,319,M,1525863,EUR,1114387200,D,26,26,False,26.0,22.0,2.0,1.0,0.0,19.0,20.0,3.0,6.0,7.0,3.0,1.0,,4.0,2.0,,,,,,,90.0,47.0,6.5,7.0,0.00313651,,0,,0.03,0.01,-0.28,,3.0,7.0,3.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
14083690,home,Villarreal,Rafa Marín,,,rafa-marin,R. Marín,D,4,190,2354,M,984623,EUR,1021766400,D,4,4,False,51.0,47.0,4.0,2.0,0.0,39.0,40.0,8.0,11.0,,9.0,4.0,,,,,,,,,,90.0,69.0,6.4,4.0,0.00311534,,0,,0.08,0.03,-0.05,,,2.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,
14083690,home,Villarreal,Renato Veiga,,,renato-veiga,R. Veiga,D,12,190,11718,M,1087359,EUR,1059436800,D,12,12,False,52.0,48.0,2.0,1.0,0.0,40.0,42.0,8.0,10.0,1.0,4.0,1.0,,,,,,,,,,90.0,62.0,6.5,5.0,0.00393268,,0,,0.05,0.07,-0.13,,1.0,3.0,,,2.0,1.0,,,3.0,renatoveiga95,,,,,,,,,,,,,,,,,,
14083690,home,Villarreal,Alfonso Pedraza,,,alfonso-pedraza,A. Pedraza,D,24,184,576,M,797290,EUR,829008000,D,24,24,False,30.0,18.0,6.0,1.0,0.0,11.0,15.0,7.0,15.0,3.0,1.0,2.0,,3.0,3.0,,,,,,,81.0,48.0,7.0,13.0,0.232671,,1,,0.27,0.45,-0.14,,,1.0,,,,,,1.0,,,4.0,3.0,1.0,0.0217,1.0,-0.15,,,,,,,,,,,,
14083690,home,Villarreal,Tajon Buchanan,,,tajon-buchanan,T. Buchanan,M,17,183,7471,M,973290,EUR,918432000,M,17,17,False,19.0,11.0,3.0,,0.0,4.0,6.0,7.0,13.0,3.0,1.0,5.0,,,,,,,,,,90.0,34.0,7.6,15.0,0.0483016,,1,,-0.01,0.36,-0.07,,,4.0,,1.0,,2.0,1.0,1.0,,,1.0,,,0.0347,1.0,0.55,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.2415,,,,
14083690,home,Villarreal,Dani Parejo,,,dani-parejo,D. Parejo,M,10,180,1999,M,39182,EUR,608688000,M,10,10,False,45.0,43.0,3.0,3.0,0.0,28.0,28.0,15.0,17.0,5.0,1.0,3.0,,1.0,1.0,,,,,,,73.0,57.0,7.2,5.0,0.104682,,0,,0.11,0.18,0.0,,1.0,,,,,,2.0,,,,2.0,1.0,,,,,1.0,1.0,,,,2.0,,,,,,
14083690,home,Villarreal,Santi Comesaña,,,santi-comesana,S. Comesaña,M,14,187,1066,M,843678,EUR,844473600,M,14,14,False,43.0,33.0,6.0,1.0,1.0,16.0,17.0,17.0,26.0,5.0,3.0,4.0,,1.0,,,,,,,,90.0,58.0,6.9,12.0,0.0993535,,1,,0.07,0.37,0.17,,2.0,2.0,,,,1.0,2.0,1.0,1.0,,,,1.0,0.1759,1.0,-0.41,,,1.0,,,2.0,,,,,,
14083690,home,Villarreal,Alberto Moleiro,,,alberto-moleiro,A. Moleiro,M,20,172,3634,M,1012444,EUR,1064880000,M,20,20,False,27.0,16.0,2.0,,1.0,3.0,4.0,13.0,23.0,2.0,,3.0,,,,,,,,,,73.0,38.0,8.1,17.0,0.0962766,,1,,0.13,0.4,-0.07,,,1.0,,1.0,,,3.0,,,,1.0,,,0.1698,2.0,0.51,1.0,1.0,,1.0,1.0,1.0,,0.4803,,,,
14083690,home,Villarreal,Gerard Moreno,,,gerard-moreno,G. Moreno,F,7,180,4001,M,146866,EUR,702604800,F,7,7,False,19.0,16.0,1.0,1.0,0.0,8.0,10.0,8.0,9.0,2.0,,3.0,,,,,,,,,,63.0,23.0,6.1,6.0,0.00627771,,0,,-0.08,0.09,-0.06,,2.0,6.0,,,,,2.0,3.0,4.0,GerardMoreno9,,,,,,,,,,,,,,,True,,,
