match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_duelLost,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_wonTackle,stat_totalCross,stat_totalContest,stat_wonContest,stat_challengeLost,stat_dispossessed,stat_interceptionWon,player_sofascoreId,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_wasFouled,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_outfielderBlock,stat_goalAssist,stat_goals
10978180,home,Wolverhampton,Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,19609,M,945122,EUR,904176000,M,27,27,True,36.0,30.0,8.0,5.0,14.0,14.0,17.0,23.0,,4.0,,5.0,,,45.0,56.0,7.2,11.0,1,,,6.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,matheusnunes,,,,1.0,1.0,,1.0,,,1.0,,,,,
10978180,home,Wolverhampton,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7755,M,252821,EUR,753408000,D,22,22,True,32.0,29.0,,,15.0,16.0,14.0,20.0,1.0,2.0,,3.0,,,45.0,41.0,6.8,8.0,0,,,,1.0,1.0,,,,4.0,,,,,,nelsonsemedo50,,,,,,,,,,,,,,,
10978180,home,Wolverhampton,Daniel Podence,daniel-podence,D. Podence,F,56,165,3019,M,308764,EUR,814233600,M,10,10,True,10.0,7.0,,,,2.0,7.0,8.0,1.0,1.0,,3.0,,,26.0,15.0,6.3,5.0,0,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
10978180,home,Wolverhampton,Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,69685,M,886363,EUR,927763200,F,12,12,True,9.0,6.0,1.0,1.0,,,6.0,9.0,,1.0,,,,,25.0,17.0,6.9,4.0,3,,,1.0,,,,,,,,,,1.0,,Cunha,,1.0,1.0,,,,1.0,,,1.0,,,,,
10978180,home,Wolverhampton,Diego Costa,diego-costa,Diego Costa,F,,187,4454,,21212,EUR,592185600,F,29,29,True,2.0,1.0,,,,,1.0,3.0,,,,,,,12.0,3.0,6.6,2.0,0,,,,,,,,,1.0,,,,,,diego.costa,,,,1.0,,,,,,,,,,,
10978180,home,Wolverhampton,Matija Šarkić,matija-sarkic,M. Šarkić,G,,192,166,M,862812,EUR,869616000,G,13,13,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10978180,home,Wolverhampton,Max Kilman,max-kilman,M. Kilman,D,3,192,1256,M,894474,EUR,864345600,D,23,23,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10978180,home,Wolverhampton,Hugo Bueno,hugo-bueno,H. Bueno,D,3,180,796,M,1013928,EUR,1032307200,D,64,64,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10978180,home,Wolverhampton,Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177,6339,M,786186,EUR,822614400,F,11,11,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Hwangso,,,,,,,,,,,,,,,
10978180,away,Liverpool,Caoimhin Kelleher,caoimhin-kelleher,C. Kelleher,G,1,188,9884,M,827362,EUR,911779200,G,62,62,False,31.0,17.0,18.0,4.0,15.0,20.0,2.0,11.0,1.0,1.0,,7.0,2.0,,90.0,39.0,7.3,15.0,0,,,,,,,,,,,,,,,caoimhinkelleher98,,,,,,,,,,,1.0,2.0,,,
10978180,away,Liverpool,James Milner,james-milner,J. Milner,M,20,175,3348,M,791,EUR,505180800,D,7,7,False,38.0,31.0,5.0,3.0,16.0,19.0,15.0,23.0,,4.0,,4.0,,,66.0,57.0,7.0,11.0,0,,,1.0,3.0,,1.0,,2.0,4.0,,,,,,,True,,,,,,1.0,,,,,,,,
10978180,away,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27486,M,826215,EUR,927590400,D,5,5,False,37.0,26.0,7.0,1.0,21.0,25.0,5.0,12.0,3.0,4.0,6.0,3.0,,,90.0,49.0,6.8,13.0,0,,,4.0,1.0,,2.0,1.0,1.0,,1.0,,,,2.0,ibrahimakonate,,,,,,,,,,,,,,,
10978180,away,Liverpool,Joe Gomez,joe-gomez,J. Gomez,D,2,188,14092,M,318927,EUR,864345600,D,2,2,False,47.0,43.0,6.0,6.0,29.0,30.0,14.0,17.0,,2.0,4.0,5.0,,,90.0,57.0,7.6,4.0,0,,,3.0,2.0,,1.0,1.0,2.0,,,,1.0,,1.0,joegomez5,,,,1.0,,,,,,,,,2.0,,
10978180,away,Liverpool,Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16094,M,786259,EUR,831859200,D,21,21,False,46.0,35.0,4.0,1.0,22.0,29.0,14.0,22.0,2.0,6.0,1.0,4.0,,,90.0,80.0,6.8,20.0,1,,,6.0,2.0,,3.0,,2.0,5.0,,,,3.0,,TK21,,1.0,,,1.0,,2.0,,,,,,,,
10978180,away,Liverpool,Naby Keïta,naby-keita,N. Keïta,M,5,172,16796,M,365772,EUR,792374400,M,8,8,False,30.0,25.0,1.0,,7.0,10.0,18.0,20.0,2.0,8.0,1.0,3.0,,,90.0,48.0,6.9,10.0,1,,,6.0,6.0,,,1.0,3.0,,,,2.0,3.0,,keitanabydeco,,1.0,,,,,,,,,,,,,
10978180,away,Liverpool,Stefan Bajčetić,stefan-bajcetic,S. Bajčetić,M,43,185,10263,M,1142636,EUR,1098403200,M,43,43,False,34.0,24.0,2.0,,13.0,18.0,11.0,16.0,,5.0,,5.0,,,75.0,49.0,6.9,13.0,0,,,3.0,3.0,,,2.0,3.0,,1.0,1.0,,1.0,2.0,stefanbajcetic,,,,,,,1.0,,,,,,,,
10978180,away,Liverpool,Thiago Alcântara,thiago-alcantara,Thiago,M,,174,8198,M,53825,EUR,671328000,M,6,6,False,60.0,51.0,7.0,6.0,29.0,32.0,22.0,28.0,2.0,7.0,,8.0,,,75.0,78.0,7.5,12.0,0,,,3.0,2.0,1.0,1.0,,2.0,,4.0,3.0,,1.0,3.0,thiago6,,,,1.0,,,,1.0,,,,,,1.0,
10978180,away,Liverpool,Harvey Elliott,harvey-elliott,H. Elliott,M,9,170,20968,M,955245,EUR,1049414400,F,19,19,False,44.0,35.0,4.0,,12.0,16.0,23.0,29.0,1.0,3.0,2.0,6.0,,,90.0,54.0,7.6,10.0,1,,,1.0,1.0,,,1.0,,1.0,,,,,,harvelliott,,,,2.0,,,1.0,,,1.0,,,,,1.0
10978180,away,Liverpool,Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,51063,M,862967,EUR,926035200,F,18,18,False,21.0,15.0,,,3.0,3.0,12.0,18.0,,2.0,1.0,,,,66.0,32.0,6.7,10.0,3,,,4.0,1.0,1.0,,,1.0,,2.0,,1.0,1.0,,CodyGakpo,,2.0,,,,,1.0,3.0,,1.0,,,1.0,,
