match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_dispossessed,stat_shotOffTarget,captain,stat_accurateCross,stat_keyPass,stat_blockedScoringAttempt,stat_fouls,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_hitWoodwork,stat_totalOffside,player_sofascoreId
11401935,home,Go Ahead Eagles,Jeffrey de Lange,jeffrey-de-lange,J. de Lange,G,12,188,623,M,803034,EUR,891388800,G,1,1,False,19.0,17.0,8.0,6.0,11.0,11.0,6.0,8.0,8.0,1.0,90.0,25.0,6.4,2.0,0.00130159,0,-0.9757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401935,home,Go Ahead Eagles,Mats Deijl,mats-deijl,M. Deijl,D,20,180,337,M,794013,EUR,868924800,D,2,2,False,43.0,36.0,3.0,1.0,10.0,12.0,26.0,33.0,2.0,,90.0,59.0,6.7,11.0,0.0956949,1,,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0609,0.0632,,,,,,,,,,,,,,,,,,,,,,,,,
11401935,home,Go Ahead Eagles,Jamal Amofa,jamal-amofa,J. Amofa,D,6,185,110,M,1049653,EUR,911952000,D,25,25,False,65.0,60.0,7.0,5.0,17.0,19.0,43.0,47.0,4.0,,90.0,85.0,7.8,8.0,0.108675,1,,Jamal Amofa,,1.0,1.0,2.0,9.0,,1.0,1.0,0.0703,0.1141,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,
11401935,home,Go Ahead Eagles,Joris Kramer,joris-kramer,J. Kramer,D,4,190,140,M,793742,EUR,838944000,D,4,4,False,22.0,22.0,1.0,1.0,14.0,14.0,8.0,9.0,2.0,,45.0,29.0,6.3,3.0,0.00322643,1,,,,1.0,2.0,3.0,,,,,0.036,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
11401935,home,Go Ahead Eagles,Bas Kuipers,bas-kuipers,B. Kuipers,D,25,180,146,M,339879,EUR,777081600,D,5,5,False,49.0,38.0,5.0,,10.0,13.0,29.0,47.0,7.0,,90.0,86.0,6.9,23.0,0.222144,0,,,,11.0,1.0,4.0,2.0,2.0,,,,,,1.0,,2.0,1.0,3.0,2.0,,1.0,,,True,1.0,2.0,,,,,,,,,,,
11401935,home,Go Ahead Eagles,Enric Llansana,enric-llansana,E. Llansana,M,24,183,329,M,916951,EUR,987033600,M,21,21,False,82.0,74.0,7.0,3.0,25.0,26.0,49.0,56.0,17.0,,90.0,108.0,7.2,14.0,0.10284,2,,,,,2.0,8.0,7.0,1.0,,1.0,0.1,,2.0,6.0,2.0,4.0,2.0,,2.0,2.0,2.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,
11401935,home,Go Ahead Eagles,Philippe Rommens,philippe-rommens,P. Rommens,M,88,175,233,M,606190,EUR,872035200,M,10,10,False,95.0,82.0,9.0,5.0,20.0,21.0,64.0,80.0,9.0,,85.0,116.0,7.6,20.0,0.360706,5,,,,6.0,,2.0,2.0,,1.0,,0.2464,0.0601,1.0,1.0,,,,1.0,1.0,,1.0,1.0,2.0,,2.0,3.0,2.0,,,,,,,,,,
11401935,home,Go Ahead Eagles,Jakob Breum,jakob-breum,J. Breum,M,7,173,868,M,1029724,EUR,1069027200,M,29,29,False,10.0,7.0,,,2.0,2.0,5.0,12.0,1.0,,64.0,28.0,6.8,11.0,0.033141,4,,,,4.0,,5.0,5.0,3.0,1.0,1.0,0.318,0.1317,1.0,2.0,,,,,3.0,2.0,2.0,,1.0,,,1.0,2.0,,,,,,,,,,
11401935,home,Go Ahead Eagles,Willum Thor Willumsson,willum-thor-willumsson,W. T. Willumsson,M,19,193,297,M,978823,EUR,909100800,M,18,18,False,50.0,37.0,2.0,2.0,12.0,12.0,25.0,40.0,6.0,,90.0,67.0,7.3,19.0,0.121177,1,,,,2.0,,7.0,6.0,2.0,,1.0,0.0401,,1.0,3.0,3.0,1.0,,,1.0,,3.0,1.0,1.0,,,3.0,,4.0,,,,,,,,,
11401935,home,Go Ahead Eagles,Oliver Edvardsen,oliver-valaker-edvardsen,O. Edvardsen,M,17,175,591,M,878599,EUR,921801600,M,23,23,False,30.0,24.0,1.0,,5.0,6.0,20.0,32.0,2.0,,85.0,58.0,6.6,22.0,0.100239,0,,,,8.0,,5.0,2.0,1.0,,1.0,,,,2.0,,,,,1.0,1.0,5.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,
