match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_totalCross,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_shotOffTarget,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_errorLeadToAGoal,stat_goodHighClaim,stat_goals,stat_goalAssist
10434095,home,Fenerbahçe,Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15107,M,altaybayindir,815890,EUR,892512000,G,1,1,False,True,37.0,22.0,23.0,8.0,17.0,18.0,5.0,19.0,1.0,7.0,3.0,5.0,3.0,3.0,90.0,50.0,7.1,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434095,home,Fenerbahçe,Serdar Aziz,,,serdar-aziz,S. Aziz,D,,183,609,M,,43528,EUR,656640000,D,4,4,False,,45.0,35.0,6.0,2.0,29.0,34.0,6.0,11.0,2.0,5.0,,,,,90.0,55.0,5.9,12.0,0,3.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
10434095,home,Fenerbahçe,Gustavo Henrique,,,gustavo-henrique,G. Henrique,D,13,195,5441,M,,243181,EUR,732931200,D,2,2,False,,26.0,23.0,2.0,1.0,20.0,20.0,3.0,6.0,,2.0,,,,,45.0,31.0,6.6,3.0,0,,3.0,5.0,1.0,,,,2.0,1.0,,2.0,,3.0,1.0,,,,,,,,,,,,,,
10434095,home,Fenerbahçe,Attila Szalai,,,attila-szalai,A. Szalai,D,41,192,2464,M,,823092,EUR,885254400,D,41,41,False,,73.0,60.0,13.0,5.0,41.0,45.0,19.0,28.0,2.0,5.0,,,,,90.0,79.0,6.3,13.0,0,3.0,3.0,2.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,
10434095,home,Fenerbahçe,Bright Osayi-Samuel,,,bright-osayi-samuel,B. Osayi-Samuel,D,26,175,5509,M,,791616,EUR,883526400,M,21,21,False,,40.0,32.0,1.0,,14.0,16.0,18.0,26.0,2.0,10.0,,,,,90.0,70.0,5.9,18.0,1,,6.0,3.0,1.0,1.0,5.0,,1.0,1.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,
10434095,home,Fenerbahçe,Miguel Crespo,,,miguel-crespo,M. Crespo,M,13,187,618,M,,972410,EUR,842400000,M,27,27,False,,37.0,32.0,4.0,3.0,15.0,16.0,17.0,22.0,,8.0,,,,,70.0,61.0,7.1,11.0,2,,5.0,14.0,2.0,2.0,4.0,,2.0,2.0,8.0,,1.0,1.0,,1.0,3.0,,1.0,2.0,1.0,,,,,,,,
10434095,home,Fenerbahçe,Willian Arão,,,willian-arao,Willian Arão,M,15,181,1888,M,,242213,EUR,700358400,M,5,5,False,,51.0,43.0,3.0,3.0,20.0,23.0,23.0,28.0,1.0,5.0,,,,,89.0,61.0,7.2,8.0,2,2.0,3.0,6.0,1.0,,,1.0,4.0,4.0,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,
10434095,home,Fenerbahçe,Ferdi Kadıoğlu,,,ferdi-kadioglu,F. Kadıoğlu,D,24,174,20994,M,ferdikadioglu,825844,EUR,939254400,M,7,7,False,,49.0,39.0,3.0,1.0,16.0,19.0,24.0,32.0,1.0,10.0,,,,,90.0,77.0,6.3,21.0,1,1.0,8.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,,2.0,1.0,,,3.0,,1.0,1.0,,,,,,
10434095,home,Fenerbahçe,Diego Rossi,,,diego-rossi,D. Rossi,F,10,170,1997,M,,831809,EUR,894153600,F,9,9,False,,29.0,20.0,2.0,1.0,6.0,10.0,15.0,28.0,1.0,4.0,,,,,69.0,53.0,7.0,24.0,2,1.0,4.0,3.0,1.0,1.0,3.0,,,,,,1.0,1.0,,9.0,2.0,,,5.0,1.0,1.0,1.0,1.0,,,,,
10434095,home,Fenerbahçe,Joshua King,,,joshua-king,J. King,F,7,180,2230,M,,100621,EUR,695433600,F,15,15,False,,21.0,16.0,,,7.0,7.0,9.0,16.0,,,,,,,90.0,42.0,7.0,13.0,1,1.0,4.0,7.0,,,3.0,1.0,4.0,4.0,2.0,1.0,1.0,,2.0,2.0,1.0,,,4.0,,1.0,,,,,,,
