match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,rescinded,id,isHome,incidentClass,player_id,player_name,injury,length,reason,confirmed
10434095,FT,0.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10434095,,,,,90,11.0,,1,,,card,Mauro Icardi,False,120586076.0,False,yellow,233114.0,Mauro Icardi,,,,
10434095,,0.0,3.0,,90,10.0,,1,,,goal,,,167664000.0,False,regular,233114.0,Mauro Icardi,,,,
10434095,,,,,90,3.0,,1,,,substitution,,,121502549.0,False,regular,,,False,,,
10434095,,,,,90,1.0,,1,,,substitution,,,121502540.0,True,regular,,,False,,,
10434095,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,10.0,,
10434095,,,,,87,,,4,,,card,Enner Valencia,False,120586048.0,True,yellow,106456.0,Enner Valencia,,,Argument,
10434095,,,,,87,,,4,,,card,Léo Dubois,False,120586354.0,False,yellow,552680.0,Léo Dubois,,,Foul,
10434095,,,,,86,,,5,,,card,İrfan Can Kahveci,False,120586044.0,True,red,226986.0,İrfan Can Kahveci,,,Foul,
10434095,,,,,85,,,6,,,varDecision,,,14776.0,True,cardUpgrade,226986.0,İrfan Can Kahveci,,,,False
10434095,,0.0,2.0,,78,,,13,,,goal,,,167663255.0,False,regular,903324.0,Kerem Aktürkoğlu,,,,
10434095,,,,,77,,,14,,,substitution,,,121502498.0,False,regular,,,False,,,
10434095,,,,,76,,,15,,,substitution,,,121502499.0,False,regular,,,False,,,
10434095,,,,,75,,,16,,,card,Berkan Kutlu,False,120586025.0,False,yellow,992912.0,Berkan Kutlu,,,Foul,
10434095,,,,,70,,,21,,,substitution,,,121502488.0,False,regular,,,False,,,
10434095,,,,,70,,,21,,,substitution,,,121502487.0,False,regular,,,False,,,
10434095,,,,,70,,,21,,,substitution,,,121502486.0,True,regular,,,False,,,
10434095,,,,,69,,,22,,,substitution,,,121502485.0,True,regular,,,False,,,
10434095,,,,,69,,,22,,,substitution,,,121502484.0,True,regular,,,False,,,
10434095,,,,,46,,,45,,,substitution,,,121502437.0,True,regular,,,False,,,
10434095,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10434095,,,,,45,8.0,,1,,,card,Dries Mertens,False,120585965.0,False,yellow,32493.0,Dries Mertens,,,Argument,
10434095,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,7.0,,
10434095,,,,,34,,,12,,,card,Victor Nelsson,False,120585909.0,False,yellow,846148.0,Victor Nelsson,,,Foul,
10434095,,0.0,1.0,,32,,,14,,,goal,,,167660901.0,False,regular,991493.0,Sérgio Oliveira,,,,
10434095,,,,,26,,,20,,,card,Sérgio Oliveira,False,120585893.0,False,yellow,991493.0,Sérgio Oliveira,,,Argument,
10434095,,,,,26,,,20,,,card,Sacha Boey,False,120585892.0,False,yellow,980418.0,Sacha Boey,,,Argument,
10434095,,,,,11,,,35,,,card,Gustavo Henrique,False,120585866.0,True,yellow,243181.0,Gustavo Henrique,,,Foul,
10434095,,,,,-5,,,6,,,card,Mert Hakan Yandaş,False,120586055.0,True,yellow,856849.0,Mert Hakan Yandaş,,,Argument,
