match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_expectedGoals,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_blockedScoringAttempt,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
12116979,home,Corinthians,Cássio,cassio,Cássio,G,1,195,4592,M,rcassio12,27756,EUR,549936000,G,12,12,False,True,19.0,13.0,11.0,5.0,10.0,10.0,3.0,9.0,5.0,1.0,3.0,90.0,24.0,7.3,7.0,0.00115497,0,0.9017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12116979,home,Corinthians,Fagner,fagner,Fagner,D,23,168,3781,M,Fagner,25554,EUR,613526400,D,23,23,False,,12.0,6.0,6.0,1.0,1.0,5.0,6.0,9.0,1.0,,,45.0,23.0,6.6,8.0,0.026267,0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12116979,home,Corinthians,Félix Torres,felix-torres,F. Torres,D,4,187,5321,M,felix_torres,881848,EUR,852940800,D,3,3,False,,42.0,39.0,5.0,2.0,15.0,15.0,24.0,27.0,4.0,,,90.0,53.0,7.3,3.0,0.0164361,1,,,,3.0,3.0,1.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.017,,,,,,,,,,,,,
12116979,home,Corinthians,Gustavo Henrique,gustavo-henrique,G. Henrique,D,13,195,5441,M,,243181,EUR,732931200,D,13,13,False,,23.0,20.0,3.0,1.0,7.0,8.0,13.0,15.0,,,,72.0,34.0,7.0,4.0,0.00433636,0,,,,4.0,2.0,1.0,1.0,,,,4.0,1.0,7.0,,,,,2.0,,2.0,1.0,2.0,3.0,,,,,,,,,
12116979,home,Corinthians,Hugo,hugo,Hugo,D,,179,3173,M,,1017827,EUR,872812800,D,46,46,False,,33.0,24.0,5.0,2.0,10.0,12.0,14.0,21.0,2.0,,,90.0,55.0,7.0,11.0,0.024935,2,,,,3.0,1.0,2.0,1.0,,,,,1.0,3.0,1.0,,,2.0,3.0,0.0399,,1.0,,2.0,,,,,,,,,
12116979,home,Corinthians,Raniele,raniele,Raniele,M,14,184,6186,M,R14niele,866392,EUR,851990400,M,14,14,False,,36.0,29.0,3.0,2.0,14.0,17.0,15.0,20.0,3.0,,,90.0,49.0,6.8,10.0,0.0105062,1,,1.0,,5.0,2.0,1.0,,,,,3.0,2.0,5.0,1.0,1.0,,,2.0,0.0162,1.0,1.0,2.0,1.0,1.0,,,,,,,,
12116979,home,Corinthians,Fausto Vera,fausto-vera,F. Vera,M,8,181,1966,M,,930690,EUR,954028800,M,5,5,False,,36.0,32.0,2.0,1.0,11.0,12.0,21.0,24.0,4.0,,,72.0,42.0,6.7,5.0,0.0111875,0,,,,1.0,1.0,1.0,1.0,2.0,,,2.0,,6.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,
12116979,home,Corinthians,Ángel Romero,angel-romero,Á. Romero,F,29,177,10605,M,ÁRomero,1197041,EUR,710208000,M,11,11,False,,16.0,11.0,,,2.0,4.0,9.0,15.0,3.0,,,80.0,27.0,6.2,12.0,0.0054426,2,,3.0,,2.0,,,,,,,3.0,,5.0,,1.0,,1.0,,0.175,,2.0,2.0,,1.0,1.0,1.0,,,,,,
12116979,home,Corinthians,Rodrigo Garro,rodrigo-garro,R. Garro,M,8,174,33134,M,rodrigarroo,994454,EUR,883872000,M,10,10,False,,38.0,29.0,6.0,4.0,6.0,8.0,23.0,34.0,10.0,,,76.0,59.0,7.2,18.0,0.0512525,2,,4.0,,4.0,2.0,,,1.0,,,1.0,,5.0,,2.0,1.0,1.0,,0.0947,,2.0,3.0,1.0,,2.0,,1.0,0.1932,,,,
12116979,home,Corinthians,Wesley,wesley,Wesley,F,22,180,10411,M,wesley_teixeira005,1211632,EUR,1109980800,M,36,36,False,,15.0,14.0,2.0,2.0,5.0,6.0,9.0,12.0,5.0,,,90.0,46.0,7.2,15.0,0.0328846,2,,3.0,,8.0,1.0,1.0,,,,,2.0,,6.0,1.0,7.0,6.0,,,0.0417,,6.0,1.0,,1.0,2.0,,1.0,0.2533,,,,
