match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,stat_interceptionWon,captain,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoalsOnTarget,stat_challengeLost,stat_outfielderBlock,stat_errorLeadToAShot,stat_totalOffside,stat_bigChanceMissed,player_sofascoreId
12437819,home,Real Valladolid,Karl Hein,karl-hein,K. Hein,G,13,193.0,4102,M,991591,EUR,1018656000,G,13,13,False,26.0,14.0,16.0,5.0,0.0,10.0,11.0,4.0,15.0,1.0,9.0,3.0,3.0,1.0,1.0,90.0,33.0,7.2,12.0,0.00068286,0,0.5003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437819,home,Real Valladolid,Luis Pérez,luis-perez,L. Pérez,D,2,173.0,199,M,843180,EUR,791856000,D,2,2,False,27.0,21.0,3.0,2.0,0.0,10.0,10.0,12.0,19.0,2.0,3.0,,,,,90.0,47.0,7.0,12.0,0.109475,0,,2.0,1.0,5.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12437819,home,Real Valladolid,Abdulay Juma Bah,abdulay-juma-bah,A. J. Bah,D,28,195.0,5965,M,1606792,EUR,1144713600,D,35,35,False,18.0,16.0,2.0,,0.0,14.0,15.0,2.0,3.0,1.0,,,,,,45.0,22.0,6.6,2.0,0.00049738,0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
12437819,home,Real Valladolid,Javi Sánchez,javi-sanchez,J. Sánchez,D,15,189.0,336,M,943713,EUR,858297600,D,5,5,False,37.0,35.0,4.0,2.0,0.0,33.0,34.0,2.0,3.0,7.0,5.0,,,,,90.0,48.0,7.1,3.0,0.00154132,0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,
12437819,home,Real Valladolid,Lucas Rosa,lucas-rosa,L. Rosa,D,2,177.0,706,M,970860,EUR,954720000,D,22,22,False,32.0,26.0,2.0,,1.0,13.0,14.0,14.0,20.0,2.0,4.0,,,,,90.0,60.0,8.0,10.0,0.634555,1,,2.0,1.0,1.0,,5.0,5.0,,1.0,4.0,1.0,3.0,2.0,,,,2.0,1.0,1.0,2.0,3.0,0.0262,,,,,,,,,,,
12437819,home,Real Valladolid,Kike Pérez,kike-perez,K. Pérez,M,71,184.0,312,M,857178,EUR,855878400,M,8,8,False,41.0,32.0,1.0,1.0,0.0,18.0,22.0,15.0,20.0,2.0,11.0,,,,,89.0,63.0,7.5,14.0,0.0525273,3,,1.0,1.0,2.0,2.0,8.0,7.0,,,2.0,3.0,1.0,,,,,4.0,2.0,1.0,2.0,4.0,0.6001,1.0,1.0,1.0,1.0,0.9349,,,,,,
12437819,home,Real Valladolid,Stanko Jurić,juric-stanko,S. Jurić,M,24,189.0,498,M,921417,EUR,840153600,M,20,20,False,41.0,35.0,3.0,2.0,0.0,24.0,27.0,11.0,14.0,3.0,6.0,,,,,90.0,61.0,6.7,10.0,0.00743111,0,,,,1.0,1.0,9.0,6.0,2.0,,5.0,,,1.0,,,,2.0,,,2.0,3.0,,,,,,,1.0,1.0,,,,
12437819,home,Real Valladolid,Mario Martín,martin-mario,M. Martín,M,6,177.0,16546,M,1154549,EUR,1078444800,M,12,12,False,33.0,28.0,4.0,2.0,0.0,21.0,23.0,7.0,10.0,3.0,7.0,,,,,90.0,56.0,6.9,9.0,0.00885825,2,,,,3.0,,11.0,8.0,2.0,,4.0,,1.0,3.0,,,,2.0,1.0,1.0,2.0,4.0,0.0545,1.0,,,3.0,,1.0,,1.0,1.0,,
12437819,home,Real Valladolid,Anuar,anuar,Anuar,M,23,172.0,810,M,601962,EUR,790128000,F,23,23,False,26.0,24.0,,,0.0,12.0,13.0,12.0,13.0,1.0,3.0,,,,,82.0,36.0,6.9,2.0,0.00614762,1,,,,,1.0,3.0,5.0,,,2.0,,,2.0,,,,,,,2.0,3.0,0.1913,1.0,,,2.0,,,,,,1.0,
12437819,home,Real Valladolid,Marcos André,marcos-andre,M. André,F,10,184.0,480,M,880157,EUR,845769600,F,9,9,False,24.0,16.0,1.0,1.0,0.0,4.0,6.0,12.0,18.0,2.0,5.0,,,,,89.0,43.0,7.0,16.0,0.0465964,2,,,,2.0,3.0,8.0,7.0,2.0,1.0,,5.0,5.0,,,,,2.0,1.0,,,3.0,0.2855,2.0,,,3.0,,1.0,,,,1.0,
