match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_shotOffTarget,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_ownGoals,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_wasFouled,captain,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork
10438043,home,Portimonense SAD,Kosuke Nakamura,kosuke-nakamura,K. Nakamura,G,23,185,357,M,155775,EUR,793843200,G,32,32,False,28.0,18.0,18.0,8.0,12.0,15.0,6.0,13.0,5.0,1.0,1.0,4.0,7.0,90.0,39.0,6.1,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438043,home,Portimonense SAD,Alemão,alemao,Alemão,D,43,194,174,M,1199402,EUR,1036540800,D,43,43,False,49.0,41.0,8.0,6.0,34.0,39.0,7.0,10.0,6.0,,1.0,,,90.0,67.0,6.4,10.0,0,Alemão,,5.0,4.0,9.0,8.0,2.0,8.0,1.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
10438043,home,Portimonense SAD,Park Ji-soo,park-ji-soo,P. Ji-soo,D,5,184,69,M,958647,EUR,771465600,D,23,23,False,40.0,31.0,9.0,3.0,26.0,31.0,5.0,9.0,6.0,1.0,,,,90.0,57.0,6.1,10.0,1,,,4.0,2.0,6.0,4.0,2.0,6.0,2.0,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10438043,home,Portimonense SAD,Filipe Relvas,filipe-relvas,F. Relvas,D,44,192,529,M,1131931,EUR,937785600,D,22,22,False,43.0,36.0,12.0,8.0,20.0,21.0,18.0,24.0,3.0,,1.0,,,90.0,71.0,6.6,12.0,0,,,,1.0,1.0,4.0,,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10438043,home,Portimonense SAD,Pedrão,pedrao,Pedrão,D,44,194,152,M,931811,EUR,862617600,M,44,44,False,37.0,31.0,2.0,2.0,20.0,23.0,11.0,14.0,9.0,,,,,67.0,48.0,7.3,8.0,1,,,,2.0,4.0,3.0,1.0,2.0,,,,1.0,,2.0,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,
10438043,home,Portimonense SAD,Fahd Moufi,fahd-moufi,F. Moufi,D,18,179,913,M,801066,EUR,831254400,M,18,18,False,19.0,15.0,1.0,,8.0,8.0,8.0,13.0,4.0,,1.0,,,67.0,35.0,6.6,7.0,1,,,,2.0,4.0,6.0,1.0,3.0,1.0,,,2.0,1.0,,2.0,1.0,2.0,1.0,,1.0,,,,,3.0,True,,,,,,,
10438043,home,Portimonense SAD,Carlinhos,carlinhos,Carlinhos,M,11,179,118,M,244787,EUR,772243200,M,7,7,False,37.0,32.0,4.0,4.0,15.0,16.0,17.0,23.0,6.0,,,,,67.0,55.0,6.5,14.0,2,,,,,6.0,4.0,,,,3.0,1.0,,2.0,,2.0,,,,,,6.0,,,,1.0,,,,,,,,
10438043,home,Portimonense SAD,Maurício,mauricio,Maurício,M,27,180,163,M,33538,EUR,593395200,M,8,8,False,37.0,34.0,1.0,1.0,21.0,21.0,13.0,16.0,9.0,,,,,80.0,48.0,6.2,6.0,0,,,,1.0,6.0,4.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,
10438043,home,Portimonense SAD,Moustapha Seck,moustapha-seck,M. Seck,D,24,176,148,M,807292,EUR,825033600,M,14,14,False,27.0,18.0,3.0,1.0,6.0,9.0,13.0,22.0,6.0,,,,,90.0,48.0,6.3,17.0,0,,,,,6.0,7.0,,1.0,,5.0,2.0,2.0,,,4.0,1.0,4.0,2.0,,,2.0,,,,,,,,,,,,
10438043,home,Portimonense SAD,Yony González,yony-gonzalez,Y. González,F,11,182,381,M,351432,EUR,773884800,F,15,15,False,22.0,17.0,,,7.0,9.0,10.0,13.0,4.0,,,,,90.0,35.0,6.8,8.0,1,,,2.0,2.0,7.0,5.0,,2.0,,,,2.0,1.0,1.0,,,3.0,2.0,,1.0,2.0,,,,1.0,,1.0,,,,,,
