match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,captain,stat_bigChanceMissed,stat_ownGoals,stat_wasFouled,stat_accurateCross,stat_onTargetScoringAttempt,stat_totalOffside,stat_keyPass,stat_bigChanceCreated,stat_blockedScoringAttempt,player_sofascoreId,stat_punches,stat_outfielderBlock,stat_hitWoodwork,stat_goalAssist,stat_goals
10408577,home,Elche,Nicolás Fernández,,,nicolas-fernandez,N. Fernández,M,7,172,663,M,962411,EUR,947548800,D,22,22,True,8.0,8.0,,,,,9.0,10.0,,1.0,,,,26.0,15.0,6.8,0.0,0.0,0.0262567,0,,2.0,,,2.0,3.0,,,1.0,,,,3.0,1.0,,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,
10408577,home,Elche,Alex Collado,Alex,Collado,alex-collado,A. Collado,M,8,177,1605,M,859767,EUR,924739200,M,15,15,True,15.0,14.0,2.0,1.0,4.0,4.0,10.0,11.0,,2.0,,,,26.0,20.0,6.5,0.0,0.0,0.00458815,0,,,,,1.0,1.0,,,2.0,1.0,,,,,1.0,,3.0,,,,,,,,,,,,,,,,
10408577,home,Elche,Josan,,,josan,Josan,M,17,175,169,M,808955,EUR,628646400,M,17,17,True,4.0,4.0,,,3.0,3.0,1.0,3.0,,,,,,12.0,11.0,6.6,0.0,0.0,0.00093856,0,,2.0,,,1.0,2.0,,1.0,,,,,1.0,1.0,,,4.0,,,,1.0,,,,,,,,,,,,
10408577,home,Elche,Axel Werner,,,axel-werner,A. Werner,G,1,191,163,M,250219,EUR,825465600,G,1,1,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,home,Elche,Lisandro Magallán,,,lisandro-magallan,L. Magallán,D,16,185,272,M,248125,EUR,749088000,D,7,7,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,home,Elche,Pol Lirola,,,pol-lirola,P. Lirola,D,14,183,660,M,844480,EUR,871430400,D,24,24,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,home,Elche,Diego González,,,diego-gonzalez,D. González,D,4,184,41,M,597756,EUR,791251200,D,4,4,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,home,Elche,Pape Cheikh,,,pape-cheikh,P. Cheikh,M,,180,131,M,826551,EUR,870998400,M,12,12,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,home,Elche,Randy Nteka,,,randy-nteka,R. Nteka,F,11,190,949,M,932764,EUR,881366400,M,18,18,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,away,Valencia,Giorgi Mamardashvili,,,giorgi-mamardashvili,G. Mamardashvili,G,25,200,17187,M,930997,EUR,970185600,G,25,25,False,27.0,9.0,24.0,6.0,3.0,3.0,6.0,24.0,1.0,11.0,3.0,,1.0,90.0,35.0,7.1,0.0,0.0,0.00549349,0,0.0306,,,1.0,,1.0,,,,,,,,,1.0,,19.0,,,,,,,,,,,mamardashvili,1.0,,,,
10408577,away,Valencia,Dimitri Foulquier,,,dimitri-foulquier,D. Foulquier,D,20,183,461,M,151138,EUR,732844800,D,20,20,False,20.0,16.0,7.0,6.0,4.0,5.0,13.0,18.0,1.0,5.0,,,,90.0,47.0,7.2,0.0,0.0,0.0108358,0,,3.0,,,2.0,6.0,,2.0,,,,,3.0,3.0,1.0,,12.0,,,,3.0,1.0,,,,,,,,,,,
10408577,away,Valencia,Gabriel Paulista,,,gabriel-paulista,G. Paulista,D,3,187,5224,M,124737,EUR,659577600,D,5,5,False,25.0,17.0,7.0,3.0,10.0,13.0,7.0,12.0,4.0,7.0,,,,90.0,35.0,6.8,0.0,0.0,0.00682099,0,,,4.0,,4.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,1.0,,,
10408577,away,Valencia,Mouctar Diakhaby,,,mouctar-diakhaby,M. Diakhaby,D,4,192,4026,M,797306,EUR,850953600,D,12,12,False,16.0,12.0,5.0,2.0,10.0,10.0,2.0,6.0,8.0,1.0,,,,89.0,29.0,6.8,0.0682,0.1555,0.00047873,1,,,,1.0,1.0,2.0,1.0,,,,,,,,,,4.0,,,,1.0,,1.0,,,,,mouctar_dkh,,,,,
10408577,away,Valencia,Cenk Özkaçar,,,cenk-ozkacar,C. Özkaçar,D,39,190,733,M,953097,EUR,970790400,D,15,15,False,22.0,19.0,2.0,2.0,9.0,11.0,10.0,11.0,4.0,2.0,,,,90.0,34.0,7.4,0.0,0.0,0.00572979,0,,,,3.0,,8.0,,,2.0,2.0,,,2.0,2.0,1.0,,4.0,,,,1.0,,,,,,,,,,,,
10408577,away,Valencia,José Luis Gayà,,,jose-luis-gaya,J. L. Gayà,D,14,172,1685,M,227922,EUR,801360000,D,14,14,False,21.0,18.0,3.0,1.0,5.0,7.0,13.0,18.0,3.0,3.0,,,,90.0,47.0,7.3,0.0,0.0,0.0374155,0,,4.0,4.0,1.0,9.0,9.0,2.0,1.0,3.0,1.0,,,7.0,3.0,1.0,,13.0,True,,,,,,,1.0,,,,,,,,
10408577,away,Valencia,Yunus Musah,,,yunus-musah,Y. Musah,M,6,178,4211,M,983815,EUR,1038528000,M,4,4,False,11.0,8.0,,,2.0,3.0,6.0,12.0,,2.0,,,,80.0,28.0,6.3,0.0,0.0,0.00566978,0,,4.0,2.0,1.0,8.0,6.0,1.0,,5.0,2.0,,,2.0,2.0,3.0,2.0,13.0,,,,1.0,,,,1.0,,,yunusmusah8,,,,,
10408577,away,Valencia,Nico González,,,nico-gonzalez,N. González,M,14,186,19859,M,954056,EUR,1010016000,M,17,17,False,2.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,,,45.0,13.0,6.2,0.3715,0.0,0.00093624,1,,,2.0,,6.0,2.0,1.0,3.0,,,1.0,,2.0,1.0,1.0,,4.0,,1.0,,,,,,,,,nico14,,,1.0,,
10408577,away,Valencia,André Almeida,,,andre-almeida,A. Almeida,M,10,176,1200,M,845693,EUR,959644800,M,18,18,False,39.0,34.0,5.0,4.0,12.0,12.0,23.0,32.0,1.0,3.0,,,,90.0,55.0,7.4,0.0,0.0,0.46534,0,,5.0,,,2.0,4.0,2.0,,3.0,3.0,,1.0,1.0,,3.0,,12.0,,,,,1.0,,,1.0,1.0,,,,,,,
10408577,away,Valencia,Edinson Cavani,,,edinson-cavani,E. Cavani,F,10,184,18667,M,21521,EUR,540259200,F,7,7,False,17.0,11.0,1.0,,5.0,6.0,6.0,11.0,,3.0,,,,72.0,25.0,7.1,0.0,0.0,0.150326,0,,,3.0,4.0,7.0,5.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,9.0,,,,,,,,1.0,1.0,,ElMatador,,,,1.0,
10408577,away,Valencia,Samuel Lino,,,samuel-lino,S. Lino,M,16,178,22125,M,874705,EUR,945907200,F,16,16,False,13.0,12.0,,,5.0,6.0,7.0,8.0,,4.0,,,,72.0,36.0,7.7,0.554,0.6638,0.0110724,3,,1.0,2.0,,9.0,9.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,7.0,,,,3.0,,2.0,,,,,osamuellino,,,,,1.0
10408577,away,Valencia,Javier Guerra,,,javier-guerra,J. Guerra,M,8,187,1800,M,1122610,EUR,1052784000,M,36,36,True,16.0,10.0,2.0,,1.0,2.0,9.0,14.0,3.0,5.0,,,,45.0,24.0,6.5,0.0,0.0,0.00316423,0,,,,1.0,3.0,3.0,,1.0,,,,1.0,1.0,1.0,1.0,2.0,8.0,,,,1.0,,,,,,,,,,,,
10408577,away,Valencia,Toni Lato,,,toni-lato,T. Lato,D,3,173,265,M,828239,EUR,880070400,D,3,3,True,9.0,6.0,,,2.0,2.0,4.0,7.0,,2.0,,,,18.0,10.0,6.5,0.0,0.0,0.00241889,0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,
10408577,away,Valencia,Alberto Mari,,,alberto-mari,A. Marí,F,14,183,112,M,990232,EUR,994809600,F,46,46,True,7.0,3.0,,,1.0,2.0,2.0,5.0,,1.0,,,,18.0,9.0,6.5,0.0,0.0,0.00048437,0,,,2.0,1.0,3.0,2.0,1.0,,1.0,1.0,,,,,1.0,,5.0,,,,,,,,,,,,,,,,
10408577,away,Valencia,Diego López,,,diego-lopez,D. López,M,16,172,1350,M,998950,EUR,1021248000,F,40,40,True,5.0,3.0,,,,,3.0,5.0,,1.0,,,,10.0,11.0,6.6,0.0,0.0,0.00984168,0,,,2.0,,3.0,2.0,,1.0,1.0,1.0,,,,,1.0,,4.0,,,,1.0,,,,,,,,,,,,
10408577,away,Valencia,Eray Cömert,,,eray-comert,E. Cömert,D,24,183,508,M,814023,EUR,886550400,D,24,24,True,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,away,Valencia,Jaume Doménech,,,jaume-domenech,J. Doménech,G,,186,177,M,235386,EUR,657763200,G,23,23,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,away,Valencia,Iago Herrerín,,,iago-herrerin,I. Herrerín,G,1,188,62,M,139931,EUR,570067200,G,1,1,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,away,Valencia,Rubén Iranzo,,,ruben-iranzo,R. Iranzo,D,26,182,56,M,1167704,EUR,1047600000,D,34,34,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,away,Valencia,Cristhian Mosquera,Cristhian Mosquera,,cristhian-mosquera,C. Mosquera,D,3,191,15807,M,1144630,EUR,1088294400,D,33,33,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,away,Valencia,Jesús Vázquez,,,jesus-vazquez,J. Vázquez,D,21,182,419,M,996929,EUR,1041465600,D,21,21,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,away,Valencia,Hugo Guillamón,,,hugo-guillamon,H. Guillamón,M,6,178,876,M,855830,EUR,949276800,D,6,6,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
