match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_dispossessed,stat_wonContest,stat_unsuccessfulTouch,stat_totalOffside,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_goals,stat_bigChanceMissed,stat_penaltyConceded,captain,stat_savedShotsFromInsideTheBox,stat_saves,player_sofascoreId,stat_outfielderBlock,stat_penaltyWon
12499791,home,1. FSV Mainz 05,Robin Zentner,robin-zentner,R. Zentner,G,27,193,298,M,174345,EUR,783302400,G,27,27,False,22.0,16.0,8.0,2.0,0.0,14.0,16.0,2.0,6.0,4.0,8.0,1.0,1.0,1.0,2.0,2.0,90.0,33.0,6.7,7.0,0.00198147,0,-0.3266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499791,home,1. FSV Mainz 05,Danny da Costa,danny-da-costa,D. Costa,D,21,186,305,M,97926,EUR,742521600,D,21,21,False,43.0,39.0,9.0,6.0,1.0,25.0,26.0,15.0,18.0,,2.0,,,,,,80.0,49.0,7.1,5.0,0.294433,0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12499791,home,1. FSV Mainz 05,Stefan Bell,stefan-bell,S. Bell,D,16,192,142,M,106662,EUR,682992000,D,16,16,False,57.0,47.0,9.0,4.0,0.0,35.0,37.0,12.0,20.0,4.0,7.0,,,,,,90.0,65.0,6.8,10.0,0.0119081,0,,,,4.0,5.0,,,1.0,1.0,,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12499791,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,D,31,31,False,39.0,31.0,9.0,6.0,0.0,20.0,22.0,11.0,17.0,2.0,4.0,,,,,,90.0,47.0,6.5,8.0,0.00881261,0,,,,3.0,1.0,,,1.0,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,
12499791,home,1. FSV Mainz 05,Anthony Caci,anthony-caci,A. Caci,M,19,184,357,M,846471,EUR,867715200,M,19,19,False,55.0,47.0,4.0,3.0,1.0,20.0,21.0,28.0,42.0,1.0,2.0,,,,,,90.0,89.0,7.7,22.0,0.755882,0,,8.0,1.0,7.0,11.0,3.0,1.0,7.0,4.0,2.0,1.0,3.0,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12499791,home,1. FSV Mainz 05,Kaishu Sano,kaishu-sano,K. Sano,M,6,176,2306,M,1028307,EUR,978134400,M,6,6,False,51.0,44.0,4.0,3.0,0.0,21.0,23.0,23.0,28.0,1.0,2.0,,,,,,90.0,69.0,7.3,11.0,0.0688147,0,,,,3.0,7.0,3.0,,3.0,2.0,,,1.0,,3.0,1.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,
12499791,home,1. FSV Mainz 05,Nadiem Amiri,nadiem-amiri,N. Amiri,M,10,180,2793,M,327755,EUR,846374400,M,18,18,False,63.0,56.0,10.0,5.0,0.0,23.0,25.0,39.0,46.0,,12.0,,,,,,90.0,88.0,8.7,14.0,0.795976,4,,8.0,6.0,7.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,,2.0,1.0,,3.0,1.0,1.0,,,1.0,2.0,1.0,0.3227,0.0828,,,,,,,,,,,
12499791,home,1. FSV Mainz 05,Phillipp Mwene,phillipp-mwene,P. Mwene,M,2,170,470,M,138126,EUR,759801600,M,2,2,False,38.0,33.0,3.0,3.0,1.0,18.0,20.0,15.0,19.0,,5.0,,,,,,90.0,54.0,7.6,14.0,0.420946,1,,1.0,,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,,,1.0,,2.0,1.0,2.0,5.0,1.0,,1.0,,0.0357,0.1055,,,,,,,,,,,
12499791,home,1. FSV Mainz 05,Paul Nebel,paul-nebel,P. Nebel,F,8,169,1155,M,980621,EUR,1034208000,F,8,8,False,52.0,42.0,3.0,3.0,0.0,16.0,18.0,27.0,37.0,,5.0,,,,,,85.0,70.0,7.4,17.0,0.0926113,1,,3.0,1.0,8.0,4.0,6.0,,,,,2.0,,1.0,,1.0,2.0,,3.0,2.0,,,1.0,,0.2881,0.9307,,,1.0,,,,,,,,
12499791,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,F,7,7,False,27.0,21.0,,,0.0,6.0,6.0,15.0,22.0,,1.0,,,,,,89.0,40.0,6.8,9.0,0.0257227,4,,1.0,,8.0,4.0,,,,,,5.0,2.0,,2.0,2.0,1.0,2.0,,,,1.0,3.0,,0.8156,1.7428,,,1.0,2.0,1.0,,,,,,
