match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_totalCross,stat_wasFouled,stat_keyPass,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_penaltyFaced,stat_penaltyConceded,stat_lastManTackle,player_sofascoreId,stat_errorLeadToAShot
13981466,home,Parma,Zion Suzuki,,,zion-suzuki,Z. Suzuki,G,31,189,4904,M,905351,EUR,1029888000,G,31,31,False,39.0,22.0,23.0,6.0,0.0,16.0,17.0,6.0,22.0,2.0,12.0,2.0,2.0,3.0,2.0,90.0,49.0,6.8,18.0,0.00174593,0.2257,0,-0.0642,0.08,0.02,-0.02,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981466,home,Parma,Enrico Del Prato,,,enrico-del-prato,E. Del Prato,D,15,183,860,M,928103,EUR,942192000,D,15,15,False,22.0,19.0,2.0,,0.0,11.0,12.0,8.0,10.0,3.0,1.0,,,,,90.0,42.0,6.7,8.0,0.00648228,,2,,0.13,0.02,-0.15,,True,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0942,-0.26,,,,,,,,,,,,,,,,,,,,
13981466,home,Parma,Alessandro Circati,,,alessandro-circati,A. Circati,D,39,190,800,M,1155423,EUR,1065744000,D,39,39,False,32.0,24.0,5.0,2.0,0.0,17.0,20.0,7.0,12.0,7.0,4.0,,,,,90.0,48.0,7.5,8.0,0.00677238,,0,,0.13,0.01,0.57,,,7.0,2.0,7.0,,,,,,,1.0,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,
13981466,home,Parma,Abdoulaye Ndiaye,,,abdoulaye-ndiaye,A. Ndiaye,D,3,195,1264,M,984527,EUR,1018396800,D,3,3,False,35.0,30.0,5.0,2.0,0.0,23.0,23.0,7.0,12.0,5.0,4.0,,,,,90.0,47.0,6.2,5.0,0.00242187,,0,,0.06,0.02,-0.1,,,2.0,10.0,5.0,2.0,,,,3.0,1.0,2.0,,,6.0,1.0,1.0,,,,,,,,,,,,,,,,,
13981466,home,Parma,Sascha Britschgi,,,sascha-britschgi,S. Britschgi,D,27,182,440,M,1963449,EUR,1156636800,M,27,27,False,16.0,10.0,1.0,1.0,0.0,5.0,5.0,5.0,11.0,3.0,3.0,,,,,90.0,25.0,6.4,7.0,0.00304425,,1,,-0.16,0.06,-0.06,,,,4.0,2.0,1.0,,1.0,,1.0,1.0,1.0,0.0242,0.01,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
13981466,home,Parma,Adrián Bernabé,,,adrian-bernabe,A. Bernabé,M,10,170,2308,M,934384,EUR,990835200,M,10,10,False,28.0,24.0,1.0,,0.0,13.0,15.0,11.0,13.0,1.0,5.0,,,,,81.0,40.0,6.7,7.0,0.00734647,,3,,0.06,0.27,-0.01,,,,3.0,3.0,,3.0,2.0,1.0,2.0,1.0,,0.1181,-0.32,,,,,1.0,1.0,,,,,,,,,,,,,,
13981466,home,Parma,Mandela Keita,Mandela Keita,,mandela-keita,M. Keita,M,16,180,1230,M,1110136,EUR,1020988800,M,16,16,False,20.0,18.0,1.0,1.0,0.0,9.0,9.0,9.0,11.0,2.0,4.0,,,,,90.0,34.0,7.0,5.0,0.00612663,,1,,0.06,0.1,-0.07,,,3.0,3.0,8.0,1.0,1.0,1.0,,3.0,1.0,,0.0296,-0.14,1.0,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,
13981466,home,Parma,Emanuele Valeri,,,emanuele-valeri,E. Valeri,D,14,180,818,M,891346,EUR,912988800,M,14,14,False,21.0,15.0,4.0,2.0,1.0,4.0,5.0,11.0,16.0,5.0,2.0,,,,,90.0,55.0,7.5,16.0,0.189073,,0,,0.35,0.33,-0.08,,,1.0,4.0,5.0,2.0,,,,3.0,2.0,,,,1.0,,1.0,9.0,,5.0,2.0,1.0,1.0,4.0,1.0,,,,,,,,,
13981466,home,Parma,Gaetano Oristanio,,,gaetano-oristanio,G. Oristanio,F,21,174,968,M,965009,EUR,1033171200,F,21,21,False,8.0,4.0,,,0.0,1.0,1.0,3.0,7.0,,4.0,,,,,58.0,22.0,6.5,10.0,0.00074108,,0,,-0.04,0.08,0.13,,,1.0,2.0,3.0,,1.0,,,,,1.0,,,,,,,2.0,,,,5.0,,,,,,,,,,,
13981466,home,Parma,Patrick Cutrone,,,patrick-cutrone,P. Cutrone,F,10,183,2328,M,795044,EUR,883785600,F,32,32,False,19.0,12.0,1.0,1.0,0.0,4.0,6.0,8.0,13.0,,3.0,,,,,81.0,26.0,6.3,12.0,0.0091349,,1,,-0.05,-0.08,0.16,,,1.0,2.0,1.0,,,1.0,,,,,0.0194,-0.16,1.0,,,,,,1.0,,4.0,,,,,,,,,,,
