match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialWon,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,stat_ownGoals,stat_unsuccessfulTouch,player_firstName,player_lastName,captain,stat_wonTackle,stat_penaltyConceded,stat_fouls,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_punches,stat_penaltyMiss
14131956,home,Benfica,Anatoliy Trubin,anatoliy-trubin,A. Trubin,G,1,200,9533,M,anatoliytrubin81,966616,EUR,996624000,G,1,1,False,14.0,10.0,7.0,3.0,0.0,7.0,9.0,3.0,5.0,1.0,8.0,1.0,2.0,1.0,1.0,3.0,90.0,22.0,6.4,4.0,0.00063111,0.5231,0,-0.3296,0.04,-0.04,-0.41,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131956,home,Benfica,Amar Dedić,amar-dedic,A. Dedić,D,17,180,5379,M,,1102791,EUR,1029628800,D,17,17,False,55.0,46.0,1.0,,0.0,13.0,13.0,33.0,42.0,1.0,3.0,,,,,,90.0,80.0,6.1,17.0,0.15145,,1,,0.1,0.25,-0.35,,4.0,1.0,1.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0531,1.0,0.02,,,,,,,,,,,,,,,,,,,,,,,
14131956,home,Benfica,Tomás Araújo,tomas-araujo,T. Araújo,D,44,186,2711,M,,983542,EUR,1021507200,D,44,44,False,80.0,72.0,10.0,6.0,0.0,27.0,29.0,45.0,51.0,1.0,4.0,,,,,,90.0,91.0,6.5,12.0,0.040444,,1,,0.45,0.31,-0.87,,,,,1.0,2.0,1.0,,,,1.0,0.0203,2.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14131956,home,Benfica,António Silva,antonio-silva,A. Silva,D,4,187,8155,M,antoniosilva.66,1006069,EUR,1067472000,D,4,4,False,64.0,58.0,8.0,6.0,0.0,30.0,31.0,28.0,33.0,3.0,6.0,,,,,,90.0,75.0,7.1,7.0,0.0529366,,1,,0.35,0.31,-0.29,,,,7.0,9.0,8.0,2.0,2.0,,1.0,1.0,0.0404,,-0.3,5.0,,1.0,1.0,,1.0,,,True,1.0,1.0,4.0,,,,,,,,,,,
14131956,home,Benfica,Samuel Dahl,dahl-samuel,S. Dahl,D,26,171,2179,M,,993101,EUR,1046736000,D,26,26,False,55.0,52.0,2.0,2.0,0.0,14.0,15.0,38.0,40.0,,6.0,,,,,,90.0,72.0,6.6,9.0,0.0689287,,0,,0.29,0.23,-0.38,,2.0,,,2.0,2.0,,,,1.0,2.0,,,,,,,,,1.0,,,,2.0,,1.0,1.0,,,,,,,,,,
14131956,home,Benfica,Richard Ríos,richard-rios,R. Ríos,M,8,185,34088,M,richardrios,1015292,EUR,959904000,M,20,20,False,64.0,59.0,4.0,3.0,0.0,15.0,15.0,44.0,49.0,,2.0,1.0,,,,,89.0,81.0,6.6,9.0,0.0555287,,5,,-0.46,0.99,-0.57,,1.0,,1.0,6.0,8.0,1.0,1.0,2.0,,3.0,0.5403,1.0,-0.66,2.0,,2.0,,,,,,,,,,3.0,2.0,1.0,2.0,0.0935,,,,,,
14131956,home,Benfica,Enzo Barrenechea,enzo-barrenechea,E. Barrenechea,M,5,186,6499,M,,1087316,EUR,990489600,M,5,5,False,58.0,55.0,4.0,3.0,0.0,14.0,14.0,41.0,44.0,,4.0,,,,,,45.0,61.0,7.2,4.0,0.0428805,,1,,0.32,0.17,-0.03,,,,,1.0,,,,,,,0.0152,1.0,-0.06,,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,
14131956,home,Benfica,Dodi Lukebakio,dodi-lukebakio,D. Lukebakio,M,11,187,4874,M,DLukebakio,823631,EUR,875059200,M,11,11,False,44.0,33.0,3.0,2.0,0.0,5.0,7.0,28.0,37.0,,1.0,,,,,,89.0,63.0,7.3,22.0,0.412352,,3,,0.39,0.38,-0.11,,6.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,,,0.3185,3.0,0.15,1.0,,,,,2.0,,,,,,1.0,1.0,1.0,2.0,,0.5122,,1.0,1.0,,,
14131956,home,Benfica,Georgiy Sudakov,georgiy-sudakov,G. Sudakov,M,10,177,6474,M,,1123925,EUR,1030838400,M,10,10,False,33.0,26.0,1.0,,0.0,5.0,5.0,21.0,28.0,,2.0,,,,,,79.0,49.0,7.5,14.0,0.097263,,3,,0.16,0.22,-0.06,,4.0,1.0,,3.0,1.0,,,1.0,,,0.2469,2.0,0.49,,,,,,2.0,,,,,,1.0,,2.0,2.0,1.0,1.0266,,,,1.0,,
14131956,home,Benfica,Fredrik Aursnes,fredrik-aursnes,F. Aursnes,M,8,179,3950,M,,228364,EUR,818553600,M,8,8,False,64.0,57.0,6.0,4.0,0.0,17.0,19.0,40.0,45.0,1.0,7.0,,,,,,90.0,86.0,7.2,10.0,0.0659488,,0,,0.1,0.2,-0.07,,,,2.0,4.0,9.0,3.0,2.0,,3.0,5.0,,,,1.0,,,,,2.0,,,,4.0,,1.0,1.0,,,1.0,,,,1.0,,,
14131956,home,Benfica,Vangelis Pavlidis,vangelis-pavlidis,V. Pavlidis,F,14,186,15120,M,vangelis_pavlidis,795236,EUR,911606400,F,14,14,False,17.0,12.0,,,1.0,2.0,3.0,10.0,14.0,1.0,3.0,,,,,,89.0,22.0,7.1,5.0,0.102778,,2,,0.0,-0.05,0.13,,,,1.0,1.0,1.0,,,,,,0.9024,1.0,0.25,,1.0,1.0,,,,,,,,,,,,1.0,1.0,0.9636,,,2.0,1.0,,
14131956,home,Benfica,Gianluca Prestianni,gianluca-prestianni,G. Prestianni,M,25,165,7794,M,,1201395,EUR,1138665600,F,25,25,True,7.0,7.0,,,0.0,2.0,2.0,5.0,5.0,,1.0,,,,,,45.0,17.0,6.5,4.0,0.0167548,,2,,0.04,-0.14,0.0,,1.0,,,3.0,2.0,2.0,,2.0,,1.0,0.0823,1.0,-0.25,,,,,,,Gianluca Prestianni,,,,,,,1.0,,1.0,,,,,,,
14131956,home,Benfica,Leandro Barreiro,leandro-barreiro,L. Barreiro,M,18,170,2462,M,,906800,EUR,946857600,M,18,18,True,3.0,2.0,1.0,,0.0,1.0,1.0,1.0,2.0,,,,,,,,11.0,4.0,6.5,1.0,0.00223938,,0,,0.05,,-0.06,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,
14131956,home,Benfica,João Rêgo,joao-rego,J. Rêgo,M,84,185,1396,M,,1158353,EUR,1119225600,M,84,84,True,1.0,,,,0.0,,,,1.0,,,,,,,,10.0,1.0,6.4,1.0,,,0,,-0.02,,-0.06,,,,,,,,,,,,,,,,,,,,,João Rêgo,,,,,,,,,,,,,,,,
14131956,home,Benfica,Franjo Ivanović,franjo-ivanovic,F. Ivanović,F,9,185,6286,M,,1103333,EUR,1064966400,F,9,9,True,2.0,,1.0,,0.0,,,,2.0,,,,,,,,10.0,3.0,6.5,3.0,,,0,,-0.06,,0.0,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
14131956,home,Benfica,Henrique Araújo,henrique-araujo,H. Araújo,F,39,183,1642,M,,998870,EUR,1011398400,F,39,39,True,1.0,,,,0.0,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131956,home,Benfica,Samuel Soares,samuel-soares,S. Soares,G,24,189,1436,M,,983550,EUR,1024099200,G,24,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131956,home,Benfica,Joshua Wynder,wynder-joshua,J. Wynder,D,66,183,702,M,,1118146,EUR,1114992000,D,66,66,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Joshua Wynder,,,,,,,,,,,,,,,,
14131956,home,Benfica,Rafael Obrador,rafael-obrador,R. Obrador,D,33,181,1945,M,,1142692,EUR,1077580800,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131956,home,Benfica,Andreas Schjelderup,andreas-schjelderup,A. Schjelderup,F,21,177,8800,M,andreasschjelderup,1100952,EUR,1086048000,F,21,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
