match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_fouls,stat_wasFouled,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,player_sofascoreId,captain,stat_keyPass,stat_shotOffTarget,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_accurateCross,stat_hitWoodwork,stat_blockedScoringAttempt
11452941,home,Al-Ettifaq,Paulo Victor,,,paulo-victor,P. Victor,G,48,187.0,212,M,34142,EUR,537408000,G,48,48,False,23.0,16.0,12.0,5.0,12.0,13.0,4.0,10.0,2.0,6.0,1.0,1.0,90.0,31.0,6.6,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452941,home,Al-Ettifaq,Alhwsawi Sanousi Mohammed,Alhwsawi Sanousi Mohammed,,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172.0,20,M,1085415,EUR,902707200,D,12,12,False,27.0,22.0,1.0,,8.0,9.0,14.0,20.0,1.0,,,,72.0,42.0,6.4,9.0,0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11452941,home,Al-Ettifaq,Marcel Tisserand,,,marcel-tisserand,M. Tisserand,D,32,190.0,461,M,338651,EUR,726624000,D,32,32,False,41.0,37.0,6.0,5.0,27.0,29.0,10.0,12.0,6.0,3.0,,,90.0,52.0,7.1,4.0,0,,2.0,2.0,,,,2.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11452941,home,Al-Ettifaq,Jack Hendry,,,jack-hendry,J. Hendry,D,4,195.0,333,M,795696,EUR,799804800,D,4,4,False,53.0,49.0,5.0,4.0,22.0,25.0,27.0,28.0,3.0,2.0,,,90.0,58.0,6.6,4.0,0,,2.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
11452941,home,Al-Ettifaq,Abdullah Al Khateeb,,,abdullah-al-khateeb,A. A. Khateeb,D,70,173.0,38,M,920498,EUR,794966400,D,70,70,False,34.0,29.0,1.0,,15.0,16.0,14.0,19.0,2.0,4.0,,,90.0,52.0,6.6,9.0,0,1.0,3.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11452941,home,Al-Ettifaq,Faisal Al-Ghamdi,Faisal,Al-Ghamdi,al-ghamdi-faisal,F. A. Ghamdi,M,16,185.0,951,M,966452,EUR,997660800,M,16,16,False,32.0,27.0,1.0,,14.0,15.0,13.0,17.0,,8.0,,,90.0,41.0,7.0,8.0,1,,4.0,3.0,1.0,,,,1.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,
11452941,home,Al-Ettifaq,Jordan Henderson,,,jordan-henderson,J. Henderson,M,6,183.0,6336,M,42694,EUR,645580800,M,10,10,False,56.0,47.0,9.0,4.0,23.0,25.0,24.0,34.0,1.0,1.0,,,88.0,69.0,7.1,14.0,0,3.0,2.0,2.0,,1.0,1.0,4.0,1.0,,,,1.0,,1.0,,1.0,1.0,jordanhenderson,True,1.0,,,,,,,,,,
11452941,home,Al-Ettifaq,Ahmed Al-Ghamdi,,,ahmed-al-ghamdi,A. Al-Ghamdi,M,27,178.0,356,M,984415,EUR,1000944000,M,15,15,False,8.0,5.0,1.0,,1.0,1.0,4.0,8.0,,1.0,,,45.0,18.0,6.2,8.0,1,1.0,6.0,1.0,1.0,2.0,,,,2.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,
11452941,home,Al-Ettifaq,Ali Hazazi,,,ali-hazazi,A. Hazazi,M,11,185.0,62,M,818699,EUR,761529600,M,11,11,False,29.0,25.0,3.0,2.0,13.0,14.0,12.0,16.0,,4.0,,,72.0,37.0,7.1,7.0,0,1.0,4.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,,
11452941,home,Al-Ettifaq,Robin Quaison,,,robin-quaison,R. Quaison,F,,184.0,385,M,163565,EUR,750124800,M,99,99,False,14.0,11.0,1.0,,4.0,6.0,7.0,8.0,,4.0,,,90.0,23.0,7.3,4.0,1,,1.0,3.0,,1.0,1.0,,1.0,,,,2.0,2.0,,1.0,,,,,,,,,1.0,,,,,,
