match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_aerialLost,stat_challengeLost,stat_blockedScoringAttempt,stat_totalTackle,stat_expectedGoals,stat_wonTackle,stat_accurateCross,stat_shotOffTarget,stat_dispossessed,stat_bigChanceCreated,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_clearanceOffLine,stat_bigChanceMissed,stat_totalOffside,stat_punches,stat_lastManTackle
12436992,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7610,M,jpickford1,138530,EUR,762998400,G,1,1,False,38.0,24.0,28.0,14.0,0.0,15.0,15.0,9.0,23.0,1.0,13.0,3.0,1.0,3.0,1.0,1.0,90.0,51.0,7.3,14.0,0.0113806,0,-0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436992,home,Everton,Ashley Young,ashley-young,A. Young,D,15,180,1712,M,,10589,EUR,489715200,D,18,18,False,51.0,31.0,12.0,3.0,1.0,15.0,16.0,16.0,36.0,1.0,3.0,,,,,,90.0,77.0,6.8,26.0,0.0177215,0,,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12436992,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2558,M,,145188,EUR,722131200,D,6,6,False,36.0,28.0,2.0,1.0,0.0,21.0,23.0,7.0,13.0,9.0,3.0,,,,,,90.0,56.0,7.6,8.0,0.0081305,1,,,9.0,6.0,12.0,,,3.0,2.0,1.0,2.0,,True,3.0,1.0,1.0,2.0,0.2612,,,,,,,,,,,,,,,,
12436992,home,Everton,Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2591,M,,979563,EUR,1025136000,D,32,32,False,32.0,27.0,2.0,,0.0,19.0,21.0,8.0,11.0,5.0,5.0,,,,,,90.0,46.0,7.2,5.0,0.00390921,0,,,3.0,3.0,7.0,1.0,1.0,,3.0,1.0,,,,3.0,,,2.0,,2.0,,,,,,,,,,,,,,,
12436992,home,Everton,Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4082,M,mikola_16,876643,EUR,927936000,D,19,19,False,27.0,22.0,4.0,2.0,0.0,7.0,8.0,16.0,22.0,4.0,1.0,,,,,,90.0,40.0,6.8,9.0,0.10982,1,,3.0,3.0,7.0,4.0,,,,,,2.0,1.0,,4.0,1.0,,1.0,0.0154,,1.0,1.0,,,,,,,,,,,,,
12436992,home,Everton,Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1269,M,,96535,EUR,725846400,M,16,16,False,36.0,28.0,2.0,2.0,0.0,14.0,16.0,14.0,21.0,,5.0,,,,,,90.0,46.0,6.9,11.0,0.0217525,0,,1.0,4.0,5.0,7.0,,,1.0,,1.0,3.0,1.0,,1.0,,,2.0,,1.0,,,1.0,,,,,,,,,,,,
12436992,home,Everton,Orel Mangala,orel-mangala,O. Mangala,M,5,178,1576,M,,793988,EUR,890179200,M,8,8,False,33.0,29.0,4.0,1.0,0.0,14.0,15.0,15.0,19.0,,7.0,,,,,,83.0,52.0,7.2,7.0,0.00886157,0,,1.0,1.0,4.0,9.0,2.0,2.0,,5.0,2.0,1.0,,,1.0,,,4.0,,2.0,,,2.0,,,,,,,,,,,,
12436992,home,Everton,Jesper Lindstrøm,jesper-lindstrom,J. Lindstrøm,M,19,182,2672,M,,947929,EUR,951782400,M,29,29,False,9.0,6.0,,,0.0,3.0,4.0,5.0,10.0,,1.0,,,,,,45.0,24.0,6.8,10.0,0.410425,0,,5.0,,4.0,2.0,2.0,,1.0,,,,2.0,,,,,2.0,,,2.0,,2.0,1.0,,,,,,,,,,,
12436992,home,Everton,Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,1973,M,,935543,EUR,943228800,M,7,7,False,26.0,19.0,3.0,2.0,0.0,5.0,6.0,17.0,26.0,,2.0,,,,,,83.0,48.0,8.0,20.0,0.20521,3,,6.0,,7.0,2.0,3.0,1.0,,,,1.0,1.0,,1.0,,,1.0,0.2531,,3.0,1.0,3.0,,Dwight,McNeil,2.0,2.0,5.0,0.5882,,,,,
12436992,home,Everton,Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,180,54701,M,ilimanndiaye10,914309,EUR,952300800,M,10,10,False,33.0,30.0,1.0,1.0,0.0,14.0,15.0,17.0,20.0,,13.0,,,,,,90.0,53.0,7.7,10.0,0.0517042,0,,2.0,,6.0,5.0,4.0,3.0,1.0,3.0,2.0,,1.0,,,2.0,,,,,1.0,,3.0,,,,,,1.0,,1.0,,,,
