match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_wonContest,stat_outfielderBlock,stat_dispossessed,stat_onTargetScoringAttempt,stat_errorLeadToAGoal,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,captain,stat_goals,stat_blockedScoringAttempt,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_totalOffside,stat_penaltyConceded
12448225,home,Willem II Tilburg,Thomas Didillon,,,thomas-didillon,T. Didillon,G,1,193,124,M,339809,EUR,817516800,G,1,1,False,34.0,25.0,10.0,1.0,0.0,25.0,27.0,7.0,1.0,1.0,6.0,1.0,1.0,90.0,39.0,6.0,9.0,0.0002911,0,-0.4918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448225,home,Willem II Tilburg,Mickael Tirpan,,,mickael-tirpan,M. Tirpan,D,25,177,59,M,800340,EUR,751334400,D,25,25,False,42.0,37.0,2.0,1.0,0.0,14.0,14.0,40.0,3.0,1.0,2.0,,,90.0,84.0,6.6,25.0,0.020563,0,,23.0,12.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12448225,home,Willem II Tilburg,Raffael Behounek,,,behounek-raffael,R. Behounek,D,30,187,82,M,799723,EUR,861148800,D,30,30,False,88.0,78.0,12.0,6.0,0.0,32.0,34.0,54.0,4.0,2.0,9.0,,,90.0,101.0,7.0,11.0,0.0423303,0,,46.0,,1.0,3.0,1.0,6.0,,1.0,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12448225,home,Willem II Tilburg,Tommy St. Jago,,,tommy-st-jago,T. S. Jago,D,33,186,182,M,876232,EUR,946857600,D,33,33,False,84.0,80.0,3.0,1.0,0.0,32.0,34.0,50.0,1.0,,5.0,,,90.0,99.0,6.5,9.0,0.241769,1,,48.0,,2.0,3.0,,4.0,,1.0,1.0,4.0,,,,,,1.0,1.0,1.0,0.0726,0.2759,1.0,,,,,,,,,,,,,,,
12448225,home,Willem II Tilburg,Rúnar Þór Sigurgeirsson,,,runar-thor-sigurgeirsson,R. Þ. Sigurgeirsson,D,21,186,110,M,902229,EUR,946339200,D,5,5,False,29.0,23.0,7.0,3.0,0.0,12.0,13.0,19.0,1.0,,4.0,,,63.0,57.0,6.9,15.0,0.180995,1,,13.0,3.0,,2.0,2.0,5.0,1.0,1.0,1.0,,,,,1.0,,,,,0.031,,1.0,2.0,1.0,1.0,,,,,,,,,,,,
12448225,home,Willem II Tilburg,Boris Lambert,,,lambert-boris,B. Lambert,M,35,187,94,M,936240,EUR,955324800,M,6,6,False,43.0,41.0,2.0,2.0,0.0,17.0,17.0,26.0,4.0,1.0,3.0,,,63.0,51.0,6.8,3.0,0.0448513,0,,24.0,,,3.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12448225,home,Willem II Tilburg,Emilio Kehrer,,,emilio-kehrer,E. Kehrer,F,11,177,82,M,1064079,EUR,1016582400,M,11,11,False,16.0,11.0,1.0,,0.0,4.0,4.0,18.0,6.0,1.0,2.0,,,74.0,31.0,7.0,10.0,0.118902,1,,12.0,6.0,3.0,6.0,3.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,0.1459,,3.0,5.0,,1.0,1.0,,,,,,,,,,,
12448225,home,Willem II Tilburg,Jesse Bosch,,,jesse-bosch,J. Bosch,M,5,176,81,M,989859,EUR,949363200,M,8,8,False,25.0,19.0,1.0,,0.0,7.0,8.0,18.0,7.0,,1.0,,,90.0,40.0,7.6,10.0,0.338673,2,,13.0,1.0,,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,5.0,,,1.0,1.0,,0.1323,0.1553,2.0,1.0,1.0,1.0,,True,1.0,,,,,,,,,
12448225,home,Willem II Tilburg,Ringo Meerveld,,,ringo-meerveld,R. Meerveld,M,10,177,424,M,992018,EUR,1040428800,M,16,16,False,39.0,35.0,3.0,3.0,0.0,9.0,9.0,30.0,5.0,,1.0,,,90.0,53.0,6.8,9.0,0.0601636,1,,26.0,,,3.0,4.0,,1.0,,,1.0,1.0,1.0,,2.0,,2.0,,,0.2776,,,,,,,,,1.0,,,,,,,,
12448225,home,Willem II Tilburg,Cisse Sandra,,,cisse-sandra,C. Sandra,M,11,183,563,M,1004449,EUR,1071532800,F,14,14,False,37.0,31.0,2.0,,0.0,6.0,6.0,33.0,3.0,,2.0,,,90.0,49.0,6.8,10.0,0.0953959,4,,25.0,2.0,,2.0,3.0,,,,,,,,1.0,2.0,,1.0,,,0.3596,,,,,4.0,1.0,,,,,,,,,,,
12448225,home,Willem II Tilburg,Kyan Vaesen,,,vaesen-kyan,K. Vaesen,F,17,190,139,M,997827,EUR,987120000,F,9,9,False,9.0,4.0,,,0.0,2.0,3.0,7.0,12.0,,2.0,,,63.0,24.0,6.4,11.0,0.00460206,0,,2.0,1.0,2.0,5.0,2.0,2.0,,2.0,1.0,2.0,,1.0,8.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
12448225,home,Willem II Tilburg,Rob Nizet,,,rob-nizet,R. Nizet,D,,177,74,M,964758,EUR,1018742400,D,22,22,True,26.0,25.0,3.0,3.0,0.0,6.0,6.0,23.0,1.0,,,,,27.0,36.0,7.0,5.0,0.205752,0,,19.0,3.0,1.0,2.0,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
12448225,home,Willem II Tilburg,Amine Lachkar,Amine Lachkar,,lachkar-amine,A. Lachkar,M,34,189,135,M,1418129,EUR,1050624000,D,34,34,True,20.0,19.0,,,0.0,3.0,3.0,17.0,1.0,,,,,27.0,26.0,6.9,2.0,0.0377077,1,,16.0,,1.0,3.0,,,,2.0,2.0,1.0,1.0,,1.0,,,,,,0.1456,,,,,,,,,1.0,,,,,,,,
12448225,home,Willem II Tilburg,Jeremy Bokila,,,jeremy-bokila,J. Bokila,F,18,188,210,M,32497,EUR,595468800,F,18,18,True,3.0,2.0,,,0.0,,,4.0,4.0,,,,,27.0,11.0,7.7,1.0,0.384678,2,,3.0,1.0,1.0,2.0,,,,,,,2.0,1.0,4.0,,,,2.0,,0.8346,1.0066,1.0,1.0,,,,,1.0,,1.0,,,,,,,
12448225,home,Willem II Tilburg,Patrick Joosten,,,patrick-joosten,P. Joosten,M,,188,46,M,787568,EUR,829440000,F,17,17,True,6.0,6.0,,,0.0,1.0,1.0,9.0,,,,,,16.0,12.0,6.9,3.0,0.0652099,1,,7.0,4.0,1.0,1.0,,,,,,1.0,,,,,,,,,0.1562,,1.0,2.0,,1.0,,,,,,,,,,,,
12448225,home,Willem II Tilburg,Maarten Schut,,,maarten-schut,M. Schut,G,41,180,17,M,1048757,EUR,1065916800,G,41,41,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448225,home,Willem II Tilburg,Connor van den Berg,,,connor-van-den-berg,C. van den Berg,G,16,187,35,M,990815,EUR,984873600,G,24,24,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
