match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_fouls,stat_totalCross,stat_aerialWon,stat_totalClearance,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,stat_accurateCross,stat_unsuccessfulTouch,stat_totalOffside,player_firstName,player_lastName,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_penaltyConceded
11407351,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,60.0,52.0,21.0,13.0,45.0,47.0,7.0,13.0,10.0,2.0,2.0,2.0,90.0,72.0,6.9,9.0,0.0,0.0,0.00240945,0,-0.7175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407351,home,Milan,Davide Calabria,davide-calabria,D. Calabria,D,2,177,2430,M,,318607,EUR,849830400,D,2,2,False,44.0,39.0,3.0,1.0,30.0,34.0,9.0,10.0,4.0,,,,90.0,54.0,6.7,7.0,0.1311,0.0,0.00544899,2,,True,1.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11407351,home,Milan,Malick Thiaw,malick-thiaw,M. Thiaw,D,12,194,6237,M,MThiaw,1014286,EUR,997228800,D,28,28,False,56.0,50.0,5.0,1.0,33.0,34.0,17.0,22.0,5.0,,,,79.0,64.0,6.8,7.0,0.0,0.0,0.0747958,0,,,,4.0,5.0,1.0,,,3.0,3.0,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
11407351,home,Milan,Fikayo Tomori,fikayo-tomori,F. Tomori,D,23,185,7146,M,fikayotomori,788255,EUR,882489600,D,23,23,False,70.0,66.0,2.0,1.0,57.0,59.0,9.0,12.0,11.0,,,,90.0,78.0,6.8,5.0,0.0,0.0,0.00317932,0,,,2.0,4.0,4.0,,,,2.0,1.0,,,,,3.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11407351,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184,26616,M,TheoHdez,788027,EUR,876096000,D,19,19,False,58.0,50.0,2.0,,24.0,26.0,26.0,33.0,3.0,,,,87.0,71.0,7.5,9.0,0.2805,0.197,0.0271916,4,,,,2.0,1.0,,3.0,,,,,,,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
11407351,home,Milan,Ruben Loftus-Cheek,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191,7232,M,rlc,284441,EUR,822355200,M,8,8,False,26.0,20.0,1.0,,7.0,9.0,13.0,17.0,5.0,,,,66.0,35.0,7.5,7.0,0.0813,0.0629,0.615657,1,,,,5.0,4.0,1.0,,,,,1.0,1.0,2.0,2.0,1.0,3.0,,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,
11407351,home,Milan,Rade Krunić,rade-krunic,R. Krunić,M,33,184,2486,M,,155449,EUR,749952000,M,33,33,False,46.0,42.0,,,28.0,29.0,14.0,17.0,2.0,,,,90.0,55.0,6.7,4.0,0.0,0.0,0.0422163,0,,,3.0,5.0,3.0,,,,,,1.0,,,,1.0,2.0,,2.0,3.0,,,,,,,,,,,,,,,,
11407351,home,Milan,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38485,M,tijjanireijnders,893549,EUR,901670400,M,14,14,False,40.0,36.0,4.0,4.0,11.0,12.0,26.0,29.0,5.0,,,,90.0,50.0,7.1,8.0,0.0348,0.0,0.0703631,1,,,,3.0,1.0,1.0,1.0,,,,1.0,2.0,,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,
11407351,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177,37774,M,CMPulisic,817957,EUR,906076800,F,11,11,False,26.0,25.0,,,7.0,8.0,18.0,19.0,2.0,,,,90.0,38.0,7.9,4.0,0.8442,1.0012,0.200539,3,,,1.0,3.0,4.0,,1.0,,,,3.0,2.0,,,1.0,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,
11407351,home,Milan,Olivier Giroud,olivier-giroud,O. Giroud,F,9,192,23426,M,OGiroud,39070,EUR,528422400,F,9,9,False,10.0,5.0,,,1.0,1.0,4.0,9.0,,,,,66.0,19.0,8.4,7.0,1.5926,1.9899,0.0088738,3,,,,2.0,6.0,,1.0,,,,4.0,1.0,,,,1.0,,3.0,,2.0,2.0,3.0,,,,,1.0,1.0,,,,,,,
