match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_sofascoreId,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_challengeLost,stat_clearanceOffLine,stat_lastManTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_dispossessed,stat_totalContest,stat_wasFouled,stat_wonContest,stat_accurateCross,stat_keyPass,stat_totalOffside,captain,stat_bigChanceMissed,stat_bigChanceCreated,stat_goodHighClaim,stat_errorLeadToAShot,stat_goals
14025111,home,Nottingham Forest,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,26,26,False,39.0,25.0,21.0,7.0,0.0,20.0,22.0,5.0,17.0,1.0,7.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,46.0,6.4,14.0,0.00465486,111.266771463,14.0,79.275,18.69,0.1207,0,-0.2707,0.06,0.03,-0.05,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025111,home,Nottingham Forest,Nicolò Savona,nicolo-savona,N. Savona,D,37,192,2582,M,1010220,EUR,1048032000,D,37,37,False,41.0,37.0,4.0,3.0,0.0,19.0,20.0,18.0,21.0,,2.0,,,,,,,90.0,52.0,6.0,7.0,0.0245653,77.583602332726,13.0,2.835,17.64,,2,,0.14,0.1,-0.34,,,,1.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0464,0.1604,-0.24,,,,,,,,,,,,,,,,,,,,,,,
14025111,home,Nottingham Forest,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5064,M,836168,EUR,876614400,D,31,31,False,53.0,45.0,7.0,1.0,0.0,32.0,36.0,13.0,17.0,2.0,5.0,,,,,,,90.0,62.0,6.3,8.0,0.0176594,136.39148306339,15.0,76.65,19.425,,2,,0.11,0.06,-0.17,,,,,1.0,1.0,,,3.0,,0.0294,,-0.24,milenkovicn_4,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14025111,home,Nottingham Forest,Morato,morato,F. Morato,D,4,190,2248,M,985086,EUR,993859200,D,4,4,False,71.0,58.0,10.0,6.0,0.0,39.0,44.0,19.0,27.0,6.0,5.0,6.0,4.0,,,,,90.0,85.0,7.2,14.0,0.0205344,236.65639136101,25.0,122.43,31.29,,0,,0.18,0.08,-0.13,,,,,1.0,2.0,,,4.0,,,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14025111,home,Nottingham Forest,Neco Williams,williams-neco,N. Williams,D,3,183,3198,M,927356,EUR,987120000,D,3,3,False,34.0,29.0,2.0,1.0,0.0,17.0,19.0,12.0,15.0,8.0,6.0,5.0,3.0,,,,,90.0,61.0,6.3,10.0,0.0138511,91.493398652248,12.0,8.82,15.75,,0,,-0.09,0.03,-0.3,,,,1.0,1.0,10.0,,,3.0,3.0,,,,,1.0,,,,3.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,,
14025111,home,Nottingham Forest,Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191,10181,M,843754,EUR,881020800,M,6,6,False,45.0,38.0,,,0.0,17.0,18.0,21.0,27.0,8.0,6.0,4.0,2.0,,,,,74.0,63.0,7.7,11.0,0.026739,158.65296193583,17.0,77.91,24.15,,1,,0.27,0.09,0.54,,,,1.0,1.0,3.0,,,3.0,1.0,0.0111,,-0.07,ibrahim_sangare,2.0,1.0,2.0,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,
14025111,home,Nottingham Forest,Elliot Anderson,elliot-anderson,E. Anderson,M,8,179,7705,M,994546,EUR,1036540800,M,8,8,False,71.0,62.0,7.0,4.0,0.0,22.0,24.0,40.0,47.0,12.0,13.0,2.0,2.0,,,,,90.0,107.0,8.1,21.0,0.21798,263.86966157222,36.0,79.905,15.855,,1,,0.66,0.35,-0.14,,,,13.0,1.0,5.0,,1.0,1.0,,0.024,,0.01,,,,,2.0,2.0,,,,3.0,1.0,7.0,4.0,6.0,6.0,6.0,,,,,,,
14025111,home,Nottingham Forest,Dan Ndoye,dan-ndoye,D. Ndoye,M,14,184,4721,M,944327,EUR,972432000,M,14,14,False,10.0,8.0,2.0,1.0,0.0,3.0,3.0,5.0,7.0,1.0,2.0,,,,,,,45.0,18.0,6.4,5.0,0.0118222,95.773019315642,6.0,88.41,32.97,,1,,0.01,0.05,0.16,,,,,,3.0,,1.0,,,0.0685,,-0.11,,1.0,,1.0,,,,,,,1.0,2.0,,,,1.0,1.0,,,,,,
14025111,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,M,10,10,False,40.0,33.0,,,0.0,7.0,9.0,26.0,31.0,1.0,1.0,,,,,,,85.0,50.0,6.2,12.0,0.0505832,117.20406415843,16.0,32.34,29.505,,4,,-0.3,0.21,-0.09,,,,2.0,,1.0,,2.0,,,0.3502,,-0.51,Morgangibbs27,1.0,2.0,,1.0,,,,,2.0,,1.0,,,,2.0,,True,1.0,,,,
14025111,home,Nottingham Forest,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3183,M,871765,EUR,898992000,M,16,16,False,16.0,14.0,,,0.0,9.0,9.0,5.0,7.0,4.0,2.0,1.0,,,,,,45.0,25.0,6.9,3.0,0.0360458,117.06424028548,14.0,64.05,15.855,,1,,0.1,0.1,-0.05,,,,2.0,,1.0,,1.0,1.0,1.0,0.0389,,0.01,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,
14025111,home,Nottingham Forest,Igor Jesus,igor-jesus,I. Jesus,F,19,179,20784,M,981619,EUR,983059200,F,19,19,False,19.0,15.0,2.0,2.0,0.0,5.0,5.0,10.0,14.0,5.0,3.0,,,,,,,75.0,33.0,7.0,8.0,0.0173994,88.851578476038,11.0,21.735,14.385,,5,,0.01,0.04,0.2,,,,,5.0,8.0,2.0,3.0,,1.0,0.2808,0.2399,-0.51,igorjesus,3.0,,1.0,,,,,,2.0,1.0,3.0,,2.0,,1.0,,,,,,,
14025111,home,Nottingham Forest,Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9224,M,867442,EUR,973555200,F,7,7,True,18.0,16.0,2.0,2.0,0.0,3.0,3.0,13.0,15.0,5.0,3.0,1.0,1.0,,,,,45.0,35.0,6.8,9.0,0.041476,92.920104469017,11.0,21.21,13.86,,1,,-0.05,0.08,0.19,,,,2.0,,5.0,,,1.0,,0.0187,,-0.07,Calteck10,1.0,1.0,,2.0,,,,,,1.0,7.0,,3.0,,,,,,,,,
14025111,home,Nottingham Forest,Omari Hutchinson,omari-hutchinson,O. Hutchinson,M,21,174,3680,M,1090963,EUR,1067385600,F,21,21,True,21.0,18.0,2.0,2.0,0.0,3.0,3.0,15.0,18.0,6.0,3.0,1.0,,,,,,45.0,41.0,7.8,12.0,0.176143,253.89197328596,23.0,157.605,37.065,,1,,0.44,0.43,-0.01,,,,9.0,,1.0,,1.0,,1.0,0.0209,,-0.11,,,,,,,,,,1.0,,4.0,1.0,4.0,1.0,4.0,,,,,,,
14025111,home,Nottingham Forest,Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,846252,EUR,880070400,M,22,22,True,8.0,5.0,,,0.0,1.0,1.0,4.0,7.0,2.0,,,,,,,,16.0,12.0,6.5,5.0,0.00334091,32.414556184541,4.0,0.315,7.035,,0,,-0.12,0.19,-0.05,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,
