match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAShot,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_expectedGoals,stat_unsuccessfulTouch,player_sofascoreId,stat_challengeLost,stat_accurateCross,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox,stat_bigChanceMissed
11352477,home,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192,4016,M,252669,EUR,727228800,G,1,1,False,16.0,16.0,1.0,1.0,16.0,16.0,1.0,1.0,1.0,7.0,1.0,1.0,90.0,27.0,6.9,5.113e-05,0,-0.6615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352477,home,Wolverhampton,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,894474,EUR,864345600,D,23,23,False,111.0,103.0,14.0,9.0,55.0,56.0,3.0,,,7.0,,,90.0,121.0,7.0,0.0319637,0,,True,48.0,56.0,1.0,4.0,2.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,,,,,,,,,,,,,,,,,,,
11352477,home,Wolverhampton,Craig Dawson,craig-dawson,C. Dawson,D,,188,419,M,50027,EUR,641952000,D,15,15,False,82.0,73.0,15.0,10.0,55.0,58.0,3.0,,,6.0,,,90.0,89.0,7.2,0.0347874,1,,,18.0,24.0,,6.0,2.0,6.0,,4.0,1.0,,,,,9.0,1.0,1.0,1.0,1.0,1.0,0.0838,,,,,,,,,,,,,,
11352477,home,Wolverhampton,Toti Gomes,toti-gomes,T. Gomes,D,24,187,1047,M,973418,EUR,916444800,D,24,24,False,103.0,82.0,8.0,2.0,47.0,57.0,3.0,1.0,,3.0,,,90.0,129.0,6.6,0.0123862,0,,,35.0,49.0,3.0,2.0,2.0,4.0,,3.0,,1.0,,,1.0,27.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
11352477,home,Wolverhampton,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7696,M,252821,EUR,753408000,M,22,22,False,59.0,52.0,4.0,2.0,18.0,21.0,2.0,,,3.0,,,90.0,85.0,6.6,0.0188475,1,,,34.0,41.0,3.0,4.0,,8.0,2.0,1.0,,1.0,,1.0,1.0,14.0,,1.0,1.0,,,0.0189,1.0,nelsonsemedo50,1.0,,,,,,,,,,,
11352477,home,Wolverhampton,Mario Lemina,mario-lemina,M. Lemina,M,99,184,8756,M,307284,EUR,746841600,M,5,5,False,51.0,48.0,3.0,2.0,19.0,20.0,2.0,,,5.0,,,61.0,59.0,6.9,0.0769304,0,,,29.0,32.0,1.0,,,1.0,1.0,1.0,,1.0,,2.0,,6.0,,,,,,,1.0,,,,,,,,,,,,,
11352477,home,Wolverhampton,João Gomes,joao-gomes,J. Gomes,M,8,176,14959,M,1015267,EUR,981936000,M,8,8,False,43.0,33.0,6.0,3.0,11.0,14.0,9.0,4.0,3.0,5.0,,,90.0,59.0,7.1,0.0334156,0,,,24.0,33.0,4.0,,3.0,7.0,1.0,,,1.0,,,3.0,14.0,,,3.0,1.0,,,,joaogomes.01,2.0,2.0,,,,,,,,,,
11352477,home,Wolverhampton,Hugo Bueno,hugo-bueno,H. Bueno,D,3,180,695,M,1013928,EUR,1032307200,M,17,17,False,37.0,26.0,2.0,,15.0,22.0,3.0,3.0,1.0,1.0,,,69.0,63.0,6.2,0.0101625,1,,,12.0,17.0,2.0,,1.0,5.0,2.0,,,,,1.0,1.0,20.0,,,,,1.0,0.0688,1.0,,,1.0,,,1.0,,,,,,,
11352477,home,Wolverhampton,Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,176,2486,M,138573,EUR,705542400,F,21,21,False,49.0,37.0,7.0,3.0,14.0,19.0,3.0,,,2.0,,,69.0,63.0,7.6,0.354736,0,,,25.0,37.0,7.0,,1.0,1.0,1.0,1.0,,,,1.0,,20.0,4.0,,1.0,,1.0,,1.0,,,2.0,,,,1.0,1.0,,,,,
11352477,home,Wolverhampton,Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177,6362,M,786186,EUR,822614400,F,11,11,False,24.0,22.0,2.0,2.0,7.0,7.0,6.0,5.0,4.0,,,,90.0,44.0,6.8,0.0121316,1,,,15.0,19.0,2.0,3.0,,8.0,3.0,,,,,1.0,,11.0,,1.0,1.0,,,0.051,3.0,Hwangso,1.0,,,,,,,,,,,
