match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_duelLost,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,captain,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalOffside
11369293,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,29.0,21.0,13.0,5.0,18.0,19.0,3.0,10.0,1.0,1.0,4.0,10.0,2.0,3.0,3.0,90.0,40.0,6.8,8.0,0.0,0.0,0.00091068,0,-0.6233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369293,home,Real Sociedad,Hamari Traoré,hamari-traore,H. Traoré,D,14,175,4235,M,362014,EUR,696470400,D,18,18,False,27.0,23.0,2.0,1.0,7.0,9.0,16.0,18.0,1.0,1.0,,2.0,,,,74.0,39.0,6.6,9.0,0.0,0.0,0.0160686,0,,,,hamarintos27,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11369293,home,Real Sociedad,Igor Zubeldia,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,47.0,41.0,5.0,2.0,30.0,33.0,11.0,14.0,2.0,3.0,,6.0,,,,90.0,53.0,6.7,6.0,0.0,0.0,0.0489744,0,,,,,5.0,,,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11369293,home,Real Sociedad,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6479,M,787751,EUR,847670400,D,24,24,False,62.0,53.0,6.0,2.0,42.0,44.0,11.0,18.0,7.0,9.0,6.0,3.0,,,,90.0,76.0,7.2,9.0,0.1466,0.0,0.00461431,1,,,,lenormand_r,3.0,,1.0,,2.0,,,3.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,
11369293,home,Real Sociedad,Aihen Muñoz,aihen-munoz,A. Muñoz,D,3,175,419,M,966441,EUR,871689600,D,3,3,False,28.0,19.0,2.0,,7.0,14.0,14.0,16.0,,6.0,1.0,4.0,,,,90.0,57.0,7.2,18.0,0.0269,0.0,0.0855584,1,,,,,5.0,2.0,2.0,2.0,,,1.0,,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,
11369293,home,Real Sociedad,Brais Méndez,brais-mendez,B. Méndez,M,23,184,2013,M,845385,EUR,852595200,M,23,23,False,40.0,34.0,3.0,2.0,9.0,10.0,26.0,35.0,,4.0,,5.0,,,,90.0,61.0,7.3,16.0,0.0749,0.0,0.255894,2,,,,,9.0,3.0,4.0,4.0,1.0,1.0,,,,2.0,3.0,2.0,,5.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,
11369293,home,Real Sociedad,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,4,4,False,47.0,42.0,2.0,2.0,15.0,15.0,27.0,32.0,,2.0,1.0,7.0,,,,90.0,54.0,7.0,6.0,0.0263,0.0,0.0348587,1,,,,martin_zubimendi,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,,,2.0,1.0,,1.0,,,,,,,
11369293,home,Real Sociedad,Beñat Turrientes,benat-turrientes,B. Turrientes,M,8,179,748,M,980410,EUR,1012435200,M,22,22,False,16.0,16.0,,,9.0,9.0,7.0,7.0,,3.0,1.0,3.0,,,,80.0,22.0,6.4,,0.0173,0.0,0.00295646,1,,,,,8.0,,4.0,,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,
11369293,home,Real Sociedad,Takefusa Kubo,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,F,14,14,False,16.0,13.0,,,2.0,2.0,11.0,15.0,,3.0,,3.0,,,,74.0,29.0,7.8,6.0,0.2827,0.4696,0.0149599,3,,,,KuboTake,,2.0,,1.0,,,,2.0,,2.0,2.0,2.0,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,
11369293,home,Real Sociedad,Carlos Fernández,carlos-fernandez,C. Fernández,F,10,186,301,M,782396,EUR,832723200,F,9,9,False,11.0,6.0,,,1.0,1.0,5.0,10.0,2.0,5.0,,1.0,,,,59.0,18.0,7.1,7.0,0.0404,0.0,0.182075,2,,,,,9.0,2.0,4.0,,5.0,1.0,,,,2.0,3.0,3.0,,,,,,,,,,,,,,,
